Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
32;3;24.1818828583;15.5;5;28.2126915455;3;15.1393299103;16.5;4;27.3708124161;
33;3;23.6957111359;16.5;5;28.3162033558;3;14.5334329605;17.5;4;27.4568536282;
34;3;22.7422904968;17.5;5;28.4213126898;3;14.5527915955;18.5;4;27.5439035892;
35;3;21.7895908356;18.5;5;28.5279425383;3;14.5723781586;19.5;4;27.6318233013;
36;3;20.8375740051;19.5;5;28.6360108852;3;14.5921602249;20.5;4;27.7204678059;
37;3;19.8862056732;20.5;5;28.7454307079;3;14.6121053696;21.5;5;27.8096864223;
38;3;18.9354438782;21.5;5;28.8561108112;3;14.6321792603;22.5;5;27.8993241787;
39;3;18.25;21.5;6;28.9679554701;3;14.6523475647;23.5;5;27.989222765;
40;3;20.25;22.5;6;29.0808647871;3;14.6725749969;24.5;6;28.079221487;
41;3;22.0863895416;23.5;6;29.1947350502;3;14.6928253174;25.5;6;28.1691586971;
42;3;22.4606666565;25.5;6;29.3094596863;3;14.713060379;26.5;7;28.258872509;
