Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
76;7;32.5999984741;44.0;14;59.380484581;2;26.3867912292;27.1200008392;24;41.6411209106;
77;7;32.5999984741;47.7593994141;14;60.0997229815;2;26.4923362732;27.1200008392;24;41.9844498634;
78;7;32.5999984741;49.928565979;15;60.7217173576;2;26.5953330994;27.1200008392;25;42.3171167374;
79;7;32.5999984741;52.0364456177;15;61.2156182528;2;26.6951332092;27.1200008392;25;42.6372032166;
80;7;32.5999984741;54.1506462097;16;61.4689029455;2;26.7911605835;27.1200008392;25;42.9430961609;
81;8;32.5999984741;56.2712860107;15;61.7281484604;2;26.8829269409;27.1200008392;25;43.2335100174;
82;8;32.5999984741;57.4834938049;15;61.9934114218;2;26.9700508118;27.1200008392;25;43.5074968338;
83;8;32.5999984741;58.6647109985;17;62.264669776;2;27.0522480011;27.1200008392;25;43.7644386292;
84;8;32.5999984741;59.8501434326;18;62.5117756128;2;27.1293296814;27.1200008392;25;44.004032135;
85;8;32.5999984741;61.0186805725;18;62.7360961437;2;27.2012081146;27.1200008392;26;44.2262582779;
86;8;32.5999984741;62.1712799072;18;62.9687561989;2;27.2678756714;27.1200008392;26;44.431350708;
87;8;32.5999984741;63.3297386169;18;64.2092286348;2;27.3294029236;27.1200008392;26;44.6197528839;
88;9;33.5999984741;65.4936904907;18;64.4868633747;2;27.385925293;27.1200008392;26;44.7920827866;
89;10;34.5999984741;67.6626739502;17;91.6114811897;2;27.4376239777;27.1200008392;26;44.9490890503;
90;10;37.6366539001;67.8004760742;17;95.8328124285;2;27.4847259521;27.1200008392;26;45.0916175842;
91;10;40.1177825928;69.6604919434;16;99.2406785488;2;27.5274848938;27.1200008392;27;45.2205762863;
92;9;40.4709625244;66.2173995972;17;73.8319529295;4;24.5274848938;28.1200008392;24;72.3261785507;
93;9;37.3030509949;69.6015625;17;74.9844089746;4;26.5002861023;28.1200008392;24;73.3955373764;
94;10;36.4000015259;71.8938827515;16;76.6058475971;4;28.5002861023;29.1200008392;24;74.2065191269;
95;11;38.4000015259;72.0792617798;15;77.1656069756;4;26.5568008423;30.2273483276;24;74.8063058853;
96;11;38.4000015259;75.2645339966;15;77.7178822756;4;25.5568008423;31.1673698425;24;75.0366334915;
97;11;38.4000015259;78.4488372803;15;78.2612444162;4;24.5568008423;32.1238594055;23;74.8908834457;
98;11;38.4000015259;83.2010650635;17;78.7944163084;5;21.5568008423;34.1200027466;23;74.7249937057;
99;11;38.4000015259;86.4333648682;17;79.3004947901;5;19.5568008423;36.1200027466;23;74.5756940842;
100;11;38.4000015259;88.650138855;18;80.7902780771;5;18.2448005676;38.1200027466;23;74.4413251877;
