Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
33;3;25.2366924286;16.5;5;28.2842051983;3;15.0071353912;16.5;7;26.7374696732;
34;3;25.2643928528;18.2210006714;5;28.3766920567;3;14.3909301758;17.5;7;26.7767804861;
35;3;24.2922458649;19.2424144745;5;28.4700291157;3;14.3997755051;18.5;5;26.8162822723;
36;3;24.7412948608;20.2424144745;5;28.5641319752;3;14.4086637497;19.5;6;26.8559447527;
37;3;26.25;22.2424125671;6;28.6589144468;3;14.4175872803;20.5;6;26.8957372904;
38;3;26.7701263428;24.2424125671;5;28.7542883158;3;14.4265403748;21.5;6;26.9356285334;
39;3;27.7849197388;26.2424125671;5;28.8501634598;3;14.4355163574;22.5;7;26.9755871296;
40;3;28.7999572754;27.5;5;28.9464485645;3;14.4445075989;23.5;7;27.015581131;
41;3;30.25;28.3792533875;6;29.0430519581;3;14.4535055161;24.5;8;27.0555787086;
42;3;30.25;29.4033794403;7;29.139881134;3;14.4625053406;25.5;9;27.0955479145;
43;3;30.8464794159;29.4700603485;7;29.2368434668;3;14.4714984894;26.5;8;27.135456562;
44;3;31.25;28.452671051;7;29.3338468075;3;14.4804782867;27.5;8;27.17527318;
45;4;30.8785934448;28.5;7;29.4307997227;3;14.4894361496;28.5;8;27.2149660587;
46;4;30.25;29.5;8;29.5276117325;3;14.4983673096;29.5;9;27.2545039654;
47;4;30.25;30.6403102875;8;29.624194026;3;15.5072631836;27.5;10;27.293856144;
48;4;31.25;28.6953620911;8;29.7204591036;3;14.5161170959;28.5;11;27.3329925537;
49;5;31.6790523529;28.5813522339;7;29.8163217306;4;14.5249233246;29.5;11;27.3718836308;
50;5;29.705121994;28.5;7;29.911698699;4;15.0;27.5;10;27.4105007648;
51;5;29.25;29.5;6;30.0065095425;4;14.5423622131;28.5;11;27.4488155842;
52;5;31.9967918396;27.5;6;31.1006768942;4;15.0;27.5;12;27.4868011475;
53;5;33.5453033447;28.5;6;31.2241256237;4;16.0;27.5;12;27.5244314671;
54;5;32.25;31.5;6;31.3473755121;4;17.0;27.5;13;27.5616812706;
55;5;33.0495529175;32.5;7;31.4703514576;4;18.5763778687;27.5;13;27.5985264778;
56;5;33.0673294067;33.9936141968;7;32.5929802656;4;19.0;27.5;12;27.6349442005;
57;5;34.25;34.9936141968;7;33.8772562742;4;20.2178630829;26.5;14;28.6709127426;
