Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
71;7;30.2719993591;46.6830863953;20;64.9922049046;2;13.0;32.5;35;25.0;
72;7;31.2719993591;46.8797912598;21;65.5805838108;2;12.0;33.5;35;25.0;
73;7;31.5860691071;48.0827407837;20;66.1854939461;2;12.0;34.5;35;25.0;
74;7;31.6766319275;49.2914772034;20;66.8045887947;2;13.0;32.5;36;25.0;
75;7;31.5719985962;48.5054702759;21;68.4352300167;2;12.0;33.5;37;26.0;
76;8;30.5719985962;51.7240829468;22;69.1345274448;2;14.0;32.5;38;26.0399999619;
77;8;30.5719985962;54.9466171265;22;69.5954611301;2;16.0;32.5;38;26.0811839104;
78;8;29.9088878632;58.1672897339;23;70.0805536509;2;17.2432670593;32.5;38;26.1235535145;
79;8;28.9286880493;61.3901596069;25;70.5849890709;2;18.2527999878;32.5;39;26.1671074629;
80;8;28.6774139404;64.48853302;25;71.10417974;2;19.2625999451;32.5;39;26.211841464;
81;8;28.2999992371;67.3710174561;26;71.6337848902;2;19.8976650238;31.5;39;26.2577478886;
82;8;28.2999992371;69.625213623;26;72.1697473526;2;19.9079933167;30.5;40;26.3048160076;
83;8;28.7453041077;70.4732437134;26;72.7083307505;3;19.9185829163;29.5;39;26.3530313969;
84;8;28.7698669434;71.7987747192;27;73.2461266518;3;19.9294319153;28.5;39;26.4023760557;
85;8;28.2999992371;73.9416809082;27;73.7800828218;3;19.9405345917;27.5;39;26.4528282881;
86;8;28.8218955994;74.4237976074;28;74.3075209856;3;19.9518871307;26.5;40;26.5043625832;
87;8;29.8493480682;72.7210693359;29;74.8261153698;3;19.9634819031;25.5;40;26.5569496155;
88;8;28.8777427673;74.0069732666;29;75.3339102268;3;19.9753131866;24.5;40;26.6105561256;
89;8;28.2999992371;76.2905654907;30;75.8292973042;3;19.9873752594;23.5;40;26.6651450396;
90;8;29.9372692108;73.5419845581;30;76.3109936714;3;19.9996566772;22.5;41;26.72067523;
91;8;28.9683418274;74.7901687622;30;76.7780246735;4;20.0121517181;22.5;40;26.7771017551;
92;8;29.0002365112;76.0251159668;32;77.2296895981;4;20.024848938;22.5;40;26.8343759775;
93;8;30.032907486;74.2467498779;32;77.6655387878;4;20.0377349854;22.5;40;26.8924454451;
94;8;28.2999992371;76.4662628174;32;78.0853335857;4;20.0508003235;22.5;40;26.9512542486;
95;8;29.1003742218;76.6504058838;32;78.4890167713;5;20.064031601;22.5;37;44.0497682095;
96;8;29.2999992371;75.8444366455;33;78.8480434418;5;22.3111991882;25.0;37;46.0812364817;
97;8;28.2999992371;82.2327270508;34;79.1258420944;5;24.5095291138;27.3899993896;37;47.8439366817;
98;9;29.2059288025;81.3950424194;33;79.3964607716;5;25.9387664795;29.6872596741;37;49.3636851311;
99;9;28.2999992371;83.5476074219;34;79.6597127914;5;27.0895938873;31.9097423553;37;51.5223206282;
100;9;28.2999992371;85.6907196045;37;79.8846964836;5;29.1837463379;35.0;37;52.4864157438;
101;9;29.2999992371;84.798866272;38;80.0851256847;5;31.2401924133;36.0;37;53.3690743446;
102;10;28.2999992371;86.8838272095;37;80.1929235458;5;32.0080413818;37.0;38;54.1804049015;
103;10;28.2999992371;88.8838272095;37;80.3020267487;5;32.1905899048;38.0;38;54.9318484068;
104;10;29.2999992371;87.4007949829;38;81.411990881;5;32.359664917;39.0;39;55.6350128651;
105;10;30.2999992371;87.4007949829;39;81.6723865271;6;32.5178756714;39.0;38;56.2021311522;
106;10;31.4979839325;88.7512893677;39;81.7209300995;6;32.6454772949;39.0;38;56.6503144503;
107;11;31.2999992371;88.7033233643;39;81.8154786825;6;32.7463188171;39.0;38;57.1181744337;
108;12;31.2999992371;89.6362686157;39;81.9557595253;6;32.8515892029;39.0;39;57.6052666903;
109;12;31.6047668457;91.4122848511;39;82.1417907476;6;32.9611816406;39.0;39;58.1109213829;
110;12;31.2999992371;91.3773117065;39;82.3737843037;6;33.0749588013;39.0;39;58.6342279911;
111;12;33.2999992371;90.3229904175;39;82.6520268917;6;31.1926994324;40.0;39;59.1740260124;
112;12;34.7065811157;90.2835769653;41;84.7418968678;6;30.3141555786;41.0;39;59.7289016247;
113;12;34.2999992371;92.4079360962;41;87.8510477543;6;29.4390029907;42.0;40;60.2971899509;
114;12;36.2999992371;95.5028457642;41;90.0817912817;6;28.5668678284;43.0;40;60.8769884109;
115;12;37.2999992371;97.1747360229;41;92.2976861;6;27.6973209381;44.0;40;61.4661762714;
116;12;36.2999992371;101.806533813;43;95.4980578423;6;27.5298900604;45.0;41;62.062443018;
117;12;37.2999992371;103.376480103;43;98.7017344236;6;27.6640491486;46.0;38;62.6633255482;
118;12;40.2999992371;108.097648621;43;101.897019029;6;27.7992477417;47.0;35;63.2662513256;
119;12;43.57213974;109.936943054;45;105.107837796;6;27.1268157959;49.0;35;63.8685860634;
120;14;45.9807891846;113.421203613;45;107.3300699;6;28.070432663;49.0;33;64.4676847458;
121;14;48.8155632019;115.83896637;47;109.500696421;6;27.3090171814;51.0;33;65.0609440804;
122;14;49.2329139709;121.262130737;48;111.614598155;6;27.3975391388;53.0;33;65.6458525658;
123;14;51.0429115295;123.41973877;48;113.66730237;6;28.4703178406;52.0;33;66.2200360298;
124;14;51.1487083435;128.887207031;49;115.65492928;6;27.4234371185;54.0;34;66.7813000679;
125;14;52.8873558044;128.51890564;49;117.57421267;6;28.5288696289;54.0;33;67.3276600838;
126;14;53.6484680176;127.371704102;48;120.221313477;6;27.6316871643;56.0;29;67.8573698997;
127;14;53.0729942322;132.488815308;49;121.78299427;6;28.7315101624;56.0;28;68.3689351082;
128;15;56.1570243835;133.485229492;50;123.313548923;6;27.828004837;58.0;29;68.8611254692;
129;15;57.0563735962;135.484146118;50;124.807726026;6;28.9208984375;58.0;29;69.3329730034;
130;15;57.1524085999;137.133514404;51;126.261515737;6;29.2999191284;59.0;29;69.783765316;
131;16;57.2414970398;138.222381592;50;127.672044516;6;29.4013462067;60.0;29;70.2130360603;
132;16;56.9359207153;139.810455322;50;129.017702937;6;29.4979324341;61.0;29;70.6205444336;
133;16;56.3946876526;144.909088135;50;130.267541289;6;29.5896224976;62.0;29;71.0021982193;
134;17;62.6588516235;149.900299072;41;132.466439843;6;29.6754951477;63.0;29;71.3064813614;
135;17;68.6127471924;148.076568604;42;133.572081447;6;29.7439575195;64.0;30;71.5924777985;
136;17;69.2839660645;155.270233154;42;135.815581203;6;29.8083076477;65.0;30;71.8605594635;
137;17;70.388633728;160.866729736;42;137.761360168;6;29.8686256409;66.0;31;72.0974636078;
138;17;70.7048187256;165.409820557;45;139.276958823;6;30.9219284058;64.0;31;72.2324953079;
139;18;71.3668518066;168.675201416;46;140.24381566;6;29.9523105621;65.0;31;72.3603301048;
140;19;71.4903488159;172.030639648;47;142.096230149;6;29.9810733795;66.0;32;72.4810152054;
