Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
135;9;66.9250030518;111.47277832;34;127.13681078;7;24.3999996185;91.8256835938;27;74.1509925127;
136;9;68.9250030518;111.742958069;34;127.455726147;7;23.3999996185;94.8256835938;28;74.1478931308;
137;9;70.9250030518;114.006202698;39;127.76658082;7;24.3999996185;94.8256835938;28;74.145103693;
138;9;72.4250030518;115.261932373;40;128.068793297;7;24.3999996185;94.8256835938;28;74.142593205;
139;9;73.4250030518;116.509674072;41;128.361895084;7;23.3999996185;97.8256835938;29;74.1403337717;
140;9;74.4250030518;117.749084473;40;128.645525694;7;24.3999996185;97.8256835938;31;74.1383002996;
141;9;75.4250030518;114.979881287;41;128.919425011;7;24.3999996185;97.8256835938;31;74.136470139;
142;9;76.4250030518;118.201889038;41;129.183423996;7;23.3999996185;100.42502594;32;74.1348230243;
143;9;77.4250030518;119.415016174;41;129.437433958;7;24.3999996185;99.4239730835;32;74.1333405972;
144;9;78.4250030518;120.619255066;44;129.681437492;7;24.3999996185;98.4230194092;33;74.1320064068;
145;9;79.4250030518;121.814628601;45;129.91547966;7;23.3999996185;100.422164917;33;74.1308056712;
146;9;80.4250030518;122.401260376;47;130.139656067;7;24.3999996185;99.4214019775;34;74.1297249794;
147;9;81.4250030518;125.674629211;47;130.349227428;7;24.3999996185;98.4207077026;39;74.1287523508;
148;9;81.4250030518;130.803497314;47;130.464515686;7;23.3999996185;100.420089722;40;74.127876997;
149;9;81.4250030518;133.810974121;49;130.577713013;7;24.3999996185;99.4195251465;40;74.1270892024;
150;9;81.4250030518;135.93548584;50;130.688598156;7;24.3999996185;98.4190216064;41;74.1263801455;
151;9;81.4250030518;138.0574646;51;130.796970367;7;23.3999996185;100.418563843;42;74.1257420182;
152;9;81.4250030518;140.17666626;53;130.902648926;7;24.3999996185;99.4181594849;42;74.1251677275;
153;9;81.4250030518;142.292907715;53;131.005474567;7;24.3999996185;98.4177932739;43;74.124650836;
154;9;81.4250030518;144.406005859;53;131.105309963;7;23.3999996185;100.41746521;44;74.1241856217;
155;9;81.4250030518;146.515838623;54;131.202039719;7;24.3999996185;99.4171600342;44;74.1237669587;
156;9;81.4250030518;148.622253418;56;131.295570374;7;24.3999996185;98.4168930054;45;74.1233901381;
157;9;81.4250030518;149.925140381;56;131.385829449;7;23.3999996185;100.416656494;45;74.1230509877;
158;9;81.4250030518;151.024414062;59;131.472765923;8;24.3999996185;99.4164352417;45;74.1227457523;
159;9;81.4250030518;151.720031738;60;131.556347847;8;24.3999996185;98.4162445068;45;74.1224710941;
160;9;81.4250030518;151.811981201;61;131.636562347;8;23.3999996185;100.416061401;46;74.1222238541;
161;9;81.4250030518;151.90020752;61;131.713413239;8;24.3999996185;99.4159088135;47;74.1220013499;
162;9;81.4250030518;151.98475647;63;131.786921024;8;24.3999996185;98.415763855;47;74.1218010783;
