Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
20;1;17.625;12.5;6;25.0;4;22.9332809448;15.5459861755;5;31.1301525831;
21;1;17.625;12.5;7;25.0;4;22.9332809448;15.5650758743;5;31.1689255238;
22;1;17.625;12.5;7;25.0;4;22.9332809448;15.5844631195;5;31.2082704306;
23;1;17.625;12.5;7;25.0;4;22.9332809448;15.6041355133;5;31.2481651306;
24;1;17.625;12.5;7;25.0;4;22.9332809448;15.9181957245;5;31.2885856628;
25;1;17.625;12.5;7;25.0;4;22.9332809448;15.9464902878;5;31.3295063972;
26;1;17.625;12.5;7;25.0;4;22.9332809448;15.9751348495;5;31.3709002733;
27;1;17.625;12.5;7;25.0;4;22.9332809448;16.0041103363;5;31.4127388;
28;1;17.625;12.5;7;25.0;4;22.9332809448;16.0333976746;5;31.4549918175;
29;1;17.625;12.5;7;25.0;4;22.9332809448;16.0629749298;6;31.4976278543;
30;1;17.625;12.5;7;25.0;4;22.9332809448;16.0928192139;6;31.5406143665;
31;1;17.625;12.5;7;25.0;4;22.9332809448;16.1229095459;6;31.5839172602;
32;1;17.625;12.5;7;25.0;4;22.9332809448;16.1532230377;6;31.6275016069;
33;1;17.625;12.5;7;25.0;4;22.9332809448;16.1837310791;6;31.6713312864;
34;1;17.625;12.5;7;25.0;4;23.9332809448;16.2144126892;5;32.715369463;
35;1;17.625;12.5;7;25.0;4;24.9332809448;15.3887996674;5;32.8239623308;
36;1;17.625;12.5;6;25.0;4;24.9332809448;16.4209918976;5;32.9361475706;
37;1;17.625;12.5;4;25.0;4;24.9332809448;16.8733386993;5;33.0519826412;
38;1;17.625;12.5;5;25.0;4;25.9155960083;19.8733386993;5;33.1715152264;
39;1;17.625;12.5;6;25.0;4;25.9514560699;22.8733386993;5;33.2947815657;
40;1;17.625;12.5;7;25.0;4;25.9884357452;25.8733386993;5;33.4218056202;
41;1;17.625;12.5;7;25.0;4;26.0265426636;28.454914093;6;33.5525962114;
42;1;17.625;12.5;7;25.0;4;26.0657806396;29.8887996674;7;33.6871458292;
43;1;17.625;12.5;8;25.0;4;26.1061439514;29.8887996674;8;33.8254288435;
44;1;17.625;12.5;8;25.0;4;26.1476287842;29.8887996674;8;33.9673995972;
45;1;17.625;12.5;9;25.0;4;26.1902217865;29.8887996674;8;34.112990737;
46;1;17.625;12.5;9;25.0;4;26.2338981628;29.8887996674;9;34.2621121407;
47;1;17.625;12.5;10;25.0;5;25.2507705688;29.8887996674;7;54.4146490097;
48;1;17.625;13.5;10;25.0;5;25.0399513245;31.8665065765;7;55.7704620361;
49;2;17.625;14.5;7;40.0;5;26.0399513245;33.9184494019;8;56.9469819069;
