Turn;Planet_count_KI_1_SP_HUMAN;Research_KI_1_SP_HUMAN;Industry_KI_1_SP_HUMAN;Ships_KI_1_SP_HUMAN;Population_KI_1_SP_HUMAN;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
264;15;121.160430908;293.919921875;31;216.176473618;24;163.549865723;444.664764404;46;336.501461983;
265;15;121.275360107;294.260620117;33;216.508637905;24;163.797668457;447.945281982;49;337.663622856;
266;15;121.382286072;294.572662354;34;216.800529003;24;164.031585693;451.167907715;50;338.647214174;
267;15;121.480049133;294.840698242;36;216.882099152;24;164.243087769;454.223693848;51;339.555540562;
268;15;121.488204956;294.946716309;35;216.959033966;24;164.44229126;454.477966309;51;340.361629486;
269;15;121.495895386;295.04675293;37;217.0;24;164.62638855;451.5;53;341.072986603;
270;15;121.499992371;295.100006104;39;217.0;25;164.796005249;449.5;56;341.708799362;
271;15;121.499992371;295.100006104;40;217.0;25;164.953033447;447.5;56;342.273221016;
272;15;121.499992371;295.100006104;42;217.0;25;165.097900391;448.5;57;342.771679401;
273;15;121.499992371;295.100006104;43;217.0;25;165.231185913;451.5;60;343.210290909;
274;15;121.499992371;295.100006104;45;217.0;25;160.02104187;457.5;62;343.595400572;
275;15;121.499992371;295.100006104;50;217.0;25;160.059555054;463.5;63;343.821761608;
276;15;121.499992371;295.100006104;42;217.0;25;163.07232666;460.5;57;346.913920403;
277;15;121.499992371;295.100006104;46;217.0;25;168.631149292;466.5;61;347.299871683;
278;15;121.499992371;295.100006104;49;217.0;25;170.339904785;471.5;63;347.620100021;
279;15;121.499992371;295.100006104;55;217.0;25;164.99609375;476.5;65;347.959661722;
280;15;121.499992371;295.100006104;56;217.0;25;165.267730713;479.5;67;348.317628384;
281;15;121.499992371;295.100006104;55;217.0;26;162.531768799;485.5;68;348.692501068;
282;15;121.499992371;295.100006104;56;217.0;26;162.569259644;489.900024414;70;349.082330704;
283;15;121.499992371;295.100006104;54;217.0;26;165.569259644;483.900024414;72;349.484732628;
284;15;121.499992371;295.100006104;47;217.0;26;162.648483276;486.900024414;61;349.896924973;
285;15;121.499992371;295.100006104;44;217.0;26;162.689697266;489.900024414;58;350.315787792;
286;15;121.499992371;295.100006104;45;217.0;27;162.731582642;492.900024414;56;350.737948418;
287;15;121.499992371;295.100006104;46;217.0;27;162.773803711;495.900024414;60;351.159882069;
288;15;121.499992371;295.100006104;46;217.0;27;162.815994263;498.900024414;62;351.578027725;
289;15;121.499992371;295.100006104;49;217.0;27;162.857803345;501.900024414;63;351.988906384;
290;15;121.499992371;295.100006104;35;217.0;27;162.898895264;504.285614014;62;352.389238358;
291;15;121.499992371;289.5;35;217.0;27;165.938934326;501.806030273;64;352.776045799;
292;15;121.499992371;295.100006104;39;217.0;27;168.977615356;499.508850098;61;356.146741867;
293;15;118.499992371;281.5;39;217.0;27;166.014678955;505.990753174;62;356.799189329;
294;15;116.499992371;279.5;42;217.0;27;161.149932861;505.448913574;63;357.451838493;
295;14;117.899993896;277.5;42;217.0;28;158.44519043;502.481262207;57;358.102895021;
296;14;112.5;278.899993896;45;217.0;29;157.510299683;506.033752441;57;358.750629902;
297;14;112.100006104;284.899993896;46;217.0;29;156.27507019;507.875823975;58;359.393317223;
298;14;112.100006104;290.899993896;48;217.0;29;155.739334106;509.711334229;60;360.029178619;
299;14;112.100006104;295.299987793;49;217.0;29;158.80291748;511.53793335;60;360.656335831;
300;14;112.100006104;297.699981689;51;217.0;29;161.865631104;518.323364258;62;361.272789001;
301;14;112.100006104;297.699981689;52;217.0;29;164.927276611;522.588867188;63;361.876410961;
302;14;112.100006104;297.699981689;48;217.0;29;167.987640381;526.829101562;61;362.464972496;
303;13;109.100006104;284.699981689;47;217.0;30;181.546508789;521.504455566;54;363.036188602;
304;13;112.100006104;278.699981689;49;217.0;30;183.603637695;521.247070312;52;363.578027725;
305;13;117.700012207;279.199981689;51;217.0;32;190.370300293;520.951416016;47;363.988906384;
306;13;117.700012207;282.199981689;53;217.0;32;196.211395264;520.18560791;50;364.389238358;
307;13;117.700012207;284.199981689;55;217.0;32;205.251419067;516.706054688;49;364.776045799;
308;13;117.700012207;284.199981689;57;217.0;32;214.290100098;517.208862305;52;365.146741867;
309;13;96.5000076294;279.199981689;58;193.0;33;225.327178955;523.490783691;49;389.499189377;
310;13;99.5000076294;273.199981689;60;193.0;33;231.362426758;532.348937988;50;390.791737556;
311;13;102.500007629;268.799987793;60;193.0;33;238.395675659;535.78125;50;394.862015724;
312;13;102.900001526;268.799987793;55;193.0;33;248.426834106;542.186218262;49;399.308484316;
313;13;102.900001526;268.799987793;56;193.0;34;261.455810547;550.562927246;51;401.040001154;
314;13;102.900001526;268.799987793;56;193.0;34;273.48260498;555.911071777;50;402.677296162;
315;13;102.900001526;268.799987793;56;196.0;34;283.055175781;559.230895996;53;404.171526432;
316;13;105.200004578;271.799987793;54;196.119999886;34;291.92956543;562.523071289;49;405.76998806;
317;13;105.211997986;273.799987793;55;196.241055965;34;300.546691895;565.788635254;46;407.465590954;
318;13;105.224105835;273.799987793;57;196.362885475;34;309.379089355;569.028808594;48;409.244734287;
319;14;105.236289978;273.799987793;56;196.485197544;34;317.949462891;569.54510498;51;414.08701992;
320;14;105.248519897;273.799987793;57;196.607695341;34;326.417602539;572.739196777;50;416.496052742;
321;14;105.260772705;273.799987793;57;196.730079412;34;332.734680176;574.900024414;56;418.879162312;
322;13;96.9730072021;268.799987793;58;189.852050066;36;341.083862305;576.900024414;53;428.329223156;
323;13;103.985214233;268.799987793;61;189.973310709;37;348.112854004;579.900024414;54;430.813621521;
324;13;106.997337341;268.799987793;67;190.093570709;37;351.545349121;582.900024414;55;433.300028801;
325;13;109.009361267;268.799987793;69;193.212547302;37;354.648956299;585.900024414;51;435.757986546;
326;13;111.321266174;271.799987793;69;193.809969902;37;354.470123291;591.900024414;49;438.159773827;
327;13;111.381004333;273.799987793;69;194.465677261;37;355.063049316;597.900024414;50;440.48058033;
328;14;102.44657135;268.799987793;52;195.181442738;36;355.409484863;603.900024414;46;449.810603142;
329;14;101.51815033;229.799987793;53;195.957305908;36;358.825317383;615.395935059;47;459.527740002;
