Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
111;8;27.8493480682;72.1999969482;30;65.3821501732;5;25.1000003815;56.5999984741;26;55.0;
112;8;28.2999992371;70.1999969482;30;65.7302263975;5;26.1000003815;55.5999984741;27;55.0;
113;8;29.2999992371;70.1999969482;28;66.0774507523;5;25.1000003815;57.5999984741;24;55.0;
114;8;31.2999992371;69.1999969482;28;66.4232652187;5;25.1000003815;59.5999984741;22;55.0;
115;8;30.2999992371;71.1999969482;28;66.7513341904;5;26.1000003815;58.5999984741;23;55.0;
116;8;30.2999992371;73.1999969482;28;67.0728654861;5;25.1000003815;60.5999984741;23;55.0;
117;8;31.2999992371;72.1999969482;29;67.391602993;5;25.1000003815;62.5999984741;22;55.0;
118;8;30.2999992371;74.1999969482;30;67.707056284;5;26.1000003815;61.5999984741;22;55.0;
119;8;30.2999992371;75.1999969482;30;68.0187556744;5;27.1000003815;61.5999984741;23;55.0;
120;8;31.2999992371;73.1999969482;31;68.3262534142;5;28.1000003815;61.5999984741;23;55.0;
121;8;30.2999992371;74.1999969482;31;68.6291246414;5;29.1000003815;61.5999984741;24;55.0;
122;8;30.2999992371;77.1999969482;32;68.9269688129;5;30.1000003815;61.5999984741;24;55.0;
123;8;30.2999992371;79.1999969482;32;69.2194099426;5;31.1000003815;61.5999984741;24;55.0;
124;8;30.2999992371;80.4000015259;32;69.5060982704;5;31.3999996185;62.0;25;55.0;
125;8;30.2999992371;81.4000015259;33;69.7867105007;5;30.3999996185;61.0;26;55.0;
126;8;30.2999992371;82.4000015259;34;70.0609512329;5;30.3999996185;61.0;26;55.0;
127;8;30.2999992371;83.4000015259;31;70.2796030045;5;30.3999996185;61.0;27;55.0;
128;8;30.2999992371;84.4000015259;32;70.4827954769;5;30.3999996185;61.0;26;55.0;
129;8;30.2999992371;86.4000015259;32;70.6818628311;5;30.3999996185;61.0;27;55.0;
130;8;30.2999992371;88.4000015259;32;70.8765306473;5;28.1000003815;63.0;27;55.0;
131;8;30.2999992371;90.4000015259;31;71.0665488243;5;27.1000003815;65.0;28;55.0;
132;8;30.2999992371;92.4000015259;29;71.2516918182;5;27.1000003815;64.0;27;55.0;
133;8;31.2999992371;91.4000015259;29;71.4317617416;6;25.1000003815;66.0;26;55.0;
134;8;30.2999992371;93.4000015259;28;72.7124915123;6;25.1000003815;68.0;26;55.0;
135;8;30.2999992371;95.4000015259;28;74.0129928589;6;27.1000003815;64.0;27;55.0;
136;8;31.2999992371;94.4000015259;28;75.3235661983;6;25.1000003815;66.0;28;55.0;
137;9;30.2999992371;96.4000015259;26;86.6341080666;6;25.1000003815;68.0;28;55.0;
138;9;31.2999992371;99.4000015259;27;89.4344215393;6;27.1000003815;64.0;28;55.0;
139;9;34.2999992371;100.400001526;26;91.2470369339;6;25.1000003815;66.0;29;56.0;
