Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
100;13;63.1143264771;126.784500122;30;153.74148488;17;57.0530014038;133.091705322;16;145.706157684;
101;14;66.231552124;129.099975586;29;155.056434393;17;56.1706123352;133.871887207;18;146.736105561;
102;14;65.3897476196;134.450012207;29;156.238699555;17;56.2736167908;136.93371582;20;147.803098917;
103;14;65.5334472656;139.602172852;30;157.319493294;17;58.6057701111;136.834503174;17;148.875680566;
104;14;67.6657104492;137.558456421;31;158.241742849;17;57.3218231201;137.048034668;17;149.911137938;
105;15;65.7807998657;141.313400269;31;159.951317906;18;57.5240478516;139.100646973;16;150.986862063;
106;16;66.8732910156;145.80305481;30;160.72317791;18;58.7373695374;138.143737793;17;152.051810741;
107;16;68.4618606567;145.3228302;31;161.522592068;18;57.956111908;140.143737793;20;153.162999988;
108;16;67.6282424927;148.86831665;32;162.342768908;18;58.1851501465;146.143737793;21;154.314527035;
109;16;68.2692260742;153.433883667;33;163.175633192;18;59.4228210449;146.168731689;21;155.499219775;
110;16;70.3690109253;152.012786865;29;164.012143612;18;60.6671142578;147.168731689;17;156.708848476;
111;16;68.4680862427;156.597457886;25;166.161200523;18;61.9157371521;148.168731689;16;157.934432387;
112;16;69.6578063965;162.179840088;26;167.393319488;18;62.5411911011;149.168731689;17;159.166619301;
113;16;72.8461608887;161.751876831;26;168.61487937;18;63.7909202576;150.168731689;17;163.399515152;
114;16;71.150390625;167.305862427;27;169.816573381;18;65.7359848022;152.168731689;19;167.759849191;
115;16;72.2854614258;170.305862427;27;171.990568876;18;67.1786880493;154.168731689;18;172.187453508;
116;16;74.529296875;171.305862427;24;174.153702497;18;66.1250152588;158.168731689;19;176.622171164;
117;16;74.7108917236;178.630371094;25;176.292216182;18;69.0419998169;158.668731689;20;182.009161472;
118;16;76.9803543091;185.895675659;27;177.411209941;18;70.7132492065;162.668731689;20;186.362770557;
119;16;80.5204315186;187.106216431;29;178.489655614;18;73.5802383423;166.75;22;190.59112525;
120;16;80.0264282227;191.32963562;29;179.52821815;18;75.4919509888;171.75;22;194.669679999;
121;16;79.2324142456;198.566009521;31;180.528644562;18;77.0277404785;176.75;23;198.582014561;
122;16;80.8139724731;199.497406006;30;181.493430972;18;77.694770813;181.75;21;202.317216992;
123;16;79.2509536743;204.784454346;27;182.425516725;18;78.2968139648;185.350006104;22;205.867588401;
124;16;86.697883606;204.517715454;28;183.328011513;18;78.8389816284;188.350006104;23;209.227132082;
125;16;90.8348770142;204.669006348;28;184.198833227;18;79.3267822266;193.350006104;23;212.288529754;
126;16;93.9097213745;208.6199646;28;184.894945383;18;79.7246551514;194.350006104;22;215.014279604;
127;16;97.0107269287;213.797515869;27;185.593015432;18;80.0264282227;197.350006104;25;218.465060353;
128;16;102.593086243;212.079360962;26;186.292033911;18;81.2715072632;201.350006104;23;220.832627177;
129;16;105.034713745;211.095901489;27;186.990816474;18;82.5022659302;205.350006104;21;223.05028367;
130;16;106.264480591;214.112533569;27;187.596232176;18;84.8106384277;207.350006104;21;225.112943292;
131;16;109.33682251;214.133972168;27;188.196308732;18;86.0363006592;212.350006104;23;226.909187078;
132;16;111.422286987;214.150817871;28;188.800583005;18;88.2159194946;217.350006104;25;228.534862638;
133;16;114.509765625;215.167755127;30;189.406587362;18;92.4699020386;216.350006104;25;230.030161023;
134;16;116.572250366;216.129379272;32;190.011806846;18;96.587310791;221.350006104;27;231.400750399;
135;16;119.634613037;217.146453857;30;190.613725781;18;102.531364441;226.350006104;28;232.654012799;
136;16;122.672309875;214.163604736;29;191.209876657;18;106.644104004;222.350006104;28;233.79843998;
137;16;122.258331299;214.18081665;31;191.797885776;18;110.282569885;225.350006104;31;234.738785625;
138;16;119.358139038;223.820922852;32;192.375517368;18;113.417884827;230.350006104;30;235.520432353;
139;16;119.70173645;230.848999023;33;192.940710545;19;115.523529053;229.350006104;31;236.075435877;
140;16;119.767288208;237.87713623;32;193.481570601;19;118.610527039;227.350006104;30;236.517327309;
141;16;119.822738647;244.905303955;34;194.003519893;19;120.208320618;229.350006104;29;236.945560694;
142;17;120.873977661;249.233215332;32;210.508232236;18;117.802566528;213.350006104;30;221.254529953;
143;17;122.923522949;255.266265869;33;210.994596958;18;117.837287903;214.350006104;31;221.549770594;
144;17;125.96913147;261.299285889;34;211.461762786;18;118.426811218;217.350006104;35;221.846006393;
145;17;129.235153198;264.332275391;39;211.909129858;18;120.449943542;222.350006104;35;223.142726421;
146;17;129.914276123;270.36517334;40;212.336341381;18;122.709724426;228.350006104;38;223.499407768;
147;17;131.973907471;273.398040771;42;212.743260622;18;124.788398743;234.350006104;39;226.458483934;
148;18;133.014389038;276.430786133;45;213.129954338;17;127.517845154;241.049987793;41;228.938685298;
149;18;136.040283203;277.463409424;43;213.496668696;17;130.044082642;247.579193115;36;231.001028061;
150;18;128.815963745;284.495941162;46;213.843805909;18;127.110649109;255.966278076;36;232.156506896;
151;18;127.847717285;289.528289795;46;214.171895027;18;125.886787415;259.242279053;38;232.933576941;
152;18;126.230667114;295.560516357;47;214.481570601;18;124.751976013;268.350006104;40;233.457266331;
153;18;122.911804199;302.592529297;51;214.706395268;18;124.006507874;275.350006104;42;233.92093122;
