Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
40;4;26.8462600708;29.629070282;11;37.742510438;5;23.625;16.5;5;32.7318525314;
41;4;27.3227539062;32.0200004578;11;37.8621780872;5;24.3646659851;18.5;5;33.907222271;
42;4;27.3586540222;32.0200004578;12;37.9839830399;5;25.4041252136;21.5;5;34.1227023602;
43;4;26.7169342041;33.0200004578;12;38.1078357697;5;26.4413585663;23.5;6;34.330262661;
44;4;26.7394180298;33.1748886108;13;38.2336363792;5;26.7243080139;25.5;6;34.5300191641;
45;5;26.2119998932;34.1168174744;12;38.3612747192;5;26.7692527771;26.5;6;34.722170949;
46;5;26.2119998932;32.0200004578;13;38.4906306267;5;26.8124885559;27.5;7;34.9069828987;
47;6;26.8750858307;32.937587738;9;50.1215729713;5;26.8540706635;27.5;8;35.0847744942;
48;6;27.2119998932;33.0200004578;9;50.7139613628;6;26.8940734863;27.5;7;35.2559071779;
49;7;29.4847679138;34.0200004578;8;51.2710285187;6;26.619342804;27.5;8;35.4207702875;
50;7;28.2119998932;35.0200004578;8;51.7917900085;6;26.9696731567;27.5;8;35.5224741697;
51;7;29.557264328;36.0200004578;8;52.2762653828;6;26.9925556183;27.5;8;35.5906432867;
52;7;29.5939273834;37.0200004578;8;53.7253117561;6;27.007894516;27.5;8;35.6607804298;
53;7;30.6308021545;39.0200004578;9;54.3886811733;6;27.0236759186;27.5;8;35.7328453064;
54;7;31.667842865;41.0200004578;9;55.0786424875;6;27.0398902893;27.5;9;35.8067884445;
55;7;32.1248474121;43.0200004578;9;56.8095749617;6;27.0565280914;27.5;9;36.8825509548;
56;7;33.2639541626;46.0200004578;9;57.6489516497;6;27.6499996185;29.4412765503;9;37.0000640154;
57;7;34.4258232117;49.0200004578;10;58.5427587032;6;28.6499996185;30.4800319672;10;37.1204333305;
58;7;34.9127426147;51.0200004578;10;59.4114043713;6;28.6499996185;31.5196247101;10;37.2435724735;
59;7;35.147277832;53.0200004578;11;62.307441473;6;29.3798046112;31.5;10;37.3693827391;
60;7;35.8697280884;55.6599502563;11;64.9462811947;7;29.4081115723;32.5;10;37.4977530241;
61;7;36.5227203369;57.0979385376;11;67.4547729492;7;29.1643295288;33.1059188843;11;37.6285603046;
62;7;37.1428451538;58.3882522583;14;69.5801554918;8;29.466424942;32.5;10;37.7616696358;
63;7;37.6529884338;59.4000015259;16;71.8507152796;8;28.6499996185;33.5;10;37.8969349861;
64;7;38.2107391357;60.4000015259;17;74.1909742355;8;28.9544315338;33.7719497681;11;39.2412602901;
65;7;38.8155632019;61.1999969482;18;76.55645895;8;29.2371234894;34.3159103394;12;40.3566092253;
66;7;39.454246521;61.1999969482;19;78.9795231819;8;29.7406997681;34.14453125;12;41.2777063847;
67;8;40.1084747314;61.1999969482;20;81.3805809021;8;29.2971229553;35.4832229614;12;42.0407780409;
68;8;40.7567596436;61.1999969482;20;83.6795387268;8;30.08162117;33.9097442627;12;43.5312721729;
69;8;38.9891853333;63.1999969482;20;85.808283329;8;31.1718883514;35.0;13;43.8935163021;
70;8;39.4902572632;65.1999969482;21;87.7204051018;8;32.2190856934;36.0;13;44.2475209236;
71;8;39.2318763733;68.1999969482;21;89.3951733112;8;29.526260376;39.0;13;44.5018738508;
72;8;39.5699005127;71.1999969482;20;90.8353226185;8;29.2999992371;42.0;13;44.7618868351;
73;8;39.8446235657;74.1999969482;21;92.0606570244;8;29.2999992371;45.0;15;45.0273379087;
74;9;40.061668396;77.1999969482;20;93.1003856659;9;29.2999992371;47.0;14;45.2979773283;
75;9;40.2291946411;80.1999969482;20;93.986531496;9;29.2999992371;49.0;14;45.5735270977;
76;9;40.3561096191;82.0975341797;20;94.6937794685;9;29.2999992371;51.0;14;45.8536809683;
77;9;40.4358406067;83.2037124634;21;95.1006400585;9;29.2999992371;52.8492889404;15;46.1381046772;
