Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
23;1;16.9500007629;11.0;6;22.0;4;24.9170875549;17.0200004578;7;36.488294363;
24;1;16.9500007629;11.0;6;22.0;4;24.9464874268;17.0200004578;7;36.5879817009;
25;1;16.9500007629;11.0;6;22.0;4;24.9763946533;17.0200004578;7;36.6891880035;
26;1;16.9500007629;11.0;6;22.0;4;25.0067558289;17.0200004578;7;36.7917330265;
27;1;16.9500007629;11.0;6;22.0;4;25.037519455;17.0200004578;8;36.8954255581;
28;1;16.9500007629;11.0;7;22.0;4;25.0686264038;17.0200004578;9;37.0000648499;
29;1;16.9500007629;11.0;8;22.0;4;25.100019455;17.0200004578;10;37.1054413319;
30;1;16.9500007629;11.0;8;22.0;4;25.1316318512;17.0200004578;10;37.2113387585;
31;1;16.9500007629;11.0;8;22.0;4;24.2119998932;18.0200004578;10;37.3175361156;
32;2;16.9500007629;11.0;7;22.0;4;25.1952610016;17.0200004578;11;37.4238090515;
33;2;14.9500007629;12.0;7;22.0;4;25.227142334;17.0200004578;12;37.5299317837;
34;2;13.9500007629;13.0;7;22.0;4;25.2589797974;17.0200004578;12;37.6356790066;
35;2;12.9500007629;14.0;9;22.0;4;25.2907028198;17.0200004578;12;37.7408282757;
36;2;12.0;15.0;8;22.0;4;24.2119998932;19.0200004578;12;37.8451609612;
37;2;12.0;16.0;8;22.0;4;25.2119998932;21.0200004578;13;37.9484648705;
38;3;12.0;17.0;7;50.75;4;24.2119998932;23.0200004578;13;38.0505356789;
39;3;13.0;18.0;7;52.7625007629;4;25.2119998932;25.0200004578;14;38.1511788368;
40;3;14.0;19.0;7;54.2967796326;5;25.4453525543;27.0200004578;13;38.2502098083;
41;3;15.0;20.0;7;55.4120597839;5;25.475063324;27.0200004578;14;38.3474569321;
42;3;16.0;21.0;7;56.1932144165;5;25.5042362213;27.0200004578;14;38.4427614212;
43;4;17.0;22.0;4;71.725528717;5;25.5328273773;27.0200004578;15;38.5359783173;
44;4;19.0;23.0;5;72.5;5;25.560792923;27.0200004578;15;38.6269779205;
45;4;21.0;24.0;5;73.1693744659;5;25.588092804;27.0200004578;15;38.7156453133;
46;4;23.0;25.0;7;73.7572898865;5;25.614692688;27.0200004578;15;38.8018808365;
47;4;25.0;26.0;7;74.2662696838;5;25.6405639648;27.0200004578;16;38.8856005669;
48;4;27.0;27.0;7;74.7013263702;5;25.6656799316;27.0200004578;16;39.966735363;
49;4;29.0;28.0;9;75.0690898895;5;25.2119998932;29.0200004578;17;40.3120313883;
50;4;31.0;29.0;10;75.3770179749;5;27.2119998932;29.0200004578;17;40.7224514484;
51;4;33.0131034851;29.0;10;75.6327629089;5;28.2167358398;30.0200004578;18;41.2131886482;
52;4;34.0898284912;30.0;11;75.75;5;27.7582473755;31.0200004578;18;41.8016877174;
53;4;35.125;31.0;13;75.75;5;26.9731388092;33.0200004578;19;42.5072753429;
54;4;36.125;32.0;13;75.75;6;28.1645107269;32.0200004578;19;43.3502926826;
55;4;37.0750007629;33.0;14;75.75;6;29.0050868988;32.0200004578;20;44.3505291939;
56;4;37.0750007629;32.0;14;75.75;6;27.6793060303;33.0200004578;20;45.5247840881;
57;4;37.0750007629;31.0;15;75.75;6;27.2119998932;33.0200004578;21;46.867316246;
