Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
50;2;15.7566356659;28.0;11;25.4262857437;5;37.244972229;35.8902244568;14;49.2534604073;
51;2;14.7709140778;29.0;12;25.4887714386;5;38.2741394043;35.9102706909;14;50.3599586487;
52;2;14.7849731445;30.0;12;25.5502166748;5;40.1898651123;36.9300079346;14;50.4825321436;
53;2;15.0;29.0;13;25.6105625629;5;41.2204475403;37.9494361877;14;50.6059080362;
54;3;16.0;29.0;13;33.6697554588;5;41.7360992432;38.968536377;14;50.7300033569;
55;3;18.0;30.0;13;33.9677462578;5;41.7752532959;39.9872970581;13;50.8547304869;
56;3;20.0;31.0;13;34.2519156933;5;41.8150558472;41.0057144165;14;50.9799970388;
57;3;21.9500007629;32.0;14;34.5218219757;5;41.8554763794;41.0237808228;14;52.6051151752;
58;3;22.9500007629;32.0;15;34.7772238255;5;42.5634727478;41.6059799194;14;53.8748759031;
59;4;23.6149368286;32.0;14;35.018068552;5;43.1059570312;42.0257415771;15;54.8722865582;
60;4;23.6713523865;31.0;14;35.2444684505;5;43.5219268799;42.3233413696;15;55.3858113289;
61;4;23.7238426208;30.0;15;35.4566788673;6;44.711933136;43.3917236328;15;56.7628911734;
62;4;23.7724914551;29.0;16;35.6550769806;6;45.2770690918;44.9725189209;15;57.2214095592;
63;4;23.8174171448;28.0;16;35.8401370049;6;45.3418502808;46.0255355835;16;57.7220822573;
64;4;23.8587627411;27.0;16;36.0124082565;7;45.408241272;47.0780906677;15;58.2710248232;
65;4;23.896697998;26.0;17;36.1724944115;7;43.4760932922;48.5436782837;15;58.8749306202;
66;4;23.9314002991;26.0;17;36.25;7;42.545249939;51.1415863037;16;59.5409092903;
67;4;23.9500007629;26.0;17;36.25;7;41.6155319214;52.3791503906;16;60.2762058973;
68;4;23.9500007629;26.0;18;36.25;7;42.6867523193;52.570766449;16;61.0877766609;
69;4;23.9500007629;26.0;18;36.25;7;43.7587051392;52.8364524841;17;61.9816936255;
70;4;23.9500007629;26.0;19;36.25;7;44.8311767578;54.1403884888;17;62.962374568;
71;4;23.9500007629;26.0;18;36.25;7;42.9039535522;56.4848632812;18;64.0316662788;
72;4;23.9500007629;26.0;18;36.25;7;41.97681427;58.8709793091;18;65.1878521442;
73;4;23.9500007629;26.0;16;36.25;7;41.0495262146;61.2981872559;19;66.4247237444;
74;4;23.9500007629;26.0;16;36.25;7;40.1218643188;63.7638778687;19;67.7308988571;
75;4;23.9500007629;27.0;16;36.25;7;39.1936149597;66.2630462646;17;69.089614749;
76;4;23.9500007629;28.0;17;36.25;7;38.2645568848;68.7882003784;17;70.4791914225;
77;4;23.9500007629;29.0;18;36.25;7;37.3344841003;72.5745697021;17;71.87426579;
78;4;23.9500007629;29.8250007629;18;36.25;7;36.4032058716;74.8856582642;18;73.2477297783;
