Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
32;3;19.2003746033;17.0;7;30.7834908962;3;14.9500007629;19.2649517059;8;29.5334510803;
33;3;18.2350463867;18.0;7;30.9008569717;3;14.0;21.2649517059;8;29.851102829;
34;3;17.2702560425;19.0;7;31.0197672844;3;14.0;23.0659923553;8;30.1572093964;
35;3;16.305929184;20.0;7;31.1399610043;3;14.0;24.3414878845;8;30.4502811432;
36;3;15.3419876099;21.0;7;31.2611646652;3;14.0;25.6052532196;8;30.7291164398;
37;3;14.9783496857;22.0;5;32.3830943108;3;14.0;26.8562049866;8;31.9928131104;
38;3;15.0;24.5;5;32.5454576015;3;15.0;28.0935325623;8;32.348261714;
39;3;16.0;26.2727279663;6;32.7091412544;3;17.0;28.0902824402;9;32.6979999542;
40;3;16.0;27.3545703888;7;32.8738472462;3;18.0;28.1963615417;10;33.0426920652;
41;3;16.0;28.4369239807;8;33.0392748117;3;17.0;27.3124313354;10;33.3832232952;
42;3;16.0;29.5196380615;8;33.2051237822;3;16.3364028931;28.0935325623;11;33.7206531763;
43;3;17.0;27.6025619507;9;33.3710968494;3;17.0;28.0935325623;11;34.0561629534;
44;3;16.0;28.6855487823;11;33.5369031429;3;18.0;28.7270011902;12;34.3909994364;
45;4;18.0;28.6855487823;11;33.7022588253;3;19.0;28.1518993378;12;34.7264206409;
46;4;18.4059104919;29.6855487823;11;33.8668917418;3;20.0;27.4537792206;13;35.0636384487;
47;4;20.0;30.6288738251;11;34.0305413008;3;19.5398368835;24.4828548431;13;35.3736231327;
48;4;21.3733139038;30.6288738251;11;34.1929607391;3;19.0;24.4828548431;14;35.6130647659;
49;4;21.4513092041;31.0;12;34.3539199829;3;20.0;25.4828548431;14;35.8675034046;
50;4;23.4670848846;29.0;12;34.5132050514;3;19.7014389038;22.4828548431;14;36.1366217136;
51;4;24.9539604187;29.0;12;34.670619607;3;19.7619895935;25.4828548431;15;36.4198577404;
52;4;25.5016422272;29.832572937;12;34.8259851933;3;20.0;27.4828548431;15;36.7163875103;
53;4;24.3999996185;30.8603382111;12;34.9791414738;3;20.9500007629;29.4828548431;15;37.0251159668;
54;5;24.9331302643;31.0;12;35.1299463511;3;20.9500007629;31.4828548431;15;37.3446760178;
55;5;25.3999996185;29.0;13;35.2782748938;3;20.9500007629;33.4828567505;16;37.6734399796;
