Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
147;12;84.9797286987;144.225204468;12;154.668780804;13;54.2557029724;157.328826904;26;156.702643275;
148;12;82.2668762207;147.310516357;14;156.390986919;13;59.2132644653;160.353378296;28;158.085570455;
149;12;83.4390945435;147.395294189;16;158.14222765;13;63.3538284302;158.377944946;30;159.321462035;
150;12;82.6142272949;150.479354858;10;159.907020569;14;63.2557029724;162.402526855;26;160.435350895;
151;12;82.7907028198;153.562469482;11;161.669431686;14;67.2557067871;162.427093506;26;161.419355631;
152;12;84.9552307129;151.562469482;11;163.413919449;14;72.2557067871;159.451660156;28;162.199287295;
153;12;86.0350570679;152.562469482;13;165.126052856;14;74.1186904907;162.476211548;29;162.984775305;
154;12;89.1071243286;154.312469482;13;166.793011665;14;78.3688964844;162.500732422;30;163.807391524;
155;13;90.1827163696;159.562469482;11;168.403814793;14;79.6454162598;161.52520752;30;164.664611697;
156;13;88.2612304688;163.562469482;13;169.949300766;14;78.7682952881;166.549636841;35;166.5532161;
157;13;90.3313446045;162.562469482;10;171.421958447;14;81.0991668701;169.574020386;36;167.529233813;
158;13;90.5335464478;165.562469482;10;172.722135067;14;83.3318939209;169.598327637;36;168.530861139;
159;13;91.6187515259;165.562469482;12;174.922510147;14;82.5293884277;175.622558594;37;169.552571774;
160;13;91.690536499;165.562469482;15;176.107846737;15;83.9841308594;178.646728516;36;187.588016391;
161;13;91.7798690796;169.562469482;16;177.217413425;15;84.4616699219;184.670776367;36;189.990086794;
162;13;93.9690322876;171.562469482;17;179.248906016;15;88.9581604004;184.694747925;37;192.250146389;
163;13;96.048866272;174.562469482;20;180.212684751;15;88.468963623;190.318603516;40;194.343189836;
164;12;98.1163024902;177.562469482;20;181.058421254;16;89.9887237549;194.342346191;40;196.257116079;
165;12;99.3212356567;180.562469482;21;181.869846702;16;87.51171875;205.03237915;42;197.990742683;
166;12;99.402381897;186.562469482;22;182.64677155;16;87.0320129395;212.063079834;43;199.550793648;
167;12;99.4800643921;188.562469482;20;183.390622258;16;86.5438232422;219.093597412;40;200.948809266;
168;12;102.547431946;186.562469482;17;184.104114771;16;85.2825698853;222.123931885;37;202.198623896;
169;12;100.625801086;190.562469482;17;184.790894866;16;84.2825698853;229.154022217;39;203.259743452;
170;12;102.662445068;195.562469482;17;185.406762481;17;84.2825698853;232.175018311;41;204.009810209;
171;12;107.69493103;192.562469482;20;185.995411158;17;86.2825698853;231.175018311;41;204.706370831;
172;12;103.814926147;194.562469482;22;186.573318243;17;82.2825698853;237.174987793;40;205.255965233;
173;12;103.836647034;198.562469482;25;187.079777479;17;82.2825698853;241.174987793;41;205.737392902;
174;12;105.907974243;191.562469482;22;187.497315645;17;92.0369873047;246.175003052;42;206.181321621;
175;12;101.94972229;195.562469482;23;187.937297583;17;94.5380020142;245.175003052;45;206.589492083;
176;12;100.993728638;200.562469482;24;188.398648262;17;97.1380004883;247.175003052;48;207.964184523;
177;12;102.039855957;194.562469482;21;189.727500439;17;99.1859130859;248.175003052;47;208.428012013;
178;12;100.172744751;199.562469482;22;191.038091183;17;98.1976470947;254.175003052;49;208.876801491;
179;12;100.30381012;204.162475586;19;192.324410915;18;99.3229522705;261.174987793;48;209.29021287;
180;12;101.432434082;205.162475586;20;193.581387043;18;103.341758728;262.174987793;48;209.573842168;
181;12;100.558135986;205.162475586;20;194.80480051;18;103.483825684;266.174987793;48;209.874500275;
182;12;100.659179688;205.162475586;23;195.991176128;18;103.039001465;272.174987793;49;210.1929214;
183;12;100.799110413;205.162475586;24;197.13765645;18;106.195846558;269.174987793;49;210.529753685;
184;12;101.841880798;207.162475586;25;198.24189806;18;102.885536194;271.875;49;210.885521412;
185;12;101.939979553;212.162475586;28;199.301985264;18;105.885536194;273.875;50;212.260581493;
186;12;103.112609863;208.162475586;31;200.316373825;18;107.958618164;278.875;50;212.745077968;
187;12;100.191246033;212.162475586;33;201.267079353;18;110.985961914;284.875;51;213.256011486;
188;12;101.31124115;211.162475586;33;202.039166451;18;113.128799438;289.875;54;213.793334603;
189;12;104.389282227;209.162475586;37;202.783908367;18;115.200019836;296.875;55;214.35662961;
190;12;101.442565918;211.162475586;38;203.498503685;18;120.227600098;301.875;55;214.945065498;
191;12;102.549850464;211.162475586;39;204.180722237;18;121.394523621;303.875;55;215.891247869;
192;12;104.61806488;213.162475586;40;204.828914165;18;122.557823181;308.939300537;58;214.963493586;
193;13;106.471931458;215.162475586;41;205.441987991;18;124.886352539;309.003601074;58;214.214388013;
194;13;107.544197083;218.162475586;42;205.966920853;18;126.145812988;308.067840576;58;213.625068426;
195;13;108.596694946;221.162475586;39;206.422759056;18;124.822357178;310.131958008;58;213.177892327;
