Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
156;6;17.0;69.0;40;46.0;9;25.3999996185;90.2115097046;32;92.4704959393;
157;6;16.0;70.0;41;46.0;10;25.0;90.2115097046;32;92.9345180988;
158;6;16.0;71.0;42;46.4200000763;10;24.0;93.2115097046;32;93.4361143112;
159;6;17.0;69.2099990845;42;46.8424363136;10;25.0;93.2115097046;33;93.9760563374;
160;6;16.0;70.4212188721;41;47.2637639046;10;25.0;93.2115097046;29;94.5543646812;
161;6;16.0;71.6318817139;41;47.6804304123;11;24.0;96.2115097046;28;96.1701362133;
162;6;17.0;69.8402175903;41;49.0889959335;11;26.0;97.2115097046;25;96.8613920212;
163;6;17.0;72.0444946289;42;50.5462470055;11;27.0;98.2115097046;26;98.5861444473;
164;6;20.0;73.0444946289;43;51.0522589684;11;27.0;103.211509705;22;99.3999724388;
165;6;22.9955921173;72.0444946289;43;51.5475844145;11;29.0;105.211509705;22;100.956355929;
166;6;22.0780239105;74.0444946289;44;52.0303343534;11;29.0;107.211509705;22;102.468673468;
167;6;22.1562461853;76.0444946289;44;52.4990936518;11;28.0;111.211509705;23;104.930628538;
168;6;23.2299194336;75.0444946289;44;52.9529213905;11;29.0;116.211509705;27;106.427163363;
