Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
19;2;19.625;12.8768224716;2;26.2905418873;2;17.6017875671;12.5;2;26.4377241135;
20;2;19.625;13.0162162781;2;26.3255085945;2;18.6383037567;12.5;2;26.6183350086;
21;2;19.9232387543;12.5;2;26.3609591722;2;19.6789398193;12.5;4;26.8187118769;
22;2;19.625;13.0443840027;2;26.3968753815;2;19.625;12.5;4;27.0402543545;
23;2;19.625;13.0587501526;2;26.4332377911;2;19.625;12.5;5;27.2842636108;
24;2;19.947479248;12.5;2;26.4700255394;2;19.625;12.5;5;27.5518820286;
25;2;19.625;13.0880098343;4;26.5072168112;2;19.625;12.5;5;27.8440244198;
26;3;19.625;13.1028871536;2;26.5447884798;2;19.625;12.5;5;28.1613030434;
27;3;19.625;13.1179151535;2;26.5827163458;3;19.625;12.5;4;28.5039470196;
28;3;19.9811115265;12.5;3;26.6209751368;3;19.625;12.5;4;28.871723175;
29;3;17.9897193909;13.5;3;26.6595385075;3;19.625;12.5;4;29.263862133;
30;3;16.9983959198;14.5;3;26.6983793974;3;19.625;12.5;4;29.6789975166;
31;3;16.0071353912;15.5;3;26.7374696732;3;19.625;12.5;4;30.1151270866;
32;3;15.0159301758;16.5;3;26.7767804861;3;19.625;12.5;7;30.5695996284;
33;3;14.3997755051;17.5;3;26.8162822723;4;19.625;12.5;4;46.0391392708;
34;3;14.4086637497;18.5;3;26.8559447527;4;20.625;13.5;4;47.2699065208;
