Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
18;2;20.0485420227;12.5;5;26.9599220753;1;24.2000274658;10.625;5;21.25;
19;2;20.0659828186;12.5;5;27.0391044617;1;24.75;10.625;5;21.25;
20;2;20.0837974548;12.5;7;27.1198713779;1;24.75;10.625;5;21.25;
21;2;20.1019706726;12.5;7;27.2021250725;1;24.75;10.625;6;21.25;
22;2;20.1204776764;12.5;7;27.2857589722;1;24.75;10.625;6;21.25;
23;2;20.139295578;12.5;7;27.3706576824;1;24.75;10.625;7;21.25;
24;2;20.1583976746;12.5;7;27.4566969872;1;24.75;10.625;7;21.25;
25;3;19.625;13.2370090485;7;27.5437452793;1;24.75;10.625;7;21.25;
26;3;19.625;12.5;7;27.6316635609;1;24.75;10.625;7;21.25;
27;3;20.217124939;12.5;7;27.7203068733;1;24.75;10.625;7;21.25;
28;3;20.2370681763;12.5;7;27.8095245361;1;24.75;10.625;7;21.25;
29;3;19.625;13.5;8;27.8991618156;1;24.75;10.625;7;21.25;
30;3;19.625;13.9495811462;8;27.9890601635;1;24.75;10.625;7;21.25;
31;3;19.625;13.9945297241;8;28.0790588856;1;24.75;10.625;7;21.25;
32;3;19.625;14.0395298004;8;28.1689963341;1;24.75;10.625;7;21.25;
33;4;19.625;14.0844984055;6;33.2587106228;1;24.75;10.625;7;21.25;
34;4;20.625;14.1293554306;6;33.4980413914;1;24.75;10.625;7;21.25;
35;4;20.3783092499;13.5;6;33.733604908;1;24.75;10.625;7;21.25;
36;4;20.3982868195;14.5;6;34.9648804665;1;24.75;10.625;8;21.25;
37;4;21.0500965118;16.0;6;35.2813900709;1;24.75;10.625;8;21.25;
38;4;21.1115036011;17.0450000763;6;35.599821806;1;24.75;11.625;8;21.25;
39;4;20.5464286804;18.0935592651;7;35.9201756716;1;24.75;12.625;8;21.25;
40;4;20.6047668457;19.1458683014;8;36.2424879074;1;24.75;13.625;9;21.25;
41;4;20.6614227295;20.2021141052;8;36.5668253899;1;24.75;14.625;9;21.25;
42;4;21.0594367981;20.5;9;36.8932765722;1;24.75;15.625;9;21.25;
43;4;20.7694168091;22.327085495;9;37.2219401598;1;24.75;15.625;10;21.25;
44;4;21.8206481934;23.327085495;10;37.5529155731;2;24.75;15.625;9;21.25;
45;4;23.3063316345;25.327085495;10;37.8862879276;2;24.75;15.625;10;21.25;
46;4;24.3889274597;27.327085495;11;38.2221143246;2;24.75;15.625;10;21.25;
47;4;25.4717006683;30.3270835876;11;38.560410738;2;24.75;15.625;10;21.25;
48;4;26.0064926147;33.3270835876;12;38.901137352;2;24.75;15.625;10;21.25;
49;4;27.2627944946;32.5;12;39.2441852093;2;24.75;15.625;11;21.25;
50;4;26.7129592896;33.5;12;39.5893647671;3;24.75;15.625;10;21.25;
51;4;27.4295368195;32.5;13;39.9049189091;3;24.75;15.625;10;21.25;
52;5;26.7775764465;33.5;11;55.1853158474;3;24.75;15.625;10;21.25;
53;6;26.7250003815;36.2226791382;10;56.2208726406;3;24.75;15.625;10;21.25;
54;6;27.7250003815;36.5;10;57.180201292;3;24.75;15.625;10;21.25;
55;6;29.6032962799;37.9286460876;11;58.0615992546;3;24.75;15.625;10;22.25;
56;7;31.6568412781;36.9286460876;10;58.8666210175;3;25.75;16.625;10;22.2899999619;
57;7;31.7114334106;38.9286460876;10;59.5816760063;3;26.75;17.625;11;22.3311839104;
58;8;31.7250003815;40.9286460876;10;60.1980729103;3;26.75;18.625;11;22.3735535145;
59;8;33.7249984741;40.0;10;60.7558546066;3;26.75;19.625;11;22.4171074629;
60;8;34.4670944214;40.0;10;62.2614336014;3;26.75;20.625;11;22.461841464;
61;8;35.3898277283;40.0;10;62.667236805;3;26.75;21.2309207916;11;22.5077478886;
62;8;36.5499992371;41.5;10;62.9544863701;4;27.75;22.2538738251;10;24.3768459558;
63;8;36.4249992371;41.5;10;64.2392294407;4;29.2281265259;23.6884231567;10;26.0533272624;
64;8;39.0538291931;42.5;11;65.6503360271;4;31.1887664795;26.0516624451;10;26.6694710255;
65;8;41.2420768738;45.5;11;66.1021885872;4;32.475276947;28.3522377014;10;27.1870083213;
66;8;42.3185806274;48.1059188843;12;68.2617539167;4;32.6989097595;30.599773407;11;27.6245588064;
67;9;43.3516426086;50.0;11;70.1289694309;4;32.8707847595;31.80377388;11;27.7925625443;
68;9;43.5570220947;52.3899993896;11;71.7500631809;4;32.8771476746;32.8696327209;11;27.9267728329;
69;9;43.1881599426;55.3611564636;13;73.1735055447;4;32.8594322205;33.5805282593;12;28.0702608228;
70;10;43.7838287354;55.6030044556;12;74.2819857597;5;32.8434906006;33.6655578613;12;28.2226920128;
71;10;44.8134422302;54.0;13;74.9934233427;5;32.8291397095;33.0115509033;13;28.3837282658;
72;10;44.6825752258;54.6465377808;14;75.7326742411;5;32.8162269592;33.8450088501;13;28.5530229807;
73;11;45.1398468018;54.0;13;76.5004470348;5;32.8046035767;33.9393424988;13;28.7302169204;
74;11;42.2440910339;55.6950378418;14;77.2969316244;5;32.4000015259;36.9317245483;14;28.9149346352;
75;12;43.149055481;55.9791641235;13;78.1216061115;5;32.4000015259;38.9774780273;13;29.1067811847;
76;12;43.8250007629;57.7742919922;13;78.973056674;5;32.4000015259;41.0248031616;14;29.3053398132;
77;12;38.6999969482;61.8512954712;13;79.8488222361;6;32.4000015259;43.0736618042;12;29.5101699829;
78;13;37.6999969482;65.930229187;12;80.7452954054;6;32.4000015259;44.0618972778;12;29.7208069563;
79;13;35.6999969482;68.0110015869;12;82.6576977968;6;32.4000015259;47.0618972778;12;29.9367610812;
80;13;34.5999984741;74.0935287476;13;83.6701486111;6;32.4000015259;49.2289581299;13;30.1575184464;
81;14;34.5999984741;81.0492553711;12;84.7707220316;6;32.4000015259;51.2834129333;13;30.3825418949;
82;14;34.2999992371;85.3119277954;12;85.8570934534;6;32.4000015259;53.3390769958;14;30.6112722158;
83;14;34.2999992371;91.3534317017;12;86.8726906776;7;32.4000015259;55.0252418518;15;30.8431317806;
84;14;34.2999992371;96.6193389893;9;88.8922477961;7;32.4000015259;55.4215660095;15;31.077526629;
85;14;35.2999992371;101.039100647;10;89.9854810238;7;32.4000015259;55.5387649536;15;31.3138506413;
86;13;34.2999992371;99.5756530762;10;90.2990207672;8;32.4000015259;55.6569290161;14;33.205658555;
87;13;34.2999992371;102.954376221;10;92.1688246727;8;33.4000015259;56.7757415771;15;33.5820468068;
88;13;34.2999992371;106.316856384;10;92.9507332444;9;34.4000015259;57.8949127197;13;33.9675604105;
89;13;34.2999992371;109.660858154;11;95.9655913711;9;34.4000015259;59.0141143799;13;34.5866381526;
90;13;34.2999992371;113.389884949;12;98.6295850873;9;34.4000015259;60.2454948425;15;35.2258114815;
91;13;35.2999992371;114.003471375;12;100.992990315;9;34.4000015259;61.482257843;17;35.8830832243;
92;13;35.2158508301;115.481788635;14;103.114293694;9;34.4000015259;61.723400116;17;36.5562006831;
93;14;37.3619003296;118.233444214;14;104.87823689;9;34.4000015259;61.9678192139;17;38.24268049;
94;14;36.5260772705;119.394859314;14;106.40718931;9;35.4000015259;63.2143630981;18;39.9148381352;
95;14;36.7089233398;120.556007385;15;107.918737769;9;37.4000015259;65.4618377686;18;41.6573277712;
