Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
47;6;36.7497711182;41.135269165;12;74.3107602596;5;30.2600002289;32.1223945618;4;56.8619464636;
48;6;36.7993011475;42.0843734741;13;75.4308373928;5;31.6386413574;33.5;5;57.5206999779;
49;7;37.8377914429;43.0408668518;12;98.1582307816;6;32.2600021362;35.4675712585;4;58.1017831564;
50;7;37.5514411926;46.0040893555;13;100.094172239;6;33.666179657;35.748374939;4;58.6101725101;
51;7;39.1395454407;49.9732971191;14;101.721955776;6;34.557510376;36.4210662842;4;59.0524576902;
52;7;40.2162704468;52.6487159729;14;105.481250763;6;35.998008728;35.6680908203;4;59.4360519648;
53;7;39.3928565979;54.7600593567;15;108.514071226;6;36.1569519043;36.4032669067;4;59.768558979;
54;7;39.5405654907;56.8393363953;16;110.94733572;6;34.703994751;36.6117248535;5;59.9636011124;
55;7;39.6625175476;58.9436340332;16;112.618507147;6;33.2803573608;38.41746521;5;60.0423924923;
56;7;39.7621116638;61.0678863525;16;113.940208912;6;29.9600009918;40.99949646;5;61.1221094131;
57;7;39.8427124023;63.2084693909;18;114.45344305;6;28.9600009918;44.0361709595;5;61.3326873779;
58;8;41.8514404297;62.4039421082;17;114.875318766;6;28.4500007629;47.0732345581;7;61.5594894886;
59;8;39.8514404297;60.9941444397;18;115.286744595;7;28.0826301575;50.1106681824;6;61.8038749695;
60;10;36.9514389038;65.0997238159;14;131.686834335;7;28.1313171387;53.1484298706;8;62.0672250986;
61;11;38.4000015259;65.1987915039;14;132.874867916;7;29.1855010986;53.0246582031;8;64.3859075308;
62;11;40.4000015259;69.291305542;14;133.955882549;7;28.426322937;55.0023117065;12;66.381593585;
63;11;41.4000015259;73.3224945068;14;134.929964066;7;28.647562027;56.9877891541;13;68.1033000946;
64;11;43.4000015259;71.4569549561;15;135.801241875;8;28.8531246185;58.9797096252;12;69.6025806665;
65;11;43.4000015259;73.5304031372;16;137.5766716;8;29.2270107269;59.009349823;12;71.7652264833;
66;12;45.4000015259;76.5978851318;15;138.440334082;8;30.2288532257;60.9786605835;13;72.5920392275;
67;12;45.4000015259;78.8902511597;15;140.254801869;8;30.2999992371;59.0504302979;14;73.4358832836;
68;12;48.9050369263;85.9755401611;16;141.101461291;9;31.2999992371;61.7283782959;8;84.1888221502;
69;12;52.8001022339;93.0596008301;16;141.647061825;9;32.2999992371;62.9592628479;8;85.4398485422;
70;13;54.9463844299;94.2228393555;13;163.231399775;8;25.4754981995;64.0081634521;9;65.7046802044;
71;14;53.5808258057;102.222839355;13;163.863152385;9;28.9380073547;60.9536628723;8;66.9766497612;
72;15;54.6376838684;109.40284729;12;164.546216726;9;28.0;61.9536628723;10;68.2488236427;
73;15;55.6991577148;115.486625671;13;165.284067154;9;30.4282836914;62.9536628723;11;69.5140340328;
74;15;56.7655639648;120.826042175;13;166.079421282;9;26.0;67.3051147461;12;70.7649527788;
