Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
20;2;19.2881202698;11.0;4;23.559068203;2;21.3867835999;12.8624048233;5;26.2296639681;
21;2;18.9500007629;11.6236276627;4;23.6166123152;2;21.5;12.8688993454;5;26.2514331341;
22;2;18.9500007629;11.8083057404;5;23.67535007;2;21.5;12.8754301071;5;26.2733153105;
23;2;19.3269538879;11.0;6;23.735237956;2;21.5;12.8819942474;5;26.2953014374;
24;2;18.9500007629;11.8676185608;6;23.7962274551;2;21.5;12.8885908127;5;26.3173824549;
25;2;17.3541526794;12.0;6;23.8582650423;2;21.8952140808;12.5;5;26.3395489454;
26;2;16.3681106567;13.0;7;23.9212924242;2;21.9018650055;12.5;6;26.3617914915;
27;2;15.3822917938;14.0;7;23.9852466583;3;21.5;13.1808958054;5;26.3841004372;
28;2;14.446680069;15.0;6;24.0500600338;4;21.5;13.1920499802;4;26.4064661264;
29;3;14.0;17.0;5;24.1156606674;4;21.9219398499;12.5;3;26.428878665;
30;3;14.0;17.0;5;24.1819727421;4;21.5;13.2144393921;3;26.4513280392;
31;3;14.0;19.0;5;24.2489161491;4;21.5;13.2256641388;4;26.4738043547;
32;4;14.5060062408;19.0;2;44.3164079189;4;21.5;13.2369022369;5;26.4962974787;
33;4;15.0;20.0;3;45.5843627453;4;21.9488887787;12.5;5;26.5187973976;
