Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
20;1;16.9500007629;11.0;5;22.0;2;22.3264255524;14.5;6;31.0857429504;
21;1;16.9500007629;11.0;5;22.0;2;22.7000007629;14.5;6;31.2090990543;
22;1;16.9500007629;11.0;5;22.0;2;22.7000007629;14.5;5;31.3370258808;
23;1;16.9500007629;11.0;5;22.0;2;22.7000007629;14.5;5;31.4693710804;
24;1;16.9500007629;11.0;4;22.0;2;22.7000007629;14.5;7;31.6059427261;
25;1;16.9500007629;11.0;5;22.0;2;22.7000007629;14.5;7;31.7465088367;
26;1;16.9500007629;11.0;5;22.0;3;22.7000007629;14.5;6;31.890796423;
27;1;16.9500007629;11.0;5;22.0;3;22.7000007629;14.5;6;32.0384931564;
28;1;16.9500007629;11.0;5;22.0;3;22.7000007629;14.5;7;32.189248085;
29;1;16.9500007629;11.0;6;22.0;3;22.7000007629;14.5;7;32.3426749706;
30;1;16.9500007629;11.0;7;22.0;3;22.7000007629;14.5;8;32.4983541965;
31;1;16.9500007629;11.0;7;22.0;3;22.7000007629;14.5;8;32.6558377743;
32;1;16.9500007629;11.0;7;22.0;3;22.7000007629;14.5;8;32.8146533966;
33;1;14.9500007629;12.0;7;22.0;3;22.7000007629;14.5;8;32.9743099213;
34;1;13.9500007629;13.0;7;22.0;3;22.7000007629;15.5;8;33.134303093;
35;1;12.9500007629;14.0;7;22.0;3;22.7000007629;16.5;9;32.8941230774;
36;1;12.0;15.0;8;22.0;3;23.5799999237;14.3000001907;9;32.6932573318;
