Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
82;8;30.7999992371;65.219909668;27;65.8832743168;6;22.9410934448;58.6334953308;15;63.9871836901;
83;8;30.7999992371;66.2976074219;28;67.0894091129;6;22.9532737732;64.5788574219;15;64.3403891325;
84;9;30.7999992371;67.3774032593;27;68.3405923843;6;24.0086288452;65.5788574219;15;64.6686141491;
85;10;30.7999992371;68.4590682983;26;69.6323492527;6;25.0576171875;67.5788574219;18;64.9740588665;
86;10;30.7999992371;69.5423736572;28;70.9578986168;6;26.1007480621;69.5788574219;19;65.2589950562;
87;10;30.7999992371;70.6270370483;28;73.3078584671;6;27.1385421753;71.5788574219;19;65.4299997091;
88;10;31.7999992371;73.7127914429;30;74.7389640808;6;28.1499996185;73.5788574219;21;65.5531126261;
89;11;32.7999992371;76.7993164062;29;76.1721283197;7;29.1499996185;75.5788574219;21;65.6791346073;
90;11;32.7999992371;79.8863067627;30;77.591494441;7;29.8999996185;77.5788574219;21;65.8079260588;
91;11;32.7999992371;82.9734268188;30;79.9805316925;7;29.8999996185;79.5788574219;21;65.9393264055;
92;11;33.7999992371;87.0603485107;30;81.3919575214;7;29.8999996185;80.2689208984;22;66.0731544495;
93;11;35.7999992371;87.7837905884;31;82.7466827631;7;27.8999996185;82.3403396606;23;66.2092084885;
94;11;34.7999992371;90.910697937;31;83.9667001963;7;26.8999996185;84.4128646851;23;66.3472677469;
95;11;34.7999992371;94.0385131836;31;86.056044817;7;25.8999996185;86.4863891602;25;67.487093091;
96;11;36.7999992371;95.1669692993;34;87.1250078678;7;25.8999996185;89.5607910156;26;67.8084290028;
97;13;36.7999992371;98.2958068848;32;87.9325598478;7;25.8999996185;92.6359481812;27;68.161280632;
98;13;36.7999992371;101.42477417;31;88.6915615797;7;26.1499996185;92.7117156982;29;68.549636364;
99;13;37.7999992371;101.553634644;32;89.405346632;7;26.1499996185;92.7879486084;29;68.9777641296;
100;13;36.7999992371;106.171333313;32;90.0781085491;7;27.1499996185;93.8644943237;30;69.4501084089;
