Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
91;10;36.4000015259;70.7898406982;21;50.6431589127;13;46.3405151367;92.0491790771;6;117.482936859;
92;10;37.4000015259;70.4970855713;22;51.738877058;13;45.482383728;97.6625976562;6;119.034792304;
93;10;36.4000015259;72.7559890747;22;52.8706014156;13;45.6260681152;101.938690186;7;120.471794128;
94;10;36.4000015259;74.7250137329;23;55.033005476;13;45.7714805603;106.151123047;7;121.78298974;
95;11;37.4000015259;76.1014404297;22;56.2598409653;13;46.9185409546;106.904098511;7;122.964683414;
96;11;38.4000015259;77.4829406738;21;57.5052354336;13;46.0671615601;110.106163025;10;124.019424319;
97;11;38.4000015259;78.8672866821;31;58.7614870071;13;46.2172393799;113.298042297;11;124.95448482;
98;12;38.4000015259;80.2521057129;21;75.020452857;13;47.368686676;113.479995728;12;125.780204892;
99;13;39.4000015259;84.0441513062;20;77.7737876177;13;45.521396637;116.652404785;13;126.508488655;
100;13;40.4000015259;84.7767715454;20;80.4156990051;13;44.6752624512;119.815696716;13;127.15160954;
101;13;40.4000015259;86.8578643799;21;82.9038345814;14;44.8301734924;119.970344543;14;127.573599339;
102;13;40.4000015259;90.8928146362;22;85.2092008591;14;51.799446106;127.467643738;17;127.776107907;
103;13;40.4000015259;93.0028915405;22;87.3169759512;14;54.5753746033;132.3697052;19;127.977314949;
104;13;40.4000015259;95.1104202271;23;89.224976182;14;55.051864624;135.482833862;22;128.176916838;
105;14;40.4000015259;97.2154159546;24;90.9406325817;16;55.228767395;138.594741821;23;128.374623895;
106;14;40.4000015259;99.3179168701;25;92.4571633339;16;55.4059333801;141.705245972;23;128.570164084;
107;14;40.4000015259;101.417961121;25;94.1398077011;16;55.5832099915;144.814178467;24;129.76328516;
108;14;40.4000015259;103.457878113;26;96.9826188087;16;57.7604408264;145.92137146;22;129.983754873;
109;14;40.4000015259;104.841186523;26;99.5250486135;16;57.9374923706;150.026702881;24;130.201953053;
110;14;40.4000015259;107.225311279;26;101.967513919;16;59.2202606201;151.1300354;23;130.417683482;
111;14;42.4000015259;105.318099976;25;104.323695898;16;59.3996047974;152.231262207;24;130.63077116;
112;14;41.911491394;108.415672302;25;107.567130804;16;60.5783805847;154.330291748;24;130.841061473;
113;14;42.9514122009;112.518013;25;110.737505913;17;62.7564582825;153.236129761;24;131.048420787;
114;15;45.9910125732;114.625061035;27;113.82438159;17;62.9336738586;153.521453857;24;131.252735138;
115;15;50.0302200317;113.926589966;27;115.824209809;17;64.1099243164;153.408096313;26;131.986933112;
116;15;51.068977356;118.926589966;28;117.586001992;18;66.3383636475;150.606216431;25;132.74201858;
117;15;52.1072158813;123.926589966;29;119.191835165;18;65.8679885864;149.845321655;26;133.514838934;
118;15;53.1448783875;128.09753418;30;120.678238392;18;66.0983505249;152.000305176;27;134.302017927;
119;15;55.1819152832;128.490722656;31;122.054364204;19;67.3290100098;149.163406372;26;136.100058436;
120;15;55.2182693481;131.692901611;32;124.330589771;19;67.5595092773;151.334747314;26;137.965452433;
121;15;58.7481460571;129.356994629;34;125.661784291;19;69.789390564;155.514389038;27;139.89774704;
122;15;61.8525276184;127.926589966;35;126.883167386;19;71.1304931641;156.626037598;29;141.896746993;
123;16;61.9577140808;130.926589966;41;128.136472821;18;73.4767379761;160.744247437;29;143.962577462;
124;17;63.0634994507;133.926589966;35;139.436549187;18;76.8280105591;169.868972778;30;146.095733643;
125;17;65.1696624756;137.926589966;36;142.41422689;19;80.1842880249;174.000167847;31;147.297094226;
126;17;69.2759780884;138.926589966;37;144.613651752;19;80.5455551147;182.137680054;30;148.507916331;
127;18;70.3822250366;142.926589966;36;146.88340354;19;80.9118804932;188.281295776;32;149.726839781;
128;18;71.4881591797;147.596099854;37;149.318364978;19;82.1710510254;194.527038574;35;150.952732682;
129;18;73.5935592651;149.596099854;35;151.934545755;19;81.4288864136;202.516677856;33;152.184641123;
130;18;72.6981811523;154.596099854;36;154.745342255;20;81.6852111816;210.636352539;35;153.421726704;
131;18;73.9652709961;161.596099854;37;157.758443832;20;82.9399032593;211.986724854;36;154.663208842;
132;18;77.9652709961;165.596099854;38;160.972489834;20;82.1928253174;219.607284546;37;155.908310294;
133;18;82.5024108887;167.596099854;39;164.374082088;20;91.2406921387;211.759170532;39;157.156210661;
134;18;87.8247756958;169.596099854;39;167.912196398;20;95.7668991089;211.895233154;38;158.406008959;
135;18;89.3923110962;170.596099854;37;171.543414831;20;100.190368652;207.116744995;34;159.63327229;
136;18;90.60962677;175.70993042;38;176.149312019;21;95.8854904175;213.62348938;30;161.734750748;
137;18;92.9179382324;180.032241821;40;180.701414824;21;95.021522522;214.917755127;32;162.938647628;
138;18;95.2217636108;179.335235596;43;185.042586327;21;99.0743103027;210.134872437;32;164.159482479;
139;18;94.5198440552;184.648666382;44;188.212024212;21;95.6254119873;214.283294678;34;165.394990802;
140;18;96.7036514282;189.819946289;45;191.218681335;21;97.1654129028;214.435287476;36;166.642877579;
141;18;100.882247925;188.990631104;46;194.004805565;22;101.292312622;207.590621948;36;167.900835991;
142;18;102.055526733;194.160324097;48;196.528306007;22;99.2281417847;213.749008179;38;170.166566014;
143;18;105.223365784;197.244903564;48;198.76561594;22;102.911964417;214.910171509;41;171.497786403;
144;18;109.385704041;195.244903564;52;200.702623367;22;108.088264465;209.514343262;43;172.83520937;
145;18;108.535675049;202.244903564;53;202.290640354;22;104.464118958;214.680084229;43;174.17668736;
146;18;111.629379272;206.244903564;57;203.479441166;22;104.661827087;218.847579956;45;175.520100355;
147;18;113.721618652;211.244903564;57;204.394256115;22;106.755332947;224.626571655;50;176.863357425;
148;18;116.812179565;213.244903564;59;205.172201633;22;108.760307312;231.893539429;49;178.204390407;
149;18;118.900878906;215.244903564;57;205.834844589;22;109.897460938;239.044052124;48;179.541149855;
150;18;119.987579346;220.244903564;54;206.331264019;22;105.007011414;246.380950928;49;180.871596694;
151;18;122.072128296;225.244903564;55;206.589668751;22;102.133598328;256.005981445;50;182.193700075;
