Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
170;15;92.4035644531;202.0;63;216.857372761;22;97.8787536621;255.187652588;58;143.175289154;
171;15;91.433807373;212.0;64;217.641820908;22;99.0072402954;256.573120117;60;144.489234209;
172;15;91.4641876221;222.0;66;217.946138144;22;96.130279541;266.971954346;61;145.82945776;
173;15;92.4946136475;232.0;67;218.250392199;22;98.2735900879;270.512939453;64;147.192733765;
174;15;93.5250396729;242.0;67;218.5539217;22;99.4099197388;270.105072021;64;148.575453162;
175;15;97.5553894043;242.128356934;68;218.856066465;22;97.5575256348;282.991271973;65;149.973675728;
176;15;95.585609436;250.637390137;68;219.156173229;22;98.6973648071;293.211273193;67;151.383187175;
177;15;96.6156158447;258.07611084;70;219.453602314;22;99.8383102417;303.432403564;68;152.799562335;
178;15;102.645362854;250.511016846;68;219.747733593;22;100.979942322;313.654296875;70;154.218236208;
179;15;98.6747741699;257.941131592;63;220.037970543;22;105.059844971;313.994903564;69;155.634567022;
180;15;100.692085266;263.189910889;63;220.323747158;23;106.256103516;314.324493408;68;157.043890715;
181;15;104.720657349;255.259246826;67;220.604531765;23;104.404380798;325.64440918;70;158.441577196;
182;15;100.760452271;263.32723999;67;221.151096344;23;105.544151306;335.042480469;72;159.774666786;
183;15;103.790290833;269.393829346;68;221.700062752;23;107.676223755;341.44241333;72;161.029580116;
184;15;108.870002747;263.458953857;75;222.248950243;23;109.801734924;344.843505859;75;162.253422737;
185;15;106.899894714;266.522613525;79;222.79524231;23;111.913627625;346.092803955;74;163.454152584;
186;15;105.979522705;275.584747314;81;223.336437225;23;112.036048889;349.58380127;76;165.627769232;
187;15;112.03364563;269.645324707;81;223.870095253;23;115.120521545;350.995574951;76;166.747177362;
188;15;110.062683105;272.704376221;85;224.393887997;23;118.259620667;349.409240723;78;167.821478844;
189;15;110.11529541;278.76184082;85;224.905641079;23;117.482154846;353.824035645;77;168.86530304;
190;15;115.190567017;272.817749023;85;225.403373241;23;120.353942871;355.239135742;80;169.875879407;
191;15;112.240341187;278.872070312;87;225.863382339;24;121.504562378;356.653625488;79;170.850926995;
192;15;112.286338806;287.896240234;87;226.288704395;24;121.775115967;358.066650391;81;171.788685322;
193;15;119.307800293;278.896240234;89;226.696693897;24;121.478866577;362.47744751;83;172.594353914;
194;15;116.349067688;281.896240234;91;227.086357117;24;123.55645752;360.885101318;84;173.344729185;
195;15;115.408638;290.896240234;93;227.456963539;24;123.613723755;360.136535645;86;174.068017602;
196;15;121.44569397;284.896240234;94;227.808036804;24;122.677146912;362.385681152;90;176.155762076;
197;15;119.463478088;287.896240234;95;228.139340401;24;123.91557312;361.902404785;91;179.204204917;
198;17;119.497146606;293.896270752;93;228.450856209;24;125.071296692;367.110351562;92;181.295444846;
199;17;125.545082092;284.896240234;93;228.742764473;24;128.273635864;369.118347168;93;183.339616299;
200;17;121.574279785;290.896240234;95;229.015419006;24;129.633956909;370.786865234;95;185.331100464;
201;17;122.588127136;296.896270752;97;229.269320488;24;130.759536743;373.146240234;95;187.265272975;
202;17;129.614028931;284.896240234;96;229.50508976;24;131.001541138;378.508666992;98;189.138494253;
203;17;124.650512695;290.896240234;97;239.808594704;24;134.137115479;371.674560547;99;190.948072791;
204;17;126.748855591;300.000274658;99;247.861854076;24;128.394805908;382.845550537;98;192.598639131;
205;17;129.296142578;301.102081299;100;254.110671997;24;132.539306641;386.02142334;99;194.166722298;
206;17;136.878723145;304.654663086;101;260.575613022;24;135.681747437;383.201965332;101;195.680494785;
207;17;133.256408691;320.832305908;103;263.776076078;24;135.792861938;383.386901855;102;197.139128208;
208;17;132.168334961;331.482055664;105;266.229394674;24;135.999267578;386.57598877;103;198.542391062;
209;17;130.784851074;334.659729004;107;268.007358551;24;137.15423584;389.768890381;103;199.890567064;
210;17;129.053405762;334.714660645;109;269.348778009;24;135.779083252;398.965209961;106;201.171162367;
211;19;130.17364502;328.11505127;107;270.21803236;24;141.841598511;389.822753906;108;202.293061733;
212;19;131.260574341;322.058044434;111;270.951216459;24;139.018356323;389.287658691;111;203.376108885;
213;19;134.833892822;315.799743652;112;271.579785109;24;136.128601074;397.76574707;114;212.166567326;
214;20;140.110656738;313.361755371;112;272.18524003;24;138.72467041;410.188293457;120;219.990534306;
215;20;143.171203613;316.888671875;112;272.759730101;24;146.245635986;403.473510742;120;226.922388315;
216;20;145.07598877;320.349121094;113;273.094386578;24;148.33380127;417.999664307;120;233.056381941;
217;20;145.109466553;323.42980957;113;274.433828354;24;156.308273315;411.957885742;122;239.318647385;
218;20;147.243392944;329.497558594;114;296.232133269;24;165.808166504;410.191894531;124;243.607987881;
219;20;158.151199341;340.746582031;115;315.865351677;24;161.129257202;414.564605713;124;247.323997498;
220;20;163.632720947;345.948669434;116;332.173332095;24;164.76260376;418.991668701;125;250.665638566;
221;20;163.917663574;360.814666748;117;343.948581696;24;168.338546753;425.888122559;127;253.618628383;
222;20;170.336380005;367.375213623;111;356.1042974;24;169.393814087;429.697937012;124;256.084838629;
223;20;160.9012146;371.20892334;111;360.962052822;24;169.784088135;432.926940918;127;258.071998;
224;20;162.333343506;367.007293701;111;367.771782756;24;170.063781738;435.537231445;126;259.757679462;
225;20;168.228347778;373.908935547;111;372.717470884;24;170.275756836;437.785980225;128;261.076853991;
226;20;173.590942383;380.740966797;113;376.504647732;24;170.407669067;439.63470459;128;262.094217062;
227;20;177.793518066;386.050994873;114;379.215875626;24;170.509414673;441.086608887;130;281.190372944;
228;20;178.695343018;395.076538086;114;381.75783658;24;170.385101318;447.725585938;130;298.058107853;
229;20;181.949523926;403.847045898;113;384.078509331;24;175.51385498;455.610351562;125;312.672451735;
230;20;183.507858276;412.242034912;116;386.288109541;24;180.753158569;462.585357666;126;325.180718303;
231;20;183.728805542;420.423614502;117;388.125007391;25;187.099334717;455.339691162;126;335.743329763;
232;20;183.912521362;427.99005127;118;390.044293642;25;187.304763794;460.195587158;127;344.358868003;
233;20;184.104446411;435.639770508;114;392.05390048;25;187.265213013;462.093017578;124;351.169832468;
234;20;169.326919556;428.339355469;116;392.3620193;25;186.898117065;463.365936279;124;356.976491094;
235;20;156.867111206;434.778015137;117;392.788010359;25;190.141998291;463.634643555;125;361.730009794;
236;20;147.668136597;441.302856445;116;393.285861492;25;194.708053589;474.095397949;127;365.358734131;
