Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
115;12;43.8161964417;111.234237671;35;89.5901053548;13;68.5805511475;105.0;26;137.104639292;
116;12;41.4556236267;111.915153503;30;90.6152929664;13;69.1858978271;105.0;22;140.874603748;
117;12;40.4556236267;112.172027588;30;91.6386973262;13;69.8185501099;105.0;20;144.33043766;
118;12;44.4556236267;107.920341492;31;92.6558923125;13;70.3619689941;106.0;21;147.360607862;
119;12;43.4556236267;105.359085083;29;93.6626064777;13;72.7971572876;105.0;19;149.156891465;
120;12;44.3487319946;106.544189453;28;94.6548324227;13;74.0646591187;107.0;21;150.833562851;
121;12;45.3992805481;105.725814819;31;95.6289117336;13;76.9674911499;110.0;22;152.505141497;
122;12;40.9784736633;107.407241821;31;96.5816178918;13;75.6163787842;110.0;22;154.160725474;
123;12;41.9784736633;104.59412384;30;97.5101928115;13;77.7062759399;111.0;21;155.789765835;
124;12;43.9784736633;104.777282715;31;98.412373364;13;78.9445037842;112.0;22;157.382444859;
125;12;45.9784736633;104.956550598;33;99.2214061022;13;80.1770477295;112.559692383;23;158.930035353;
126;12;47.9784736633;105.08631134;33;99.9905531406;13;81.4029083252;112.750137329;23;160.425184727;
127;12;49.4798736572;105.204658508;34;100.734806538;13;83.2136993408;116.949523926;23;161.862109423;
128;12;51.0836639404;105.322547913;34;101.453391969;13;88.3103637695;121.157478333;26;163.23667407;
129;12;53.1410293579;105.439689636;33;102.14586854;13;93.4041137695;125.373527527;25;164.546368122;
130;12;55.1963653564;105.555778503;32;102.789633632;13;98.6945571899;129.597076416;24;165.790169716;
131;12;57.2249984741;105.670532227;31;103.382970393;13;102.914268494;131.827392578;24;166.968346834;
132;12;59.2249984741;105.783676147;30;103.952129424;13;107.089866638;135.063644409;25;168.036859751;
133;12;61.2249984741;105.894973755;30;104.497464418;13;106.412368774;139.063644409;26;168.892722607;
134;12;63.2249984741;106.004188538;29;104.925863922;14;106.095932007;143.063644409;23;169.707668304;
135;12;65.2249984741;107.111114502;27;105.315374374;15;104.265548706;150.063644409;25;170.483112574;
136;12;67.2249984741;108.215576172;27;105.695012331;15;106.39125061;151.063644409;26;171.19993329;
137;12;69.2249984741;109.076881409;27;106.064200163;15;107.157196045;153.063644409;26;171.805961847;
138;12;71.2249984741;109.175384521;28;106.422449112;15;107.22718811;159.063644409;28;172.252051115;
139;12;73.125;109.271102905;28;106.769364595;15;108.272277832;165.063644409;30;172.691324949;
