Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
29;2;27.920753479;10.625;6;23.2607431412;3;18.5032958984;13.5;6;29.141512394;
30;2;27.956445694;10.625;6;23.3208494186;3;17.5568408966;14.5;6;29.3841423988;
31;2;27.9925098419;10.625;6;23.3815076351;3;16.6114311218;15.5;6;29.6303496361;
32;2;28.0289039612;10.625;6;23.4426498413;3;15.6668281555;16.5;8;29.8789830208;
33;2;28.0655899048;10.625;6;23.5042052269;3;15.0977706909;17.5;8;30.1288366318;
34;2;28.1025238037;12.625;6;23.5661010742;3;15.1539878845;18.5;9;30.3786706924;
35;2;28.1396598816;14.625;6;23.6282629967;3;15.2102012634;19.5;9;30.6272368431;
36;2;28.1769580841;16.625;7;23.6906147003;3;15.26612854;20.5;9;30.8733024597;
37;2;28.2143688202;18.625;7;23.7530794144;3;15.3214931488;21.5;9;31.1156759262;
38;2;28.2518482208;20.625;7;23.8155794144;4;15.3760271072;22.5;7;41.353228569;
39;2;28.2893486023;20.625;7;23.878036499;4;16.4294757843;23.5;7;41.9849157333;
40;3;28.3268222809;20.625;6;23.940372467;4;17.4816055298;24.5;7;42.5841960907;
41;3;28.3642234802;20.625;6;24.0025100708;4;18.5322036743;25.5;8;43.1489815712;
42;3;28.401506424;20.625;6;24.0643725395;4;19.5810852051;26.5;8;43.6779885292;
43;3;28.4386234283;20.625;6;24.1258842945;4;19.0;28.5;8;44.1706771851;
44;3;28.4755306244;20.625;6;24.186971426;4;19.5204162598;30.5;9;44.6271624565;
45;3;28.5121822357;20.625;7;24.2475619316;6;19.6001625061;32.5;8;45.048116684;
46;3;28.548538208;20.625;7;24.3075861931;6;20.6721458435;31.5;8;45.4346618652;
47;3;28.5845527649;20.625;7;24.3669772148;6;19.7367591858;33.5;9;45.7882652283;
48;3;28.6201858521;20.625;7;24.4256706238;6;19.7944602966;35.1980476379;10;46.1106433868;
49;3;28.6554031372;20.625;7;24.4836053848;6;21.8457527161;33.5;9;46.4036779404;
50;4;29.6901626587;21.625;6;25.5407235622;6;21.8911647797;34.5;9;46.5652666092;
51;4;30.7244338989;22.625;6;25.6369709969;7;22.8999996185;35.5;8;46.6881551743;
52;4;31.382183075;23.625;6;25.7334814072;7;23.8999996185;36.5;8;46.8021306992;
53;4;31.4400882721;24.625;7;25.8302094936;7;25.8999996185;34.5;9;47.9075689316;
54;4;31.4981250763;25.625;7;25.9271115065;7;26.5249996185;35.5;9;48.0900000334;
55;4;31.5562667847;25.625;7;26.0241445303;7;28.5249996185;33.5;9;48.1871190071;
56;4;31.6144866943;25.625;7;27.0494301319;7;29.7921009064;33.5;10;48.2917383909;
57;4;32.2296600342;26.0234375;7;27.9337799549;7;29.5499992371;33.5;10;49.4042263031;
58;4;32.760269165;26.3489723206;7;29.6940819025;7;30.5499992371;34.5;10;49.6149305105;
59;4;34.2164459229;27.6102333069;7;30.3792026043;7;31.5499992371;35.5;11;49.8412884474;
60;4;35.6095199585;28.8168411255;8;30.9783283472;7;32.189289093;35.5;13;50.0839619637;
61;4;35.9506416321;29.9782962799;9;31.3018317223;8;31.5499992371;37.5;12;50.3435516357;
62;6;36.1260414124;31.0;7;31.5853692293;8;31.9863471985;37.5;12;50.6205785275;
63;6;36.2771148682;32.0;7;31.8718954325;8;32.021522522;38.5;13;50.9154649973;
64;6;36.4296379089;32.8090858459;8;32.1609488726;8;32.4309806824;37.5;14;51.2285140753;
65;6;36.5833473206;32.8320960999;8;32.4520609379;9;31.5499992371;39.5;13;51.5598897934;
66;6;36.7379608154;32.8554878235;8;32.7447581291;9;31.5499992371;37.5;13;51.9095954895;
67;6;35.5018043518;33.8792533875;8;33.0385632515;9;32.021522522;38.5;17;52.2774548531;
68;6;35.5818405151;34.9033813477;9;33.3329985142;9;32.7374267578;37.5;17;52.6630935669;
69;6;35.6596984863;35.9278564453;11;34.6275843382;9;31.5499992371;39.5;17;53.0659253597;
70;6;36.7352333069;37.952671051;11;34.9818427563;9;32.139629364;39.5;17;53.48513937;
71;6;37.8083152771;39.9778137207;11;35.3382618427;9;32.3760185242;38.5;17;57.4245457649;
72;6;38.8788528442;42.0032653809;12;35.6964377165;9;34.5784683228;41.0;18;59.2827137709;
73;7;39.9467544556;44.5663604736;11;36.0559617281;10;37.8644142151;42.3899993896;17;60.9467861652;
74;7;41.01197052;46.6386375427;11;36.4164233208;10;38.5781059265;44.6872596741;17;62.4539641142;
75;7;41.0744590759;48.3770370483;11;36.7774071693;10;39.1921730042;46.9097442627;18;63.6608890295;
76;7;41.1342010498;49.4887771606;12;37.1384962797;10;39.4828720093;49.0;18;64.5749562979;
77;7;41.1912002563;50.6026954651;13;37.4992712736;10;37.5039482117;51.0;18;65.4977591038;
78;7;41.245464325;50.876991272;13;37.8593116999;10;38.5896492004;51.0;19;66.3352415562;
79;7;41.2970275879;51.0218086243;14;38.2181977034;10;38.6557846069;50.0;20;67.1898649931;
80;7;41.3459320068;51.1683158875;15;38.5755107403;11;37.1024017334;53.0;19;68.0584082603;
81;7;41.3922348022;51.3162460327;15;38.9308362007;11;37.75;54.0;19;68.9375349283;
82;7;41.4360046387;51.4653358459;15;39.2382591963;11;38.2994804382;57.0;19;69.8238524199;
83;7;37.4360046387;53.6153182983;15;39.5235241652;11;38.3632202148;60.0;21;70.7139713764;
84;8;38.4360046387;54.7659111023;15;40.8094259501;12;38.4250068665;63.0;20;71.6045570374;
85;8;36.4360046387;58.1692581177;15;41.1329315901;12;36.75;67.0;20;72.492374897;
86;8;36.4000015259;60.2052230835;15;42.8381041288;12;36.75;71.0;22;73.3743269444;
87;8;35.4000015259;61.951335907;16;44.3384717703;12;36.75;75.0;22;74.2474813461;
88;8;33.4000015259;66.0652618408;17;45.6601319313;12;36.75;78.1670608521;22;75.1090846062;
89;8;33.4000015259;66.1807250977;18;46.8313364983;12;36.75;81.2215118408;23;75.9565796852;
90;8;31.4000015259;69.2975463867;20;47.7933709621;12;37.75;81.2771759033;24;76.7876036167;
91;9;31.4000015259;69.4155426025;19;48.4920215607;12;38.75;82.3339538574;26;77.5999963284;
92;9;31.4000015259;69.5345001221;20;49.1738972664;12;39.4509315491;81.3339538574;27;78.3917937279;
93;9;31.4000015259;66.6542205811;20;49.8371423483;12;39.5142555237;81.3339538574;27;79.1612300873;
94;9;30.4000015259;66.7744750977;21;50.4802110195;12;39.5751190186;82.3339538574;27;79.9067356586;
95;9;31.4000015259;67.8950500488;22;51.1018738747;12;38.6021575928;81.3339538574;28;80.6269412041;
96;10;30.4000015259;68.0157089233;21;51.701210618;12;39.3610839844;81.3339538574;29;81.3206791878;
97;10;30.4000015259;68.3122940063;22;54.0168755054;12;39.4775466919;82.0;29;81.9586961269;
98;10;30.4000015259;69.289024353;22;56.3750857115;12;39.5924949646;83.0;29;82.4993782043;
99;10;30.4000015259;71.2949981689;22;58.7472373247;12;38.8890838623;85.0;28;83.0202636719;
100;10;30.4000015259;73.3194274902;22;61.1049141884;12;38.9718589783;87.0;29;83.5203764439;
101;10;31.0;75.3509368896;22;63.421582222;12;39.0517082214;89.0;30;83.9209518433;
102;10;30.0;75.3782424927;23;67.6740326881;12;39.1282997131;91.0;30;84.2845830917;
103;10;35.0;73.8692550659;23;69.9633972645;12;39.2013702393;93.0;31;84.6344661713;
104;10;38.0;76.3708572388;24;72.1615793705;12;39.2707138062;94.0;32;84.9698681831;
105;10;40.0;78.8798980713;24;74.2595291138;12;39.33618927;95.0;32;85.2902727127;
106;10;42.0;81.3930358887;24;76.2525792122;12;39.3977279663;96.0;32;85.5953636169;
107;10;42.0;80.906829834;24;77.582485199;13;39.455291748;96.2043991089;32;85.8850102425;
108;10;42.7517204285;82.4178161621;24;79.4359707832;13;37.455291748;98.2820205688;32;86.1592473984;
109;10;43.946472168;85.4226226807;25;81.1845912933;13;36.75;100.357879639;33;86.4182538986;
110;10;42.1128349304;89.9180679321;25;82.8323905468;13;37.75;99.431854248;33;86.9564871788;
