Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
175;12;55.4249992371;123.689102173;60;109.298454285;15;54.9443206787;153.145446777;56;113.723751545;
176;12;57.4249992371;118.689102173;62;109.532117844;15;56.9650230408;153.145446777;57;113.993266106;
177;12;53.4249992371;122.689102173;64;109.74845314;15;57.9993247986;153.145446777;57;114.251821041;
178;12;52.4249992371;126.689102173;65;109.948261261;15;58.0251846313;156.145446777;57;114.499540806;
179;12;54.4249992371;121.689102173;66;110.0;15;60.0435829163;156.145446777;57;114.688179255;
180;12;50.4249992371;125.689102173;67;110.0;15;61.4688186646;153.145446777;59;114.7603755;
181;12;49.4249992371;129.689102173;68;110.0;15;59.4760322571;157.145446777;58;114.806990147;
182;12;51.4249992371;124.689102173;68;110.0;15;60.4806938171;158.145446777;58;114.852407932;
183;12;47.4249992371;128.689102173;69;110.0;15;61.4852409363;156.145446777;60;114.896617889;
184;12;47.4249992371;131.689102173;70;110.0;15;59.4896583557;160.145446777;60;114.939612389;
185;12;48.0250015259;134.689102173;71;110.0;15;60.4939575195;161.145446777;60;114.981387615;
186;12;49.0250015259;137.689102173;71;110.0;15;61.498134613;159.145446777;61;115.0;
187;12;50.0250015259;140.689102173;72;110.0;15;59.4999961853;163.145446777;61;115.0;
188;12;52.0250015259;140.689102173;72;110.0;15;61.4999961853;161.145446777;62;115.0;
189;12;53.0250015259;140.689102173;77;110.0;15;61.4999961853;159.145446777;62;115.0;
190;12;52.5499992371;143.689102173;77;110.0;15;59.4999961853;163.145446777;63;115.0;
191;13;53.5499992371;143.689102173;76;110.0;15;61.4999961853;161.145446777;64;115.0;
192;13;53.5499992371;143.444549561;76;110.0;15;61.4999961853;159.145446777;64;115.0;
193;13;52.5499992371;146.444549561;77;110.0;15;59.4999961853;163.145446777;65;115.0;
194;13;53.5499992371;146.444549561;78;110.0;15;61.4999961853;161.145446777;65;115.0;
195;13;53.5499992371;146.444549561;78;110.0;15;61.4999961853;159.145446777;66;115.0;
196;13;52.5499992371;149.444549561;78;110.0;15;61.4999961853;163.145446777;67;115.0;
197;13;53.5499992371;149.444549561;50;111.0;15;61.4999961853;159.145446777;45;115.0;
198;13;54.5499992371;150.444549561;37;111.090000033;15;59.4999961853;163.145446777;26;115.0;
199;13;54.5499992371;154.444549561;39;111.187119007;15;59.4999961853;167.145446777;28;115.0;
200;13;55.5499992371;155.444549561;39;111.291738391;15;59.4999961853;171.145446777;28;115.0;
201;13;55.5499992371;156.444549561;33;111.404226303;15;60.4999961853;172.145446777;25;115.0;
202;13;54.5499992371;160.444549561;31;111.524930477;15;60.4999961853;173.145446777;23;115.0;
203;15;56.5499992371;157.444549561;30;111.65416944;15;60.4999961853;174.145446777;25;115.0;
204;16;56.5499992371;158.444549561;30;111.792223573;15;60.4999961853;175.145446777;25;115.0;
205;17;57.5499992371;159.444549561;29;111.939325333;15;60.4999961853;176.145446777;26;115.0;
206;17;59.5500030518;157.444549561;30;112.09564805;15;62.4999961853;177.145446777;27;115.0;
207;17;59.5500030518;158.444549561;31;112.261295557;15;63.4999961853;178.145446777;28;115.0;
208;17;60.5500030518;159.444549561;25;112.436290503;15;61.4999961853;175.145446777;27;116.239998817;
209;17;62.0749969482;157.444549561;25;113.520564556;15;60.624004364;176.145446777;25;117.448926926;
210;17;63.0749969482;156.444549561;25;114.857847333;15;59.7448883057;180.145446777;26;118.620959282;
211;17;66.0749969482;158.444549561;24;115.293278337;15;61.8392677307;178.145446777;26;119.751067162;
212;17;68.0749969482;160.444549561;23;116.705660462;15;60.9751014709;179.145446777;26;120.835088253;
213;17;70.0749969482;163.444549561;22;117.231325626;15;61.0503120422;182.145446777;26;121.869761467;
214;17;72.0749969482;166.444549561;22;117.787467718;15;63.1226844788;183.145446777;29;122.852720261;
215;17;74.0749969482;165.600006104;22;118.374372959;15;65.1725463867;181.145446777;30;123.78246069;
216;17;74.0749969482;168.600006104;22;118.99213171;16;64.2583236694;185.145446777;29;124.658276081;
217;17;75.0750045776;171.600006104;25;119.640621781;16;66.3213577271;186.145446777;31;125.48017931;
218;19;77.0750045776;169.800003052;23;120.319492459;16;67.3811264038;187.145446777;32;126.248808384;
219;19;77.0750045776;170.800003052;23;121.028150201;17;68.4220046997;188.145446777;31;126.965330124;
220;19;78.0750045776;171.800003052;22;121.765748024;17;69.4908447266;189.145446777;31;127.631340981;
221;19;80.0750045776;169.800003052;24;122.531173706;17;69.9750671387;190.145446777;32;128.248775959;
222;19;80.0750045776;170.800003052;24;124.318978786;17;69.1409912109;194.145446777;32;129.806624413;
223;19;81.5970001221;171.800003052;25;126.289830923;17;72.2688446045;193.145446777;33;130.305096507;
224;19;84.0910263062;169.800003052;25;128.276491404;17;72.3215179443;195.145446777;32;134.515161037;
225;19;84.5550994873;170.800003052;27;130.234971046;17;72.6075134277;200.145446777;32;139.01497066;
226;19;85.987991333;171.800003052;27;133.205446243;17;75.6490020752;203.962463379;35;142.118514776;
227;19;88.789100647;170.800003052;27;136.101675749;17;76.5761489868;210.962463379;35;146.213478565;
228;19;90.1584625244;173.800003052;28;139.191320658;17;77.8430786133;216.962463379;34;149.774376512;
229;19;92.4966278076;177.800003052;28;141.296379089;17;78.8658905029;222.962463379;34;153.936070442;
230;19;94.8045806885;178.800003052;30;144.341583729;17;80.7805709839;229.962463379;36;156.961750746;
231;19;95.0836486816;183.800003052;30;146.395040751;17;84.5543518066;229.962463379;36;159.774413586;
232;20;96.3354034424;188.800003052;30;148.419005752;17;87.1434936523;231.962463379;36;162.363474131;
233;20;97.5616073608;190.800003052;32;150.404933095;17;87.8306884766;236.962463379;36;164.723312855;
234;20;96.7641067505;195.800003052;33;152.179061651;17;87.3636016846;240.962463379;37;166.848809123;
235;20;96.8250045776;197.800003052;34;153.841772437;17;88.8633728027;237.962463379;38;168.857742906;
236;20;96.8250045776;194.800003052;30;155.010507822;17;87.1857376099;240.962463379;36;170.833025455;
237;20;96.8250045776;200.800003052;31;156.642347455;17;87.5144195557;243.962463379;34;172.835386038;
238;20;97.8250045776;204.800003052;33;159.212195516;17;88.8193817139;243.962463379;35;174.81531167;
239;20;98.8250045776;207.800003052;31;160.694395304;17;88.0709381104;246.962463379;36;176.504936695;
240;20;98.8250045776;210.569244385;31;161.612314582;17;88.2783432007;249.962463379;36;178.105609059;
241;20;100.825004578;215.615936279;32;163.017295599;17;88.510559082;250.962463379;36;184.80940783;
242;20;102.825004578;216.663208008;35;164.341022134;17;90.1532592773;252.962463379;36;190.768071771;
243;20;102.825004578;220.711029053;32;165.444321513;17;91.6843719482;255.962463379;33;196.041440606;
244;20;104.825004578;220.759384155;33;166.461701751;17;94.0221710205;259.962463379;33;200.644637108;
245;20;105.825004578;220.808227539;34;167.416185975;17;95.1646499634;259.962463379;35;204.394044399;
246;20;105.825004578;223.857528687;35;168.443665266;17;94.1725692749;265.962463379;36;207.754171848;
247;21;106.825004578;226.907272339;35;175.274131775;17;95.0322189331;280.25567627;36;210.592586875;
248;21;109.895500183;231.620635986;36;181.328903556;17;95.7646560669;286.707183838;37;212.932378054;
249;21;111.661857605;232.216934204;38;186.661673427;17;99.3352432251;287.174316406;39;214.55482769;
250;21;112.150474548;236.225692749;38;191.343742132;17;102.572052002;288.413513184;39;215.908631086;
251;21;115.309104919;247.092712402;38;195.366614938;17;105.180732727;288.299987793;41;217.053297043;
252;21;116.575584412;251.884567261;39;198.371641994;17;105.370384216;286.700012207;41;218.014581442;
253;21;117.369903564;256.020721436;41;201.971564889;17;105.543464661;289.700012207;43;218.802172184;
254;21;120.689186096;263.030700684;43;204.368461609;17;105.700813293;292.700012207;42;219.288774729;
255;21;121.228775024;268.974487305;43;206.557665944;17;105.829566956;295.700012207;42;219.70938468;
256;21;121.704193115;272.856231689;42;208.310997367;17;105.953063965;298.700012207;42;220.059989929;
257;21;121.943267822;276.001800537;43;209.693192482;17;106.070747375;301.700012207;46;220.389408588;
258;21;122.008811951;279.952087402;46;210.595968604;17;106.187316895;304.700012207;47;220.700200319;
259;21;125.072235107;283.402740479;46;211.157207727;17;106.302848816;307.700012207;48;220.99319315;
260;21;126.450775146;286.711425781;47;211.679714561;17;106.417228699;310.700012207;50;221.269317389;
261;21;126.468208313;290.023529053;49;212.2079072;17;106.530334473;313.700012207;53;221.529557943;
262;21;126.485801697;293.338317871;50;212.740783691;17;106.642082214;316.700012207;53;221.678370953;
263;21;126.503555298;296.655151367;52;213.277302027;17;106.74269104;319.700012207;55;237.761256218;
264;21;126.521461487;298.016601562;53;213.816388011;17;111.772125244;327.408996582;56;251.53165102;
265;21;126.539512634;298.451934814;54;228.32934165;17;121.790969849;329.538452148;56;263.072298527;
266;21;131.784332275;307.656433105;55;241.167402387;17;125.311332703;337.082763672;57;272.64449501;
267;21;136.297821045;316.065216064;57;252.334722519;17;133.034576416;338.472473145;60;280.214756012;
268;21;140.084838867;323.083770752;57;261.964102268;17;136.853759766;346.263061523;61;286.472067356;
269;21;143.210510254;329.05859375;54;270.249720216;17;135.376403809;354.974853516;60;291.573701382;
