Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
45;2;14.3000001907;24.5;12;26.0;2;19.5;12.5;9;25.0;
46;2;15.3000001907;22.5;13;26.0;2;19.5;13.5;10;25.0;
47;2;14.3000001907;23.5;13;26.0;2;19.5;14.5;10;25.0;
48;2;14.3000001907;24.5;14;26.0;2;19.5;15.5;10;25.0;
49;2;15.3000001907;22.5;14;26.0;2;19.5;16.5;11;25.0;
50;2;16.0;22.5;14;26.0;2;19.5;17.5;12;25.0;
51;2;17.0;22.5;15;26.0;3;20.5;18.5;11;26.0;
52;2;18.0;22.5;15;26.0;3;21.5;19.5;11;26.1299999952;
53;2;19.0;22.5;17;26.0;3;21.5;20.5;11;26.2754310369;
54;2;20.0;22.5;18;26.0;3;21.8826293945;21.5;12;26.4377241135;
