Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
36;3;16.1287517548;19.5;7;32.3019137383;2;18.5;14.5;5;29.1995202303;
37;3;16.190574646;20.5;7;32.4989256859;2;17.5;15.5;6;29.8207774162;
38;3;16.2496776581;21.5;8;32.6864795685;2;16.5;16.5;7;30.2946047783;
39;3;16.3059444427;22.5;9;32.8643078804;2;15.5;17.5;7;30.3921557665;
40;3;16.3592910767;23.5;9;33.0322656631;3;14.5;18.5;7;30.4563041925;
41;3;16.4096794128;24.5;10;33.1903190613;3;14.0;19.5;8;30.5224741697;
42;3;15.4096794128;23.5;10;33.3385381699;3;14.0;20.5;8;30.5906432867;
43;3;15.4096794128;23.5;10;33.4770793915;3;14.0;21.5;9;30.6607804298;
44;3;16.4096794128;24.5;11;33.6061782837;4;14.0;22.5;7;45.7328453064;
45;3;15.4096794128;23.5;11;33.7261333466;4;15.0;23.5;7;47.0067892075;
46;3;16.0;23.5;12;33.8372926712;4;16.0;24.5;6;48.1841523647;
47;3;15.0;25.5;12;33.9400444031;4;17.0;25.5;6;50.2475796938;
48;3;16.0;27.5;12;34.0;4;19.0;26.5;7;51.2585605383;
49;4;15.0;26.5;12;34.0;4;22.0;27.5;7;52.1508620977;
50;5;16.0;26.5;10;54.0;4;24.0;29.5;8;52.9306945801;
51;5;15.0;29.5;10;55.2000007629;4;26.0;31.5;8;53.6086426973;
52;5;16.0;32.5;10;56.2175998688;4;28.0;33.5;10;54.1976513863;
53;5;17.0;35.2782402039;10;57.0579586029;4;30.0;35.5;10;54.7113772631;
54;5;18.0;36.3342018127;10;57.736333847;4;32.0;34.5;12;55.1255191565;
55;5;19.0;37.2663650513;11;58.273645401;5;34.0;34.5;11;55.3149530888;
56;5;20.0;38.2126350403;11;58.6926937103;5;35.9000015259;34.5;12;55.5099186897;
57;5;21.0;39.1707305908;12;59.0;5;36.5999984741;34.5;12;55.7102720737;
58;5;22.0;40.1399993896;12;60.0;5;36.5999984741;34.5;13;55.9158344269;
59;5;25.0;39.1399993896;13;60.0499999523;6;36.5999984741;34.5;12;56.1263906956;
60;5;26.0;41.1399993896;14;61.6219754219;6;36.5999984741;34.5;12;56.3416879177;
61;5;27.0;43.2641983032;15;62.9133962393;6;36.5999984741;34.5;12;57.5614349842;
62;5;28.0;45.3806152344;15;63.9584714174;6;35.5999984741;36.5;12;57.8553010225;
63;5;29.0;47.4891166687;17;64.7984318733;6;35.5999984741;38.5;13;58.1570678949;
64;6;29.25;48.5897216797;16;65.4740414619;6;34.5999984741;40.5;13;58.4664669037;
65;6;29.25;49.6825408936;17;65.7569152117;6;33.5999984741;42.5;13;58.7831822634;
66;6;30.25;47.767791748;17;65.9905525446;6;32.5999984741;44.5;12;60.1068499088;
67;6;29.25;48.8457565308;18;66.2111281157;6;32.5999984741;46.5;13;60.477058053;
68;6;29.25;49.9167785645;18;66.4194625616;6;32.5999984741;48.5;13;62.8270874023;
69;6;30.25;47.9812545776;18;66.6164250374;7;32.1969985962;50.5;12;64.7621974945;
70;6;29.25;49.0395965576;19;67.7328453064;7;32.4356117249;52.5;11;66.3629406691;
71;7;30.25;51.0599975586;18;67.8567883968;7;32.6244697571;54.5;11;67.6418546438;
72;7;32.25;50.0599975586;18;67.984525919;7;32.7721557617;56.1531257629;11;68.3017053604;
73;7;31.25;52.0599975586;19;68.1160140038;7;32.7999992371;57.1903114319;11;68.9139300585;
74;7;31.25;54.0599975586;19;70.6623543501;7;32.7999992371;58.2291030884;11;69.5389820337;
75;7;32.7000007629;53.9599990845;20;72.6710215807;7;32.7999992371;59.2695083618;12;71.1752904654;
76;7;32.0510025024;56.7879257202;19;74.2396054268;7;33.7999992371;61.3115310669;13;71.851151228;
77;7;33.3185348511;55.780166626;20;75.399508357;8;34.7999992371;64.3551635742;12;72.5353339911;
78;8;33.5187683105;54.7895965576;19;77.1763132811;8;34.7999992371;66.9792022705;12;73.2259130478;
79;8;33.1673049927;56.7016677856;18;79.5579952002;8;35.7999992371;64.4472198486;14;73.9208849669;
80;8;34.6596717834;58.5245132446;18;80.6019645929;8;33.7999992371;64.4955749512;14;73.4141744375;
81;8;38.0209960938;55.4442214966;20;81.4441260099;8;32.6650009155;64.5454406738;15;72.989512682;
82;9;36.2792930603;58.3868255615;18;87.2447993755;7;31.5434989929;56.5967636108;16;67.2900883555;
83;9;37.4000015259;62.3600006104;18;87.6201274395;7;32.4341506958;55.0590057373;17;66.915704906;
84;9;38.4000015259;67.3600006104;19;88.999497056;7;31.4341506958;55.0720863342;17;66.6028223038;
85;9;39.4000015259;72.4649810791;19;89.3564116955;7;33.4341506958;52.7587966919;18;66.3449561596;
86;9;40.4000015259;76.5606231689;20;89.7145234346;8;32.4341506958;51.5;17;66.1362200379;
87;9;40.4000015259;80.6587982178;20;90.0733727217;8;32.4341506958;51.5;17;65.9712612331;
88;9;40.4000015259;83.7593917847;21;90.4324878454;8;32.4341506958;51.5;18;65.8452200294;
89;9;40.4000015259;86.8622817993;21;90.7913874388;8;32.4341506958;51.5;18;65.7536823153;
90;9;40.4000015259;89.4273300171;23;91.1495811939;8;29.4341506958;53.5;18;65.692632556;
91;9;40.4000015259;91.5343704224;22;91.5065718889;8;29.4341506958;52.5;18;65.6584194303;
92;9;40.4000015259;93.6432342529;23;91.838716507;8;29.4341506958;52.5;18;65.6477281749;
93;9;40.4000015259;95.7537384033;24;92.1329646111;8;26.4341506958;54.5;19;65.6575462222;
94;9;42.4000015259;91.8656845093;24;92.4275155067;8;26.4341506958;53.5;19;65.685141027;
95;9;40.4000015259;93.978843689;26;92.7217892408;8;24.0;55.5;19;65.7280309647;
96;9;40.4000015259;96.0930175781;28;93.0152080059;8;23.0;57.5;20;65.7839741707;
97;10;42.4000015259;92.2079620361;26;93.3072037697;9;23.0;56.5;19;65.8509359062;
98;10;40.4000015259;94.3234481812;26;93.5972204208;9;21.0;58.5;19;65.927085802;
99;10;40.4000015259;96.4392242432;26;93.8847196102;9;20.0;60.5;19;66.0107713938;
100;10;42.4000015259;92.5550613403;28;94.1691837311;9;22.0;56.5;20;66.1005075127;
101;10;40.4000015259;94.6707077026;28;94.4501187801;9;20.0;58.5;20;66.1949622035;
102;10;40.4000015259;98.2279663086;25;94.7270596027;9;20.0;60.5;19;66.2929507941;
103;10;40.4000015259;100.37878418;26;94.9995706081;9;22.0;56.5;19;66.3934162185;
104;10;40.4000015259;102.5284729;27;95.2672491074;9;20.0;58.5;19;66.4619370252;
105;10;41.4000015259;101.676727295;28;95.5297272205;9;20.0;60.5;19;66.5063510612;
106;10;40.4000015259;103.823287964;28;95.7866721153;9;21.0;59.5;17;66.5537527204;
107;10;40.4000015259;105.967887878;29;96.0377876759;9;20.0;61.5;16;66.6034281068;
108;10;42.4000015259;102.110282898;29;96.282815218;9;20.0;63.5;16;66.654740531;
109;10;40.4000015259;104.250244141;30;96.5215322971;9;21.0;62.5;16;66.7071311325;
110;10;40.4000015259;106.387565613;31;96.7537543774;9;20.0;64.5;17;66.76010767;
111;10;42.4000015259;102.52205658;32;96.9793317318;9;20.0;66.5;17;66.8132433817;
112;10;40.4000015259;104.653556824;33;97.1885364056;9;22.0;62.5;17;66.8661683016;
113;10;40.4000015259;106.781921387;34;98.2985370159;9;20.0;64.5;18;66.9185658582;
114;10;42.4000015259;103.197502136;33;99.4071729183;9;20.0;66.5;16;66.9701671619;
115;10;40.4000015259;105.617660522;32;100.508673191;9;22.0;62.5;14;67.0207496174;
116;10;40.4000015259;108.040405273;33;101.597443819;9;20.0;64.5;14;67.0701231919;
117;10;42.4000015259;104.463699341;31;102.668187976;9;20.0;66.5;14;67.1181391198;
118;10;40.4000015259;106.885498047;33;103.716004968;9;22.0;62.5;14;67.1358037572;
119;10;40.4000015259;109.303825378;34;104.73648119;9;20.0;64.5;15;67.1222240962;
120;10;42.4000015259;105.716773987;36;109.6164819;9;20.0;66.5;15;67.1100010192;
121;10;41.1199989319;107.970397949;36;113.512052774;9;23.0;63.5;15;68.3617526256;
122;11;41.6340789795;110.261413574;35;116.616173267;9;22.0;66.5;16;69.6218000446;
123;11;41.987033844;112.578422546;36;120.018340111;9;22.0;69.5;16;70.8794199638;
124;12;44.2000007629;112.915473938;36;142.480452299;8;21.0;55.5;16;51.097695319;
