Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
100;6;19.0;35.6770858765;22;39.4577066898;9;20.0;49.5229415894;20;62.7047023773;
101;6;17.0;36.7288513184;22;39.5676511526;9;22.0;48.5315666199;21;62.8029779196;
102;6;16.0;37.7838249207;20;39.6841644049;9;22.0;50.5401306152;19;62.9001045227;
103;6;16.0;38.8420829773;15;39.8073750734;9;22.0;52.5486373901;19;62.9960250854;
104;6;16.0;41.7838249207;15;39.9373728037;9;23.0;51.5570907593;20;63.0906871557;
105;7;16.0;43.7838249207;15;40.0742022991;9;22.0;53.5654716492;20;63.1840423346;
106;7;16.0;45.7838249207;15;40.2178573608;9;22.0;55.5737838745;20;63.2760467529;
107;7;16.0;47.7838249207;14;40.3682756424;9;23.0;54.5820350647;22;63.3666608334;
108;7;17.0;46.7838249207;14;40.5253331661;9;22.0;56.5902023315;22;63.4558492899;
109;7;16.0;48.7838249207;13;40.6888401508;9;22.0;58.5983009338;31;63.5277911425;
110;6;14.0;45.7838249207;13;30.8585371971;10;23.0;60.6000022888;23;73.5941995382;
111;6;15.0;44.7838249207;13;32.0340931416;10;24.0;63.5808143616;23;73.6593096256;
112;4;15.0;47.7838249207;13;32.2351043224;12;25.2000007629;66.6160736084;21;73.7231080532;
113;4;16.0;50.6075515747;14;32.441290617;12;25.0;67.6507034302;22;74.7638677359;
114;4;17.0;49.7005462646;14;32.6521004438;12;25.0;72.6747131348;22;76.8056714535;
115;4;16.0;51.7957611084;14;32.8669160604;12;28.0;78.6899719238;23;76.9125512838;
