Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
157;18;147.995269775;275.91293335;74;207.916501999;20;111.700004578;261.4140625;61;205.424147606;
158;18;146.620895386;276.91293335;75;209.806468964;20;109.700004578;269.4140625;61;206.1799196;
159;18;146.248748779;283.91293335;74;211.645474911;20;113.700004578;273.4140625;61;206.759927869;
160;18;147.82824707;287.91293335;68;213.42259264;20;113.700004578;272.4140625;60;207.318586469;
161;18;148.956756592;288.91293335;67;215.128573895;20;111.700004578;278.4140625;61;207.855806708;
162;18;146.4765625;295.912902832;69;216.755993366;20;111.700004578;285.4140625;62;208.405587792;
163;18;148.926757812;293.91293335;66;220.299291134;20;111.700004578;282.4140625;52;211.472674012;
164;18;148.434890747;299.912902832;64;222.027214408;20;110.700004578;284.4140625;51;214.411199331;
165;18;148.829742432;308.912902832;62;223.719538689;20;110.699996948;291.4140625;54;217.259025097;
166;18;151.32611084;311.912902832;67;225.386226058;20;111.700004578;298.4140625;55;219.966959476;
167;18;152.111724854;311.912902832;68;227.039830565;20;114.700004578;299.4140625;55;222.530717134;
168;18;148.546875;323.912902832;69;228.695014358;20;115.700004578;304.4140625;64;224.949029922;
169;20;150.95149231;325.912902832;69;230.367815971;20;115.700004578;305.4140625;68;227.223260641;
170;20;152.254486084;324.91293335;71;232.074570298;20;114.700004578;310.4140625;70;229.356939077;
171;20;150.552368164;329.91293335;72;233.718608737;20;115.700004578;315.398071289;74;231.355285645;
172;20;150.776779175;334.91293335;72;235.410302997;20;117.700004578;313.793914795;78;233.224718571;
173;20;151.933670044;336.91293335;66;237.186652303;20;116.700004578;315.21572876;78;234.972407341;
174;21;151.099822998;341.91293335;66;259.044759393;20;117.700004578;316.662597656;81;236.605852604;
175;21;154.283843994;341.773345947;67;274.188438416;21;119.700004578;320.132995605;82;237.636936188;
176;21;155.970092773;349.649017334;68;287.990113378;21;120.700004578;318.62487793;83;238.399030209;
177;21;161.547134399;358.29788208;69;299.434754252;21;120.700004578;321.135559082;84;239.143298149;
178;21;174.507141113;379.372436523;71;309.438372612;21;123.700004578;321.661804199;85;239.791008949;
179;21;168.099945068;391.681945801;74;317.825601697;21;125.099998474;322.199951172;87;240.379343987;
180;21;172.03553772;393.41003418;78;324.74616003;21;126.099998474;322.745819092;89;240.831451416;
181;21;169.655822754;404.725646973;82;330.588317037;21;127.099998474;323.294952393;90;242.252852917;
182;21;175.877441406;410.703735352;83;335.196932316;21;129.100006104;324.842773438;91;250.777265906;
183;21;177.400894165;412.843933105;84;338.546779871;21;130.824996948;330.467498779;92;259.98522377;
184;21;174.911560059;419.483642578;86;341.352344036;21;134.802001953;336.870544434;95;267.950593352;
185;21;174.735214233;430.016174316;87;343.840539694;21;134.790924072;363.017089844;96;274.77987051;
186;21;171.902038574;434.392456055;88;345.90615344;21;139.579437256;366.213867188;97;280.386453509;
187;21;172.046615601;441.398803711;89;347.672519445;22;141.626968384;373.682769775;97;285.240032911;
188;21;175.177307129;451.146484375;91;376.111280441;22;142.477157593;378.582214355;100;289.064025164;
189;21;181.95413208;469.00390625;93;400.132380009;22;142.893218994;382.246765137;100;292.199003935;
190;22;196.432037354;482.186889648;93;419.923800707;22;143.183181763;385.363739014;101;294.828335047;
191;22;204.088058472;493.687286377;95;436.075861454;22;143.440765381;388.073791504;103;296.749849558;
192;22;210.624603271;512.626953125;97;448.870844126;22;143.668899536;389.974090576;106;298.058693409;
193;22;218.73008728;514.92767334;99;458.645298481;22;143.792388916;391.27633667;107;300.214241982;
194;22;219.780380249;531.143249512;101;466.302386761;22;145.8387146;395.482666016;108;301.348818183;
195;22;225.227249146;534.319519043;102;472.739888668;22;145.850006104;399.578704834;109;302.373866558;
196;22;229.61529541;537.371154785;105;480.478429794;22;145.850006104;403.669036865;110;303.400629401;
197;22;233.52911377;543.19720459;107;485.009214401;22;145.850006104;410.720825195;113;325.778708816;
198;22;228.851852417;555.378723145;110;489.033092499;22;148.85899353;434.097320557;114;340.893190145;
199;22;228.181625366;566.942199707;114;492.455506086;23;151.919281006;452.617279053;115;353.712159157;
200;24;234.433914185;577.728637695;114;495.491026878;23;156.817840576;460.721679688;116;364.602657795;
201;24;239.547042847;587.972717285;118;498.531134605;23;159.825805664;473.689147949;118;373.945470572;
202;24;242.794815063;598.145263672;120;501.581807137;23;160.787109375;485.397735596;119;381.970115662;
203;24;246.056564331;608.234680176;121;504.580217361;23;164.53616333;489.97454834;119;388.736813545;
204;25;249.328475952;618.234008789;121;507.341855049;23;167.967269897;494.689910889;120;393.733891964;
