Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
96;6;25.6000003815;53.5;17;60.3074698448;12;46.0376243591;120.16570282;33;132.949364662;
97;6;25.6000003815;52.5;15;60.5375227928;12;46.035987854;121.16342926;33;133.663635254;
98;6;23.6000003815;54.5;16;60.7682049274;12;46.0991668701;122.621131897;36;134.35721302;
99;6;22.6000003815;56.5;16;60.9990513325;12;46.1605911255;124.065544128;36;135.020805359;
100;6;22.6000003815;55.5;16;61.2295942307;12;47.1593933105;123.06388092;37;135.646600723;
101;6;20.6000003815;57.5;17;61.4593677521;12;46.2749328613;125.062385559;37;137.228596687;
102;6;20.0;59.5;17;61.6879098415;12;48.3265838623;125.061042786;38;138.786906123;
103;6;21.0;58.5;18;61.9147667885;12;51.3740081787;127.059829712;38;140.310255408;
104;6;20.0;60.5;18;62.1394953728;12;52.4675941467;129.058746338;39;141.843771219;
105;6;20.0;62.5;18;62.361666441;12;53.9226875305;135.057769775;39;142.346212029;
106;5;19.0;56.5;19;58.9529099464;13;55.0767288208;141.056884766;39;146.310897946;
107;5;18.0;58.5;19;59.0464110374;13;57.4915161133;145.056091309;39;147.062973738;
108;5;19.0;57.5;20;59.1366400719;13;60.510887146;146.055358887;40;147.797634721;
109;5;20.0;57.5;21;59.2235460281;13;60.9994125366;149.985916138;41;148.51751399;
110;5;21.0;57.5;20;59.3070969582;13;62.0763816833;152.038131714;43;149.22028923;
111;5;20.0;56.5;21;59.3872804642;13;63.1520576477;154.092666626;46;149.756344914;
112;5;20.0;55.5;21;59.4641008377;13;65.2129440308;152.149520874;48;150.30685854;
113;5;21.0;55.5;21;59.5375785828;13;65.2753219604;153.20866394;49;150.868777394;
114;4;18.0;49.5;22;53.75;14;66.3388748169;154.270111084;51;157.226320148;
115;4;18.0;49.5;22;53.75;14;69.4032592773;153.333816528;53;158.218192935;
116;4;19.0;49.5;22;53.75;14;70.4681243896;155.399765015;53;159.215095997;
117;4;19.1499996185;49.5;23;53.75;14;72.1957626343;158.359619141;53;160.20989275;
118;4;19.1499996185;49.5;23;53.75;16;74.3026885986;157.447906494;52;161.19552052;
119;4;19.1499996185;49.5;23;53.75;16;77.540435791;156.978820801;54;162.165212512;
120;4;19.1499996185;49.5;24;53.75;16;79.5900497437;158.996856689;54;163.112714171;
121;4;19.1499996185;49.5;24;53.75;16;84.6186828613;156.014984131;55;164.032461762;
122;4;19.1499996185;49.5;24;53.75;16;87.4573974609;157.033233643;56;164.919710994;
123;4;19.1499996185;49.5;25;53.75;16;90.5768737793;158.051544189;56;165.770634294;
124;4;19.1499996185;50.0;25;53.75;16;94.6979522705;156.069946289;57;167.582355499;
125;4;19.1499996185;51.0;25;54.7062501907;16;94.8204421997;160.088378906;59;169.374868393;
126;4;19.1499996185;52.0;25;56.2570590973;16;96.9927215576;165.106903076;60;170.156003833;
127;4;19.3390007019;53.0;26;57.7241373062;16;97.3585128784;168.125427246;61;170.895574093;
128;4;20.5183048248;51.0;26;59.0891113281;16;97.7239532471;172.143981934;61;171.594016433;
129;4;19.5183048248;51.0;26;60.3391609192;16;96.0921554565;178.162567139;63;172.252345681;
130;4;19.5183048248;51.0;26;62.4672012329;17;99.5054626465;178.181152344;64;172.872033477;
131;4;21.0;52.0;27;63.5314860344;17;99.9122848511;179.199707031;65;173.454887986;
132;4;23.0;53.0;27;64.4777612686;17;101.265350342;181.218261719;66;174.002948761;
133;4;24.0;54.0;27;65.312358737;17;104.591041565;181.236755371;67;174.427840114;
134;4;25.0;55.0;27;66.0439882278;17;104.997848511;182.255218506;67;174.788098574;
135;4;26.0;56.0;28;66.6827389002;17;104.251564026;187.038848877;68;175.031960249;
136;4;27.0;57.0;28;67.2392472029;17;105.412010193;192.068664551;69;175.238226891;
137;4;27.6000003815;58.0;28;67.6449179649;17;106.541633606;197.098388672;70;175.443157077;
138;4;27.6000003815;59.0;29;67.8162232637;17;107.670196533;202.127960205;71;175.646465182;
139;4;27.6000003815;60.0;30;67.9013283253;17;108.797492981;207.157348633;71;175.847882032;
140;4;27.6000003815;61.0;30;67.9896525145;17;110.923339844;209.556488037;72;176.047157884;
141;4;27.6000003815;62.0;30;68.0811642408;17;113.047531128;212.590576172;73;176.24405992;
142;4;27.6000003815;62.2818145752;30;68.1758141518;17;115.169921875;216.397949219;75;176.438377619;
143;4;27.6000003815;62.3480682373;31;68.2735335827;17;117.290328979;220.431518555;76;176.629921436;
144;4;28.6000003815;59.4164733887;31;68.3742339611;17;119.415473938;221.464782715;78;176.818523407;
145;4;27.6000003815;59.4869613647;32;68.4778065681;17;120.531555176;222.300720215;80;177.004034281;
146;4;27.6000003815;59.559463501;33;68.5841217041;17;120.645355225;225.364318848;82;177.186329603;
147;4;28.6000003815;56.6338844299;33;68.6930289268;18;122.756713867;225.427642822;82;177.365301847;
148;4;27.6000003815;56.7101211548;34;68.8043570518;18;123.865623474;225.490692139;82;177.540863991;
149;4;27.6000003815;57.7880477905;34;68.917914629;18;124.972000122;225.553436279;83;177.712948203;
150;4;26.6000003815;56.8675384521;33;69.0334908962;19;119.011611938;229.615814209;81;177.881502986;
151;4;24.6000003815;58.9484443665;34;69.1508569717;19;114.575080872;234.677825928;81;178.046493888;
152;4;23.6000003815;61.0306015015;34;69.2697672844;19;112.716926575;236.739440918;81;178.207899332;
153;4;23.6000003815;60.1138381958;34;69.3899610043;19;110.72845459;238.800598145;81;178.356824279;
154;4;21.6000003815;62.1979751587;36;69.5111646652;19;109.317306519;242.850494385;82;178.487037182;
155;4;20.6000003815;64.2828140259;36;69.6330943108;19;108.361297607;243.881439209;81;178.565621138;
156;4;20.6000003815;63.3681640625;36;69.7554576397;19;105.400131226;247.912322998;81;181.013279319;
157;4;18.6000003815;65.4538192749;36;69.8779573441;19;102.582611084;257.208831787;82;182.450361609;
158;4;18.0;67.53956604;36;70.0002937317;19;104.952835083;256.515930176;85;183.822562575;
159;4;19.0;66.6252059937;37;70.1221673489;20;106.310096741;257.833190918;84;185.134098172;
