Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
32;3;17.0;21.6888656616;4;41.2369098663;3;18.033033371;15.5;8;26.8162822723;
33;3;18.0;22.7162284851;4;41.7475332022;3;17.044883728;16.5;8;26.8559447527;
34;3;19.0;23.7437458038;5;42.2031087875;3;16.0567836761;17.5;8;26.8957372904;
35;3;20.0;24.771396637;6;42.6063882113;3;15.0687217712;18.5;8;26.9356285334;
36;3;21.0;25.799161911;5;42.9611192942;3;14.5806884766;19.5;8;26.9755871296;
37;3;22.0;26.8270168304;5;43.2716499567;3;14.5926761627;20.5;8;27.015581131;
38;3;23.0;27.8549404144;5;43.5425961018;3;14.6046743393;21.5;8;28.0555787086;
39;3;23.4551544189;27.5;6;43.765581131;3;15.6166734695;22.5;8;28.1155478954;
40;3;23.5375003815;28.5;7;43.8055787086;3;16.6286640167;24.0100002289;9;28.175652504;
41;3;23.5375003815;29.5;7;43.8455479145;3;16.6406364441;25.0200977325;9;28.2358549833;
42;4;25.5375003815;28.2000007629;6;44.885456562;3;17.0;24.0302906036;10;28.2961169481;
43;4;23.5375003815;30.2000007629;7;45.0552731752;3;16.9888343811;23.5;11;28.3564004898;
44;4;23.5375003815;32.2910003662;7;45.2403970957;3;17.0069198608;24.5;11;28.416667819;
45;6;24.5375003815;31.3928012848;5;55.4422280788;3;17.0;24.0614051819;12;28.4768815041;
46;6;26.5375003815;36.3928031921;6;56.0621907711;3;19.0430641174;25.0614051819;13;28.5370044708;
47;6;28.5375003815;41.3928031921;6;56.676104188;3;19.7115650177;26.0614051819;13;28.5970001221;
48;6;30.5375003815;45.3928031921;6;57.2840766907;3;21.0790996552;27.0614051819;13;28.656832099;
49;6;32.5374984741;49.3928031921;7;57.8867990971;3;21.7346439362;28.0614051819;14;28.7164651155;
50;5;28.5375003815;47.5;9;55.9335339069;4;22.7460403442;28.0614051819;12;31.060128212;
51;5;29.5375003815;49.5;9;56.2373437881;4;24.7573299408;28.5;13;31.3868786097;
52;5;30.5375003815;51.2407608032;11;56.5149195194;4;25.5;31.1366577148;15;31.737852335;
53;5;32.0457229614;49.2671012878;12;56.7675423622;4;27.2795581818;31.1476516724;15;32.1136296988;
54;5;31.1426372528;50.2931747437;12;56.9967236519;5;28.2904834747;32.1586914062;13;32.5144087076;
55;5;31.2291889191;51.3189697266;17;57.2041199207;5;29.3012733459;32.5;14;32.9399262667;
56;5;32.3061294556;49.3444595337;18;57.3914604187;5;29.3119239807;32.5;15;33.3893840313;
57;5;31.3742465973;50.3696365356;18;57.4564116001;6;28.9152297974;33.5;14;33.8613880873;
58;5;31.3875007629;51.3944892883;20;57.4914214611;6;28.5;34.5911941528;15;34.3539096117;
59;5;32.3875007629;49.4189949036;20;57.5259244442;6;28.5;34.619392395;15;34.8642721176;
60;5;31.3875007629;50.443145752;21;57.5599038601;6;28.5;34.6473388672;15;35.3891757727;
61;5;31.3875007629;51.4669342041;21;57.59334445;6;29.3628692627;33.2369003296;14;36.9247583151;
62;6;32.3875007629;49.4903411865;21;63.3762321472;6;30.3725662231;34.2481498718;15;37.5066986084;
63;6;32.3875007629;51.5133628845;22;63.5810544491;6;30.9556388855;35.5;16;39.0915367603;
64;6;33.3875007629;53.535987854;23;63.7802581787;6;31.5;38.7563781738;16;39.7124553919;
65;6;34.3875007629;52.5582084656;23;63.9734120369;6;33.8691329956;38.5;16;40.2999482155;
66;6;33.3875007629;54.5800209045;25;64.1581306458;6;33.4000015259;40.5;17;40.8780033588;
67;6;33.3875007629;56.5999984741;25;66.0210962296;6;33.4000015259;41.5;16;41.4424442053;
68;6;33.6740951538;57.641998291;25;67.5714700222;6;33.4000015259;42.5;16;42.0147739649;
69;6;33.9222831726;58.683555603;26;68.8517124653;6;33.4000015259;43.3482894897;17;43.8494824171;
70;6;34.1357879639;60.7246170044;27;69.9059979916;6;33.7179985046;43.0;17;45.4440908432;
71;6;35.3184280396;59.7651519775;27;70.4632704258;6;33.0340003967;44.3899993896;17;46.8272832632;
72;6;36.4000015259;59.8051109314;27;70.6506791115;6;33.2123565674;43.6872596741;18;48.0304528475;
73;6;34.4000015259;61.8444595337;28;70.829985857;6;34.3166236877;44.9097442627;19;48.9355378151;
74;6;34.4000015259;63.8831596375;29;71.0012204647;6;34.3879051208;45.1161346436;19;49.6246780157;
75;7;34.4000015259;65.9211807251;26;86.1644654274;6;34.4047698975;45.1764678955;19;50.2778471708;
76;7;35.4000015259;68.8455963135;26;87.3698487282;6;31.3999996185;46.0;20;50.8955764771;
77;7;37.4000015259;67.9749908447;27;88.4725143909;6;30.3999996185;48.7294158936;21;51.4792567492;
78;7;36.4000015259;70.0976715088;27;89.4621155262;6;29.3999996185;47.0;21;52.0309066772;
79;7;36.4000015259;72.2138366699;26;90.3090863228;6;28.3999996185;50.0;21;52.5529558659;
80;8;37.4000015259;71.3001708984;25;90.9900636673;6;27.3999996185;49.9463615417;21;53.0480525494;
81;8;36.4000015259;73.3336029053;22;91.569665432;6;26.3999996185;50.9568405151;24;53.5189027786;
82;9;36.4000015259;75.3661956787;21;92.0575146675;6;25.3999996185;52.9672317505;24;53.8649810553;
83;9;37.4000015259;74.3979492188;22;92.4646687508;6;25.0;54.9775390625;24;54.1596448421;
84;9;36.4000015259;76.4288635254;23;92.8024749756;6;25.0;56.9877548218;23;54.4568724632;
85;10;36.4000015259;78.4589233398;22;94.9787974358;5;23.0;50.0;23;52.7403945923;
86;10;38.4000015259;78.4881362915;22;96.0;5;23.0;50.0;24;53.0214421749;
87;10;39.4000015259;82.5;22;96.0800000429;5;23.0;51.0;25;53.3037397861;
88;11;40.4000015259;86.5;23;120.165536046;5;23.0;52.0;24;53.5631811619;
89;11;42.4000015259;88.5;23;121.936849833;5;24.0;50.0;24;53.8070232868;
90;11;42.4000015259;93.5;25;123.40034616;5;23.0;51.0;24;54.0516312122;
91;13;42.4000015259;98.5;23;124.573242426;5;23.0;52.0;24;54.2964112759;
92;13;43.4000015259;98.5;24;125.494168639;5;24.0;50.0;24;54.5407657623;
93;13;42.4000015259;102.5;24;126.21046865;5;23.0;51.0;25;54.7840986252;
94;13;42.4000015259;107.5;25;126.768806577;5;23.0;52.0;25;55.0258214474;
95;15;43.4000015259;108.5;21;131.050208211;4;22.0;45.0;26;51.0337805748;
96;15;43.4000015259;112.5;21;131.30578208;4;21.0;46.0;26;51.1534314156;
97;15;46.0;117.699996948;22;132.566585064;4;21.0;47.0;27;51.2716617584;
98;15;47.4000015259;122.699996948;20;132.882300138;4;22.0;45.0;28;51.3882069588;
99;15;49.4000015259;127.268280029;22;133.204539061;4;21.0;46.0;27;51.5028176308;
100;16;52.0;131.425338745;22;133.532916665;4;21.0;47.0;28;51.6152610779;
