Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
67;4;27.2999992371;32.0;21;63.0514597893;9;49.4749984741;63.797290802;17;118.605707049;
68;4;27.2999992371;33.0;22;63.9207661152;10;49.4749984741;66.7972869873;17;118.906022787;
69;5;27.2999992371;34.0;21;64.5692670345;10;51.4749984741;66.7972869873;17;119.079355955;
70;5;27.2999992371;34.0;21;64.9975619316;10;50.4749984741;70.7972869873;18;120.264847994;
71;5;27.2999992371;34.0;21;65.0575861931;10;51.4749984741;72.7972869873;18;120.6126858;
72;5;27.2999992371;35.0;21;68.2260596752;10;49.4749984741;76.7972869873;18;120.993708134;
73;5;27.7425003052;36.7000007629;22;70.6276164055;10;49.4749984741;79.7972869873;19;121.410164475;
74;5;28.0823898315;38.2291984558;22;72.4067225456;10;49.4749984741;83.0268554688;19;121.864233732;
75;6;28.3368377686;39.6162643433;22;73.7126529217;10;49.4749984741;86.1911239624;23;122.357952714;
76;7;28.5244598389;40.8922767639;20;74.1619744301;10;49.4749984741;89.3635635376;24;122.893129826;
77;7;28.6108837128;42.0;20;74.3838481903;10;49.4749984741;92.5437469482;24;123.471240282;
78;7;28.6324195862;43.0;20;74.6048035622;10;49.4749984741;95.7311248779;24;124.093303442;
79;7;27.6000003815;45.0;20;74.8243014812;10;50.4749984741;95.924987793;25;124.926885843;
80;7;27.6000003815;46.7910308838;20;75.041810751;10;49.4749984741;99.2415161133;26;125.825797319;
81;7;27.6000003815;47.825378418;20;76.2568154335;10;49.4749984741;103.577636719;27;126.787598133;
82;7;28.6000003815;49.8591346741;20;78.6188184023;11;51.4749984741;104.931427002;26;127.80802393;
83;7;32.5999984741;53.8922615051;21;79.1131227016;11;52.4749984741;106.300338745;28;129.880875111;
84;7;33.5999984741;58.9247207642;21;79.6330144405;11;53.4749984741;111.316612244;29;131.058004379;
85;7;33.5999984741;63.956489563;22;80.1807402372;11;56.4749984741;110.098602295;30;132.27239418;
86;8;33.5999984741;68.5411224365;21;80.7586044073;11;55.4749984741;111.904602051;30;133.512544513;
87;8;33.5999984741;71.6389160156;23;81.368889451;11;54.4749984741;116.726501465;31;134.765741348;
88;8;33.5999984741;75.0548400879;25;82.0137575865;11;56.4749984741;115.555381775;31;137.018550515;
89;8;33.5999984741;72.443031311;25;82.6951239109;11;57.4749984741;116.002182007;31;138.407396555;
90;8;34.2875061035;75.8650741577;26;83.4145081043;12;56.4749984741;122.449836731;31;139.789951801;
91;8;33.5999984741;80.0762176514;27;84.1728641987;12;58.4749984741;122.892608643;31;141.15650034;
92;9;34.5999984741;81.3064193726;27;84.9703997374;12;58.4749984741;123.892608643;32;142.498987436;
93;10;34.5999984741;82.5558319092;27;85.8063942194;13;57.4749984741;127.892608643;33;144.811350107;
94;10;33.5999984741;86.8241348267;28;86.6790355444;13;59.4749984741;129.892608643;33;146.109676957;
95;10;34.5999984741;88.1104736328;28;87.5751638412;13;59.4749984741;134.174423218;33;147.372371435;
96;10;35.0558891296;88.6535797119;29;88.4660769701;13;59.4749984741;138.24067688;36;149.599553227;
97;10;33.5999984741;93.9483718872;28;89.3822934628;13;62.4749984741;137.309082031;36;150.872900009;
98;10;34.5999984741;96.2546615601;29;91.3170443773;13;61.4749984741;142.379577637;38;152.12072289;
99;11;35.5999984741;98.5600204468;28;92.3426094055;13;60.4749984741;150.223403931;40;154.346619248;
