Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
67;7;53.0203552246;69.6162643433;26;121.697887182;6;52.017288208;41.0117683411;17;60.5404605865;
68;7;53.5110092163;72.0925445557;26;122.893250823;6;52.4497375488;43.0621185303;17;61.4562796354;
69;8;54.7900123596;71.3117218018;26;123.344586134;6;52.8650856018;45.1139030457;17;62.4205715656;
70;8;53.8949356079;72.0;24;123.748192787;6;47.8650856018;47.2004776001;18;63.3698513508;
71;8;51.1748199463;77.0;22;124.108970881;6;48.5237045288;48.2917022705;19;64.3021925688;
72;9;51.2108955383;78.0391769409;21;124.392403364;7;46.5237045288;51.518157959;18;65.2169184685;
73;9;49.2392425537;81.2224578857;22;124.688233137;7;44.5237045288;53.1474609375;18;66.1144323349;
74;10;49.1198387146;82.9960632324;21;124.996138096;7;42.5237045288;54.3741226196;18;66.9959869385;
75;10;49.1732940674;83.158706665;23;126.315622807;7;41.5237045288;52.5260505676;19;67.8634204865;
76;10;47.3315620422;88.3295898438;23;126.846007109;7;38.5237045288;54.6831665039;19;68.7188863754;
77;10;48.1646003723;93.50831604;23;127.424017549;7;37.7999992371;57.8449516296;19;69.5646033287;
78;10;49.3423995972;97.3295898438;24;128.054615855;7;37.7999992371;60.3157463074;19;71.4026293755;
79;11;50.4054603577;101.329589844;24;143.243096828;7;39.7999992371;63.5564689636;20;73.872866869;
80;11;49.4743080139;108.329589844;25;144.647448778;7;39.7999992371;65.8194351196;21;76.5314347744;
81;12;50.5494918823;115.329589844;25;146.051111698;7;38.7999992371;68.191734314;22;79.2154517174;
82;12;51.6315612793;122.329589844;24;147.459344864;8;39.7999992371;67.5865478516;19;81.9135328531;
83;12;52.7210159302;129.329589844;28;148.878927708;8;39.7999992371;72.0008926392;20;84.6153926849;
84;12;53.8182754517;135.943588257;29;150.316894293;8;41.7999992371;72.4309539795;18;87.0550040007;
85;12;54.9236068726;141.557403564;29;151.77914381;8;41.7999992371;72.7248535156;18;89.4537537098;
86;12;56.0370521545;147.246627808;31;153.269068241;9;39.7999992371;74.0145111084;19;91.7990393639;
87;13;57.1583404541;152.89743042;30;155.786335468;9;39.7999992371;76.2975463867;20;94.0752830505;
88;13;60.286819458;156.933837891;30;157.414028883;9;41.7999992371;72.5718231201;20;96.1991773844;
89;13;62.6214027405;160.978469849;26;159.042854905;9;38.7999992371;74.8354110718;20;98.0860056877;
90;14;63.9042854309;165.022109985;26;165.740870833;9;36.7999992371;76.0867004395;21;99.8896040916;
91;14;66.0740890503;170.064712524;25;167.641455412;9;38.7999992371;75.324432373;27;101.587761641;
92;14;68.2491531372;174.655853271;26;169.573395491;9;38.7999992371;77.5476608276;27;103.163975716;
93;15;70.4276657104;177.942199707;27;172.518711567;9;37.7999992371;78.7558135986;27;105.608139277;
94;15;74.6078720093;179.215148926;28;174.641539216;9;39.7999992371;78.9486160278;28;106.936434031;
95;15;75.9882278442;183.47416687;29;176.77968359;9;40.7999992371;83.1260986328;29;108.130761623;
96;15;77.7236251831;187.718948364;30;180.389460444;9;40.7999992371;85.2885437012;30;109.197161078;
97;15;79.6544570923;189.100097656;31;184.020358682;9;42.7999992371;85.4364318848;31;110.144689202;
98;15;80.9774627686;190.471130371;33;187.59672904;9;41.7999992371;87.5704193115;32;110.984166861;
99;15;82.2498092651;192.831237793;32;191.06074667;9;42.4611358643;89.6912612915;32;111.727131724;
100;15;84.5478210449;192.179779053;36;195.378081322;9;42.7999992371;85.5857925415;31;112.364028215;
