Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
67;6;36.693157196;45.0;16;108.206688166;5;30.7999992371;33.6647453308;12;33.1566329002;
68;6;36.7155265808;45.0;16;111.733086348;5;31.7999992371;34.6647453308;12;33.2627791166;
69;6;36.7706565857;45.0;17;114.391314983;5;29.7999992371;36.6647453308;11;33.368761301;
70;6;35.7706565857;47.6484909058;17;115.898779631;5;30.7999992371;35.8240432739;13;33.474506855;
71;6;36.6940917969;44.6848068237;18;116.980269909;5;31.7999992371;35.8487014771;14;33.5799432993;
72;6;35.6940917969;45.7206993103;19;117.875789165;5;29.7999992371;36.8727836609;14;33.6849983931;
73;7;33.6940917969;45.7561225891;19;118.611503363;5;30.7999992371;35.8962783813;8;33.7896002531;
74;7;34.6940917969;44.7910308838;20;119.12165904;5;31.7999992371;35.9191741943;6;33.8936774731;
75;7;35.4000015259;44.825378418;21;119.218270779;5;29.7999992371;36.9414672852;6;33.9971587658;
76;7;36.4000015259;44.0;21;119.284520388;5;30.7999992371;35.9631538391;6;34.0999734402;
77;7;36.4000015259;47.0;22;119.349442959;5;31.7999992371;35.9842338562;7;34.1926498413;
78;8;37.4000015259;49.9247207642;16;121.605630159;4;27.7999992371;32.0;7;32.0;
79;8;39.4000015259;49.956489563;16;122.72928524;4;28.7999992371;31.0;7;32.0;
80;8;38.5999984741;52.9875411987;17;122.826798081;4;29.7999992371;31.0;7;32.0;
81;8;37.5999984741;56.0178489685;20;122.925554931;4;27.7999992371;32.0;7;32.0;
82;8;35.5999984741;60.0473937988;21;123.025197029;4;28.7999992371;31.0;8;32.0;
83;9;34.5999984741;64.0761642456;19;123.12539643;3;29.7999992371;31.0;8;32.0;
84;10;36.3625411987;68.1041412354;18;123.225852907;3;27.7999992371;32.0;9;32.0;
85;10;38.3725891113;71.1313247681;19;123.32629168;3;28.7999992371;31.0;9;32.0;
86;10;38.7326278687;74.157699585;20;123.426461875;3;29.7999992371;31.0;9;32.0;
87;10;37.7426452637;77.1832580566;19;123.526135862;3;27.7999992371;32.0;7;32.0;
88;10;36.7526130676;81.6368103027;20;123.625105858;3;26.7999992371;33.7999992371;7;32.0;
89;10;36.3625106812;85.6553649902;21;123.713053942;3;25.7999992371;34.7999992371;7;32.0;
90;10;36.371307373;89.668586731;22;124.765424132;3;25.7999992371;33.7999992371;7;32.0;
91;10;38.3765449524;91.6642303467;24;124.858169317;3;25.7999992371;33.7999992371;8;32.0;
92;10;38.381816864;96.6603012085;25;124.952316761;3;25.1999988556;33.7999992371;9;32.0;
93;11;38.4952316284;101.656768799;17;140.047722697;3;24.1999988556;33.7999992371;9;32.0;
94;11;40.5047721863;104.25;17;141.194250107;3;23.1999988556;33.7999992371;9;32.0;
95;11;40.5144271851;110.650733948;20;142.246746719;3;22.1999988556;33.7999992371;9;32.0;
96;11;41.5241775513;116.648162842;21;143.19454217;3;21.1999988556;34.0;10;32.0;
97;11;43.3194541931;119.645843506;21;144.033863723;3;20.1999988556;35.0;10;32.0;
98;11;43.4033889771;122.643760681;22;144.766881526;3;19.1999988556;36.0;10;32.0;
99;12;43.4766921997;125.64188385;23;145.400242805;3;18.1999988556;37.0;10;32.0;
100;12;44.5400276184;125.25;24;145.94348377;3;17.1999988556;38.0;11;32.0;
