Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
105;10;30.3999996185;62.6061973572;16;49.063221693;6;33.5788383484;46.7999992371;15;50.0833557844;
106;10;30.3999996185;62.7556915283;16;49.703732729;6;33.6354293823;46.7999992371;16;50.2113592625;
107;10;30.3999996185;62.9010162354;15;50.3710923195;6;33.6898269653;46.7999992371;16;51.3342037201;
108;10;30.3999996185;63.0398750305;16;51.0129630566;6;34.7420349121;47.7999992371;16;51.5319094658;
109;11;30.3999996185;63.1437988281;11;66.6864025593;6;35.7920608521;48.7999992371;16;51.730062604;
110;12;31.3999996185;64.2450790405;10;68.4384531975;6;36.3352775574;49.7999992371;18;51.9289801121;
111;12;32.4000015259;65.3436508179;11;70.1199026108;6;36.4198150635;50.7999992371;18;52.1289891005;
112;12;33.4000015259;66.4394760132;12;71.7148041725;6;36.5048217773;51.7999992371;18;52.3304190636;
113;12;34.4000015259;67.5325164795;14;73.2130045891;6;36.5904273987;51.7999992371;19;52.5021182299;
114;12;35.4000015259;68.6227416992;14;74.6094069481;6;36.6634025574;51.7999992371;20;52.6392438412;
115;12;36.4000015259;68.7101669312;16;77.007581234;6;36.7216796875;51.7999992371;20;52.7828835249;
116;12;37.4000015259;69.3651199341;16;79.3197283745;6;36.7827262878;51.7999992371;20;52.9331201315;
117;12;37.4000015259;70.0266265869;16;81.5404560566;6;36.8465766907;51.7999992371;21;53.0742022991;
118;12;37.4000015259;70.6898269653;17;84.6651473045;6;36.906539917;51.7999992371;21;53.2178573608;
119;12;38.4000015259;72.3498077393;17;87.6710516214;6;36.967590332;51.7999992371;21;53.3682756424;
120;12;40.4000015259;71.5745239258;17;89.5476132631;6;37.0315170288;51.7999992371;22;53.5253331661;
121;12;41.4000015259;72.7930145264;16;92.3656327724;6;37.0982666016;51.7999992371;18;53.6888401508;
122;13;42.4000015259;73.6732940674;15;95.1763837337;6;37.1677589417;51.7999992371;18;53.8585371971;
123;13;44.4000015259;76.8198394775;15;96.9763858318;6;37.2398796082;51.7999992371;18;54.0340931416;
124;13;46.4000015259;77.6355514526;15;98.7044438124;7;37.314491272;53.7999992371;17;54.2151043415;
125;13;47.4000015259;79.7665252686;15;100.358505845;7;37.391418457;55.7999992371;17;54.4010946751;
126;13;49.4000015259;79.964302063;15;101.93829751;7;37.4704666138;57.7999992371;16;54.5915186405;
127;12;47.9422149658;78.964302063;15;97.6519496441;8;38.551399231;56.0;15;60.3885064125;
128;12;48.981212616;81.964302063;15;98.9022344351;8;40.3339500427;57.0;15;60.4256310463;
129;12;50.4000015259;81.964302063;16;101.090270042;8;39.7178459167;59.0;15;60.4812130928;
130;13;49.4000015259;83.8341293335;15;102.27624023;8;39.802772522;61.0;17;60.5528860092;
131;13;50.4000015259;85.8798828125;15;103.292172432;8;39.8884086609;63.0;17;60.9532847404;
132;13;51.4000015259;84.9272079468;16;104.286278725;8;39.9744148254;65.0;17;61.7776503563;
133;13;47.4000015259;88.9760665894;16;105.260853767;8;40.241897583;66.0;18;62.6401400566;
134;13;45.4000015259;93.0264205933;18;106.159862757;8;40.5271835327;66.1999969482;18;63.5358116627;
135;13;44.4000015259;94.0782089233;19;106.868598104;8;40.8284454346;66.1999969482;19;64.4580936432;
136;13;44.4000015259;96.131362915;21;108.590436816;8;35.9012565613;69.1999969482;19;66.398873806;
137;14;46.4000015259;100.185813904;20;109.444739342;8;35.1750030518;72.8134613037;18;67.3837348223;
138;14;48.4000015259;101.241477966;19;110.32378757;8;35.1750030518;75.8569488525;16;68.3682024479;
139;14;54.8323822021;107.831840515;19;111.227751255;8;34.1750030518;76.9005737305;17;69.3415189981;
140;14;57.6227760315;113.912742615;18;112.086655974;8;33.1750030518;78.9442901611;18;70.2930907011;
141;15;59.6086730957;116.994903564;18;119.90397501;7;30.1750011444;75.9880371094;18;64.1314080954;
142;15;59.6965408325;123.078140259;19;120.955623388;7;29.1750011444;78.0317687988;19;64.8753771782;
143;15;61.7873954773;126.162277222;19;123.029217482;7;28.1750011444;80.4651031494;20;65.579487443;
144;15;63.6029205322;130.247116089;22;124.243693709;7;28.1750011444;79.5607223511;20;66.2387114763;
145;15;62.7123756409;132.81930542;22;125.490836143;7;26.9750003815;81.6572113037;15;66.849940896;
