Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
116;7;28.2999992371;89.5999984741;28;67.2611646652;6;23.0;85.0961608887;8;59.0557535887;
117;8;29.2999992371;87.5999984741;27;67.3830943108;6;24.0;84.1271133423;9;59.2094272375;
118;8;28.2999992371;88.5999984741;30;67.5054576397;6;23.0;86.1581954956;10;59.3664288521;
119;8;28.2999992371;89.5999984741;29;67.6279573441;6;23.0;88.1893692017;11;59.5266129971;
120;8;29.2999992371;87.5999984741;29;67.7502937317;6;24.0;84.2206039429;12;59.6898133755;
121;8;28.2999992371;88.5999984741;32;67.8721673489;6;23.0;84.2518539429;12;59.8558430672;
122;9;28.2999992371;89.5999984741;32;67.9932823181;6;23.0;84.2830810547;14;60.0244941711;
123;9;29.2999992371;87.5999984741;29;68.1133489609;6;24.0;82.3142471313;13;60.1955389977;
124;9;28.2999992371;88.5999984741;29;68.2320871353;6;23.0;83.3453216553;13;60.3687295914;
125;9;28.2999992371;89.5999984741;30;68.3492274284;6;23.0;85.3762512207;13;60.5437989235;
126;9;29.2999992371;87.5999984741;31;68.7254691124;6;23.0;89.9821777344;13;60.7204623222;
127;9;28.2999992371;88.5999984741;23;69.1164793968;6;23.0;92.0249404907;13;60.8984189034;
128;9;28.2999992371;89.5999984741;23;69.5198383331;6;23.0;94.0673522949;14;61.0773534775;
129;9;29.2999992371;88.5999984741;25;69.9327311516;6;23.0;96.109375;15;61.2569382191;
130;9;29.2999992371;88.5999984741;25;70.3520131111;6;23.0;98.1509475708;16;61.436835289;
131;9;29.7999992371;89.8499984741;26;70.7742938995;6;23.0;100.19203186;17;61.6166996956;
132;9;30.7999992371;88.8499984741;27;71.196041584;6;24.0;102.232589722;18;61.7961812019;
133;9;29.7999992371;88.8499984741;28;71.613697052;6;23.0;104.272567749;20;61.9749283791;
134;10;29.7999992371;92.8499984741;29;72.0237941742;6;24.0;106.311943054;21;62.1525912285;
135;11;30.7999992371;91.8499984741;29;72.4230747223;6;23.0;108.350669861;24;62.328823328;
136;11;29.7999992371;93.8499984741;29;72.8085927963;6;24.0;107.388717651;24;62.5032863617;
137;11;29.7999992371;93.8499984741;26;73.1777963638;6;24.0;109.221359253;19;62.6756520271;
138;11;30.7999992371;94.8499984741;26;73.5285902023;6;25.0;110.342025757;20;62.8456053734;
139;11;29.7999992371;94.8499984741;27;73.8593664169;6;24.0;109.460990906;22;63.0128464699;
140;11;29.7999992371;98.8499984741;27;74.1690130234;6;24.0;109.578063965;23;63.177094698;
141;11;29.2999992371;96.8499984741;28;74.4568967819;6;23.0;110.693031311;23;63.3380885124;
142;11;29.2999992371;99.8499984741;28;74.722826004;6;24.0;109.805725098;24;63.4955883026;
143;11;29.7999992371;101.849998474;30;74.9670038223;6;24.0;109.915977478;28;64.0829734802;
