Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
220;8;47.4114990234;97.1688537598;38;88.0258760452;39;351.413696289;1023.38977051;108;729.822225571;
221;8;48.4103507996;94.1681365967;40;88.0232896805;39;346.609283447;1019.37231445;104;726.436149597;
222;8;46.4093170166;97.1674957275;41;88.0209598541;39;340.41394043;1015.41833496;106;726.600635529;
223;8;47.4083824158;97.1669158936;41;88.0188646317;39;340.562469482;1015.40991211;89;727.332701683;
224;8;48.4075469971;94.1663818359;42;88.0169773102;39;342.511047363;1026.10754395;82;714.234287262;
225;8;46.406791687;98.1659240723;42;88.0152788162;39;342.517791748;1019.35870361;78;714.870053291;
226;8;47.4061126709;99.1654968262;44;88.0137500763;39;353.549041748;1020.23443604;82;704.086833954;
227;8;48.4054985046;94.1651153564;45;88.0123758316;39;355.839599609;1022.9942627;74;700.829225063;
228;8;46.4049491882;99.1647644043;44;86.011138916;39;381.329528809;1019.45544434;72;698.546866655;
229;8;46.4049491882;100.164764404;37;86.7893009186;39;392.480499268;1017.66619873;67;694.826373577;
230;8;46.4049491882;94.1647644043;37;87.3822622299;39;399.423370361;1019.93164062;68;696.555695295;
231;8;44.4049491882;98.1647644043;35;85.8259468079;40;399.970092773;1000.91986084;70;693.942481995;
232;8;45.4049491882;99.1647644043;36;86.3037452698;40;408.045043945;1002.30230713;71;685.81267333;
233;8;45.4049491882;95.1647644043;36;84.5815382004;40;401.416717529;995.071838379;74;688.762699127;
234;8;43.4049491882;98.1647644043;33;83.6174345016;40;401.668395996;998.931213379;77;683.323909998;
235;8;43.8240013123;98.5516662598;33;86.9338083267;40;405.962402344;969.128723145;77;679.538148642;
236;8;47.8240013123;93.4194641113;33;87.6299467087;40;410.750518799;988.096679688;74;688.41169405;
237;8;43.8240013123;97.4194641113;34;88.1674184799;40;421.135681152;991.967712402;60;677.630015612;
238;8;43.8240013123;100.949539185;34;88.4164514542;40;413.767272949;830.682312012;54;660.02482605;
239;8;47.8240013123;96.0294647217;32;86.4728279114;40;407.173278809;947.668151855;40;651.506345749;
240;8;47.8240013123;98.0294647217;32;86.6491584778;40;411.789886475;997.38861084;36;639.756740808;
241;8;49.4000015259;100.029464722;32;82.8185119629;40;410.673126221;904.848510742;34;614.532129049;
242;8;51.4000015259;94.0294647217;33;83.2014551163;40;410.754882812;948.231384277;33;597.148449421;
243;8;49.4000015259;95.0294647217;29;77.6933507919;40;406.388519287;965.097351074;36;584.178722382;
244;8;47.4000015259;99.0294647217;27;76.6346127987;40;398.845245361;889.560058594;33;560.581651211;
245;8;46.4000015259;96.2912750244;25;71.887386322;40;386.914916992;772.187927246;33;540.745648384;
246;8;45.4000015259;97.2447509766;24;75.672680378;40;382.068481445;762.804382324;31;546.809430122;
247;8;45.4000015259;96.7438659668;23;73.0882763863;40;378.826599121;731.341796875;26;538.512562037;
248;8;44.4000015259;95.5993728638;24;71.9284451008;40;386.98651123;777.611206055;28;527.72116065;
249;8;44.4000015259;95.5217208862;26;70.4080363512;40;391.965423584;811.979492188;29;520.032179832;
250;8;45.4000015259;96.2912139893;25;64.8689134121;40;393.292022705;777.489318848;32;526.430593491;
251;8;42.4000015259;73.9393692017;25;62.771378994;41;394.861083984;768.762512207;28;505.682418704;
252;8;42.4000015259;73.2116622925;20;58.1529881954;41;378.972015381;787.020263672;31;506.530939221;
253;8;40.4000015259;68.4928741455;16;56.0465064049;41;371.417266846;726.748657227;29;503.313929081;
254;8;40.4000015259;69.451210022;15;50.5693455935;41;373.59185791;769.057250977;21;507.292412281;
255;8;38.4000015259;60.361114502;13;48.4331526756;41;370.252288818;788.132568359;23;496.172454834;
256;8;37.1320648193;61.6565589905;13;51.9154858589;41;375.996551514;802.694213867;24;500.05203104;
257;8;38.6092910767;61.6565589905;13;53.1342082024;41;369.062683105;753.113037109;20;484.39224267;
258;8;40.1035690308;62.6565589905;16;54.3906517029;41;360.48348999;744.458374023;21;451.248455763;
259;8;37.9337844849;63.6565589905;16;54.6699752808;41;352.538970947;669.363830566;20;439.164078236;
260;8;27.3073348999;64.6565551758;18;53.9445343018;41;353.313964844;700.738830566;14;442.321779966;
261;8;25.4161167145;70.0213928223;17;55.1192536354;41;346.24017334;688.186584473;19;439.169130802;
262;8;25.9152107239;74.8288345337;14;50.1210757494;41;339.773040771;707.719848633;21;432.403063774;
263;8;22.7985115051;59.9577407837;9;48.3204584122;41;327.482147217;652.570556641;20;419.446819782;
264;8;19.7985115051;58.2774734497;6;45.6185455322;41;322.306884766;635.967285156;23;395.274702072;
265;8;19.0;52.2774734497;1;47.9682588577;41;324.137268066;677.681274414;19;396.284723282;
266;0;0;0;0;0;41;327.598846436;638.02734375;13;385.277373314;
