Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
28;1;23.25;12.5;8;25.0;4;25.2583656311;12.5;5;38.2134218216;
29;1;23.25;12.5;6;25.0;4;25.4640274048;12.5;5;38.8458929062;
30;1;23.25;12.5;7;25.0;4;23.6537685394;13.5;5;40.4210662842;
31;1;23.25;12.5;7;25.0;4;23.6537685394;13.5;5;40.977186203;
32;1;23.25;12.5;7;25.0;4;23.6537685394;13.5;5;41.4758687019;
33;1;23.25;12.5;7;25.0;4;23.6537685394;14.0405921936;5;41.9193184376;
34;1;23.25;12.5;8;25.0;4;23.6537685394;13.5;5;42.3110474348;
35;1;23.25;12.5;8;25.0;4;24.6537685394;15.0835533142;6;42.6554220915;
36;1;23.25;12.5;8;25.0;4;24.0173206329;13.5;6;42.9572603703;
37;1;23.25;12.5;8;25.0;4;22.6537685394;14.1288738251;6;43.2215030193;
38;1;23.25;12.5;8;25.0;4;21.6537685394;14.1524076462;6;43.3530313969;
39;1;23.25;13.5;8;25.0;4;22.9059104919;14.5;6;43.4023760557;
40;1;23.25;14.5;8;25.0;4;24.5;17.5;6;43.4528282881;
41;1;23.25;15.5;8;25.0;4;26.5;20.5;6;43.5043625832;
42;1;23.25;16.5;9;25.0;4;28.9513092041;23.5;6;43.5569496155;
43;1;23.25;17.5;9;25.0;4;30.9670848846;25.5;7;43.6105561256;
44;1;23.25;17.5;9;25.0;4;31.983165741;27.5;7;43.6651450396;
45;1;23.25;17.5;9;25.0;4;29.5;29.332572937;7;43.72067523;
46;1;23.25;17.5;9;25.0;4;28.5;30.3603382111;8;43.7771017551;
47;2;23.25;17.5;8;25.0;4;28.0331306458;30.5;8;43.8343759775;
