Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
145;13;79.8665466309;141.428863525;40;122.150878072;18;78.5999984741;222.673706055;54;144.527934313;
146;13;79.9306335449;141.783355713;40;122.580380082;18;82.5999984741;218.673706055;54;144.95987463;
147;13;86.6944885254;130.783355713;42;123.013679504;18;80.0;222.673706055;55;145.377113104;
148;15;83.8209915161;135.783355713;40;123.449957013;18;82.0;227.673706055;56;145.79085803;
149;15;87.9099197388;138.783355713;40;123.888368368;18;87.0;223.673706055;56;147.689487219;
150;15;90.9996871948;139.227645874;40;124.328050256;18;82.0;229.526763916;57;149.576477766;
151;15;93.0902023315;141.591796875;42;124.768128991;18;81.0;229.8309021;59;151.443488121;
152;15;97.1813201904;140.955764771;42;125.207727075;18;86.0;225.8309021;60;153.282531261;
153;15;98.2729263306;140.318771362;36;125.645970464;18;86.0;228.8309021;58;155.086093903;
154;15;98.3648986816;142.680099487;37;127.081997395;18;86.0;231.8309021;59;156.847233295;
155;15;101.457099915;143.039047241;33;128.554965496;18;87.0;231.8309021;53;158.559661388;
156;15;104.549407959;144.394897461;33;129.085241437;18;86.0;236.8309021;52;160.21781826;
157;15;106.738113403;146.664993286;34;130.981462717;18;87.0;238.8309021;53;161.816911221;
158;15;109.083450317;147.066375732;34;132.63997817;18;90.0;235.8309021;53;163.352950096;
159;15;108.310997009;153.473129272;36;134.087609172;18;88.0;241.8309021;55;164.822744846;
160;16;109.473648071;152.60786438;27;135.358067155;18;89.0;244.8309021;56;166.223906994;
161;16;107.683410645;158.94883728;28;136.48548615;18;91.0;241.8309021;56;167.554820061;
162;16;108.846664429;165.127426147;20;137.303061485;18;90.0;246.8309021;50;168.814601898;
