Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
112;6;29.0;52.5;25;83.4962768555;4;24.3999996185;45.9775390625;13;49.9267627001;
113;6;30.0;53.5;26;84.1138887405;4;23.3999996185;46.9877548218;13;50.006490469;
114;6;31.0;52.5;24;84.7092037201;4;23.3999996185;47.9978752136;12;50.0708494186;
115;6;30.0;54.5;23;85.2758054733;4;24.3999996185;46.0;12;50.1315076351;
116;7;30.0;56.5;22;85.8084964752;4;23.3999996185;47.0;12;50.1926498413;
117;7;31.0;55.5;22;86.3034496307;4;23.3999996185;49.0;13;50.2542052269;
118;7;30.0;57.5;23;87.1782531738;4;24.3999996185;47.1271018982;13;50.3161010742;
119;7;30.0;59.5;24;88.0142798424;4;23.3999996185;48.1580505371;14;50.3782629967;
120;7;31.0;58.5;23;88.8081278801;4;23.3999996185;49.1891326904;14;50.4406147003;
121;8;30.0;60.5;18;113.557394981;4;24.3999996185;47.2203063965;13;50.5030794144;
