Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
84;4;29.4000015259;33.0;18;46.2912938595;7;47.6999969482;77.0;33;108.864165187;
85;3;28.4000015259;27.0;19;39.5637768507;8;48.6999969482;78.0;27;116.043854237;
86;3;29.4000015259;27.0;17;39.5862361193;8;51.892578125;82.0;22;116.425013304;
87;3;27.4000015259;28.0;16;39.6086617708;8;55.4674987793;86.0;21;117.763746977;
88;3;28.4000015259;27.0;15;39.6310436726;8;60.1763763428;89.0;20;118.057806611;
89;3;29.4000015259;27.0;16;39.6533719301;8;60.8977775574;95.0;23;118.24965775;
90;3;27.4000015259;28.0;16;39.6756366491;10;62.0249633789;101.0;18;118.449878454;
91;3;28.4000015259;27.0;16;39.6978281736;10;63.0449867249;103.0;19;118.658526301;
92;3;29.4000015259;27.0;16;39.7199368477;10;64.0658569336;108.0;19;118.875621319;
93;3;27.4000015259;28.0;16;39.7419531345;10;64.2875671387;111.0;20;119.101142049;
94;3;26.4000015259;29.0;16;39.7638677359;10;64.3101119995;113.391746521;20;119.335021377;
95;3;25.4000015259;30.0;16;39.7856714725;10;64.3335037231;114.450424194;21;119.577142358;
96;3;24.4000015259;31.0;17;39.8073554039;10;65.357711792;113.509887695;21;120.827333808;
97;3;23.4000015259;32.0;17;39.8289107084;10;67.3827362061;114.569976807;24;121.145366907;
98;3;22.4000015259;33.0;17;39.8503289223;10;69.4085388184;115.630584717;24;121.473915577;
99;3;21.4000015259;34.0;16;39.8716015816;10;70.5473937988;116.691543579;21;121.812694192;
100;3;18.4000015259;30.0;14;38.0;11;68.5812683105;126.453819275;15;124.032943964;
