Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
166;14;126.238220215;225.248901367;44;206.411724091;17;80.3953857422;212.532470703;46;186.059637755;
167;14;127.216896057;232.214004517;43;206.666930676;17;80.7558288574;217.223373413;46;186.709879011;
168;14;127.19770813;227.182617188;44;206.916047573;17;81.8265075684;223.352478027;46;187.400749385;
169;14;127.180435181;234.154342651;44;207.777700901;17;81.8949203491;224.483276367;43;188.133265078;
170;14;127.674316406;241.12890625;44;209.41432476;17;78.9865112305;230.09866333;44;189.907440871;
171;14;128.141937256;248.106018066;46;211.006531239;17;81.0422210693;234.244354248;44;190.782044888;
172;14;128.580322266;249.085418701;49;212.546839714;17;85.4304504395;238.615493774;45;191.675433099;
173;14;128.987411499;246.066879272;49;214.029048443;17;88.4898529053;243.615478516;47;192.587840617;
174;14;129.362182617;245.050186157;54;215.448241711;17;91.4470596313;248.615478516;49;193.5319736;
175;14;129.704330444;244.035171509;55;216.800750732;17;93.5021209717;253.037139893;50;194.451865077;
176;14;130.014373779;245.02166748;54;218.084071159;17;95.5199966431;257.293060303;51;195.377819359;
177;15;131.293365479;245.009490967;52;232.046765327;17;97.5292129517;261.547424316;54;196.311962008;
178;15;131.542861938;248.998550415;49;233.985225677;17;99.5386047363;265.799560547;51;197.243678212;
179;15;132.764709473;252.988677979;48;235.794775009;17;102.548179626;267.799560547;51;198.162391245;
180;15;135.960968018;252.979827881;49;237.469361305;17;101.557937622;272.799560547;55;199.058153152;
181;15;136.133804321;257.971832275;49;238.919710636;17;103.667877197;274.799560547;55;199.92218101;
182;15;136.18951416;262.964660645;51;240.197588921;17;102.678009033;278.799560547;56;200.74727577;
183;15;139.185562134;265.958190918;46;241.360155106;17;103.688323975;283.799560547;44;201.528078914;
184;15;143.182006836;262.952362061;47;242.412302017;17;105.698822021;285.799560547;42;202.261152565;
185;15;144.17880249;266.947143555;41;243.360570908;17;105.709510803;290.685302734;34;199.922501385;
186;15;148.175918579;267.94241333;41;253.172901154;17;106.995384216;291.923522949;33;197.83986485;
187;15;151.117919922;273.420043945;41;261.449921608;17;106.353942871;296.168029785;35;195.987375557;
188;15;155.732818604;279.656738281;41;268.369462967;18;107.285247803;297.418518066;34;198.329613328;
189;15;159.613479614;287.939208984;45;274.007143974;18;108.85256958;298.674560547;39;200.375548303;
190;15;161.902618408;300.256378174;47;278.320215225;19;109.852615356;302.935760498;36;219.153020322;
191;15;161.693862915;309.670593262;50;281.148352623;19;113.274337769;306.201599121;37;223.622753561;
192;15;162.242218018;317.05657959;51;283.166414261;19;116.609275818;309.4715271;37;228.589425206;
193;15;163.427078247;320.82333374;51;284.786261559;19;118.154441833;315.94519043;38;232.901046515;
194;15;164.340911865;324.525482178;56;286.101180077;19;121.344108582;319.437744141;38;236.743498564;
195;15;165.01776123;328.165008545;51;287.122891426;20;123.55960083;323.947906494;35;241.093165874;
196;15;165.478347778;331.744659424;50;287.972888947;20;124.719818115;330.474060059;36;245.136169672;
197;15;165.841796875;335.267700195;53;288.736059189;20;128.874237061;332.014343262;38;247.848826826;
198;15;166.167922974;338.737701416;56;289.345211983;20;131.022384644;334.014343262;40;250.226390302;
199;15;166.406173706;342.158477783;57;289.5;20;131.163894653;342.014343262;40;252.342058241;
200;15;166.449996948;345.299987793;58;309.405000687;20;132.29850769;347.014343262;42;254.005303502;
201;15;173.453491211;350.319000244;58;326.071249962;20;134.426025391;349.014343262;45;255.544010639;
202;15;180.526077271;356.460449219;60;339.686656952;21;133.546386719;354.014343262;46;256.824276447;
203;15;186.673858643;361.061462402;61;350.629227638;21;136.659576416;357.014343262;48;258.083371282;
204;15;189.756408691;363.060241699;61;359.062340736;21;138.765655518;357.014343262;48;259.385519266;
205;15;189.154846191;369.571502686;60;365.250947952;21;136.864746094;366.014343262;50;260.73180294;
206;16;185.78894043;381.805664062;62;369.175403595;20;138.95703125;369.014343262;52;262.121677518;
207;16;183.168502808;391.620849609;63;371.900074005;20;142.042724609;367.014343262;53;263.55249393;
208;16;184.628341675;400.700012207;63;374.101015091;20;140.12210083;375.014343262;53;265.019094348;
209;16;186.058456421;409.700012207;64;375.672826767;20;142.19543457;380.014343262;56;268.261110902;
210;16;186.990234375;418.700012207;67;376.876773834;20;145.3125;382.014343262;56;283.544420362;
211;16;187.688537598;427.700012207;69;377.5;20;148.453384399;392.014343262;57;295.923547626;
212;16;188.050003052;434.0;70;380.5;20;153.315979004;401.850830078;58;306.48862505;
213;16;209.650009155;449.0;69;381.25;20;159.38885498;423.945739746;62;315.445091724;
214;16;205.425018311;463.0;68;382.159375191;20;164.301055908;442.419799805;63;322.728789449;
215;16;205.615936279;475.0;62;383.246902466;20;165.859909058;460.632171631;58;328.424994469;
216;17;205.724700928;486.0;64;384.525766373;20;166.699310303;475.310913086;60;332.941797018;
217;17;205.852600098;495.0;61;385.99936676;20;164.042739868;482.310577393;64;336.518703341;
218;17;205.999938965;504.0;64;387.656797409;20;165.296630859;486.996917725;65;339.469134569;
219;17;206.165679932;513.0;76;389.46909523;20;165.952255249;493.594390869;66;342.119545579;
220;17;206.346923828;522.0;76;391.387849808;20;168.103042603;500.015228271;63;344.507495046;
221;17;206.538787842;531.0;77;393.347723961;20;174.352706909;500.313781738;68;346.638408065;
222;17;206.734771729;538.399963379;59;398.273582458;20;180.543792725;501.48928833;59;348.370901823;
223;19;206.227386475;523.399963379;56;400.631182671;20;185.952682495;502.23538208;58;349.772601843;
224;20;212.463134766;519.399963379;50;402.896653175;20;188.995941162;502.622802734;53;351.07826376;
225;20;218.689666748;518.399963379;51;405.032985687;20;211.470214844;509.621917725;56;352.077406883;
226;20;215.903320312;518.399963379;49;407.024721146;20;208.012695312;515.733093262;54;353.041999578;
227;20;216.102478027;520.399963379;52;408.874716759;20;205.152038574;512.81072998;51;354.471246719;
228;20;219.287475586;520.299987793;63;410.597346783;20;203.338134766;518.576171875;55;387.580765486;
229;20;222.459747314;520.299987793;63;415.210918427;20;211.753326416;541.060791016;56;415.217762709;
230;20;215.860717773;526.299987793;66;420.211529255;20;220.68598938;562.712280273;53;437.308887482;
231;20;211.314819336;535.299987793;67;422.616034031;20;230.883895874;587.429321289;52;454.532060146;
232;20;211.926086426;541.299987793;67;424.860702038;20;238.855514526;612.240356445;54;467.280014992;
233;20;215.15057373;538.299987793;66;427.215146542;20;239.020935059;630.093261719;54;476.776614904;
234;20;221.521514893;537.299987793;66;429.65404892;21;239.233291626;647.934082031;54;483.618994713;
235;20;230.765411377;542.299987793;67;432.149796486;21;238.024154663;661.741577148;55;487.600560427;
236;20;240.014984131;551.900024414;66;434.67352438;21;242.071258545;680.302612305;55;491.146827936;
