Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
74;5;28.9812297821;39.8758277893;17;58.0654969215;5;30.0271987915;60.1800537109;14;59.7296221256;
75;5;28.9812297821;42.6158981323;14;58.1712887287;5;30.1339416504;60.5609321594;15;60.0561646223;
76;5;28.7955207825;45.5663108826;12;58.2858684063;5;30.1865596771;60.5999984741;15;60.3431966305;
77;5;28.5130081177;47.7926254272;13;58.4074857235;5;30.2391414642;60.5999984741;17;62.1779594421;
78;6;28.4889068604;46.8231811523;12;58.5345814228;6;30.3357620239;62.2313232422;14;63.6777166128;
79;6;28.4889068604;42.8231811523;12;58.6657812595;6;29.1375198364;63.8083648682;13;64.8984029293;
80;6;29.4889068604;41.8231811523;12;58.7998690605;6;30.369758606;63.2447929382;14;65.9007480145;
81;7;31.3975410461;39.4815101624;10;61.0946769714;6;29.2749328613;58.571647644;13;63.5375723839;
82;7;29.3728809357;43.3571853638;10;61.3360009193;6;29.1822967529;58.4346733093;13;63.3705816269;
83;7;32.3600730896;42.3334693909;10;61.5801098347;6;29.1000385284;58.3179702759;14;63.2369990349;
84;7;31.3456306458;45.312122345;10;61.826154232;6;29.0270404816;58.2195663452;15;63.0753426552;
85;7;29.3381710052;49.2929077148;12;62.0733635426;6;28.9449119568;60.0267486572;15;62.9412989616;
86;7;30.3288345337;51.0163726807;13;63.3210291862;6;28.8704223633;60.90259552;16;62.8340289593;
87;7;33.3204307556;50.9893836975;13;63.7295942307;6;28.8033790588;61.7908630371;16;62.7508163452;
88;7;31.3204307556;53.4252243042;14;64.1474106312;6;28.7430419922;62.6902999878;17;62.6891748905;
89;8;31.3204307556;56.4728507996;14;64.6152886152;6;28.6887397766;63.5997924805;17;62.6468269825;
90;8;31.0404052734;59.5195121765;14;65.1396496296;6;28.6398658752;64.5183334351;18;62.6216852665;
91;8;30.0404052734;60.1089935303;15;65.7273859978;6;28.5958786011;65.445022583;18;62.6118335724;
92;8;29.0404052734;62.2711410522;15;66.3855776787;6;28.5562896729;66.3790435791;18;62.6155130863;
93;8;29.0344276428;63.3297195435;16;67.1210639477;6;28.5206604004;67.3196640015;19;62.6311035156;
94;10;28.0328216553;64.3868026733;13;67.9398379326;5;28.4885940552;67.9155578613;19;62.6571185589;
95;10;27.0328216553;63.4423370361;13;69.8462767601;5;28.4597358704;67.9285583496;20;62.6921913624;
96;10;27.0328216553;64.4962692261;13;70.9422212839;5;28.4337615967;67.9460906982;20;62.7350649834;
97;10;27.0328216553;64.5485610962;14;71.7734615803;5;28.4103851318;67.9675369263;20;62.7845883369;
98;10;28.3204307556;65.5581817627;15;72.7260700464;5;28.3893470764;67.9922943115;21;62.8397026062;
99;10;28.3204307556;68.2741928101;16;73.7885847092;5;28.3704109192;68.0198516846;22;62.8994431496;
100;10;29.3204307556;71.1995315552;17;75.9459599257;5;28.3533706665;68.0497283936;24;62.9629311562;
101;10;30.3204307556;71.2341995239;18;77.2399573326;5;28.3380355835;68.0814666748;24;63.0293636322;
102;10;30.3204307556;74.1188354492;18;78.2589020729;5;28.3242301941;68.1146850586;24;63.0980153084;
103;10;29.6573200226;76.0118103027;19;79.345613122;5;28.3118057251;68.1490097046;21;63.1682314873;
104;10;29.6771183014;78.6753540039;19;80.4762980938;5;28.3006248474;68.1841125488;21;63.2394251823;
105;10;31.697845459;80.3766479492;19;82.6294523478;5;28.2905654907;68.2197113037;21;63.3110723495;
106;10;32.7195167542;84.2129898071;19;85.1101373434;6;28.2815055847;71.2634124756;21;63.3827052116;
107;10;35.7581100464;86.2304229736;20;87.6938637495;6;26.4733562469;73.3189849854;20;63.4539165497;
108;11;36.7998657227;88.2546386719;20;90.3782727718;6;26.4660205841;75.3737335205;21;63.5243473053;
109;11;36.8449440002;89.2178268433;20;93.1589448452;6;26.4594192505;77.4274291992;21;63.593688488;
110;11;34.8934707642;92.997543335;22;96.0257520676;6;27.4534759521;76.479927063;22;63.6616735458;
111;11;33.9455566406;90.9413986206;22;99.9594467878;6;26.4481296539;78.5310821533;15;63.7280812263;
112;11;35.0012969971;93.9589233398;22;102.989536285;6;26.4433174133;80.5807800293;15;64.7927246094;
113;11;36.6682510376;97.0298461914;22;105.386723757;6;27.4389839172;83.6289215088;16;65.0054539442;
