Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
82;10;55.4628295898;79.8548049927;22;113.750646949;8;28.3999996185;45.9044265747;17;40.0370976925;
83;10;55.5704116821;79.9854431152;24;114.275949121;8;29.2256469727;47.9027099609;17;40.3251068592;
84;10;56.6758155823;81.1100082397;24;114.785763025;8;29.0032081604;48.9491882324;17;40.6120679379;
85;10;55.7786941528;80.2284317017;25;115.279217243;8;29.8838996887;48.9706611633;18;40.8975379467;
86;11;55.8787765503;80.340713501;25;115.755614281;8;29.0394363403;50.9915237427;18;42.1575231552;
87;12;56.9757995605;84.0453186035;24;116.214425802;8;30.2991657257;53.0;18;42.419418335;
88;12;57.0695533752;85.1852416992;24;116.655289173;8;30.3999996185;56.1270751953;19;42.6799471378;
89;12;57.1598548889;86.3169250488;26;117.0779953;8;31.0948143005;57.5583229065;19;42.9386929274;
90;13;57.2465667725;87.440612793;25;117.482478619;8;32.0660629272;57.1622810364;21;43.1952539682;
91;13;57.329574585;88.5565643311;21;117.868805885;9;32.1021499634;58.2201309204;19;43.4492461681;
92;13;58.40883255;86.6650924683;21;118.15037775;9;30.3999996185;59.2769622803;19;43.7003065348;
93;13;57.4756164551;87.7057495117;22;119.720289469;9;32.1696586609;58.3326568604;20;43.9480931759;
94;13;57.771030426;89.3123016357;22;121.272896051;9;30.3999996185;61.3871154785;20;44.1922886372;
95;13;60.0029067993;85.4761657715;25;122.79347682;9;31.2070960999;62.168422699;20;44.4326012135;
96;13;58.3522796631;87.6375350952;25;124.268600464;9;31.3999996185;62.4919700623;21;44.6687651873;
97;13;58.6323165894;89.7956161499;25;125.686636209;9;31.2442951202;63.5422096252;21;44.9005423784;
98;13;59.9018211365;88.9496841431;25;127.038116455;9;32.2627487183;63.5909080505;21;45.1277213097;
99;13;60.1100502014;88.0990982056;26;129.315923691;9;30.3999996185;68.3692169189;22;45.350118041;
100;13;60.4012870789;91.2432861328;27;131.575309753;9;31.3999996185;68.4482116699;22;45.5675756931;
