Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
54;5;37.7660675049;46.2002983093;15;86.0275602341;6;31.3669967651;33.6171875;7;47.5905196667;
55;5;37.9624404907;46.1991500854;15;89.0286684036;6;31.8558883667;33.9937896729;7;49.1478819847;
56;5;38.6161384583;46.9067802429;15;91.5822629929;6;32.2868843079;34.2754020691;7;50.5634731054;
57;5;36.9442710876;48.4409370422;17;93.7536678314;6;32.6727905273;34.4822807312;8;51.610268712;
58;5;36.4736328125;49.837272644;17;95.3694868088;7;32.9454116821;34.5;7;53.6318016052;
59;5;36.6061172485;51.0113677979;17;96.5146303177;7;34.2077445984;35.5;8;54.7026236057;
60;5;34.6418418884;53.0960006714;18;97.2104845047;7;35.4700927734;36.5;9;55.7436578274;
61;5;33.6418418884;55.0960006714;19;97.8451356888;7;35.7203521729;37.5;9;56.6714487076;
62;6;32.6418418884;57.0960006714;18;98.4155225754;7;35.9334831238;38.5;9;57.6202677488;
63;6;31.6418418884;59.0960006714;18;98.9212799072;7;36.1497802734;39.5;10;58.5797783136;
64;6;31.6418418884;58.0960006714;19;99.3642864227;7;36.3661956787;40.1059188843;11;61.4790217876;
65;6;29.6418418884;60.0960006714;19;99.7481269836;8;37.1289367676;40.720993042;10;65.0244578123;
66;6;28.6418418884;60.0960006714;19;100.077528;8;38.7784957886;42.1859169006;10;67.3069041967;
67;6;29.6418418884;58.0960006714;19;100.357862473;8;40.3302192688;43.5317687988;10;69.2724394798;
68;6;28.6418418884;59.0960006714;20;100.59472847;8;40.779800415;44.7557601929;11;70.7924832106;
69;6;28.841840744;60.0960006714;22;100.737730026;8;41.0890312195;45.7972373962;12;72.2113695145;
70;6;29.841840744;61.0960006714;24;100.737730026;9;41.3617019653;46.8403320312;11;73.3885182142;
71;6;31.841840744;60.0960006714;22;100.737730026;9;41.5562744141;46.6059188843;11;74.5121029615;
72;6;31.841840744;62.0960006714;21;100.737730026;9;41.7299804688;47.6059188843;11;75.5795046091;
73;6;31.841840744;64.0960006714;21;100.737730026;9;41.8829193115;48.6059188843;12;76.5901401043;
74;6;32.8418426514;63.0960006714;21;100.737730026;9;42.0159111023;49.6059188843;12;78.5449084044;
75;6;31.841840744;65.0960006714;22;100.737730026;9;43.1302871704;51.6059188843;12;79.4856599569;
76;6;31.841840744;67.0960006714;22;100.737730026;10;44.2277145386;53.6059188843;11;81.3759508133;
77;6;32.8418426514;66.0960006714;23;100.737730026;10;45.3100128174;55.7521820068;11;82.2383601665;
78;6;31.841840744;68.0960006714;23;100.674816132;10;46.6318435669;57.7784729004;11;82.9336885214;
79;7;34.8418426514;72.0960006714;22;101.618192673;10;46.6626014709;59.8052787781;12;83.5492116213;
80;7;37.4918403625;73.0960006714;23;101.633028626;10;46.6726646423;60.832572937;11;84.1520773172;
81;7;36.2515335083;77.0960006714;23;101.656588912;10;44.4000015259;61.4614486694;10;84.740016222;
82;7;36.2577819824;78.0960006714;22;101.683647633;10;42.4000015259;60.4849815369;10;85.180124402;
83;7;35.4615249634;79.0960006714;23;101.718125105;11;40.1900024414;58.2849807739;9;84.8330289125;
84;8;35.464630127;83.6825866699;22;102.759667635;11;39.6819992065;61.1049804688;10;86.0783563256;
85;9;37.4713783264;84.0960006714;19;113.417320848;10;39.8469467163;57.5473213196;10;76.1713915467;
86;9;38.570098877;86.7531280518;23;114.660264373;10;37.9099998474;60.6524085999;10;76.4582244158;
87;9;38.666934967;92.1267547607;23;114.969834924;10;36.9099998474;63.6524085999;10;76.7160199285;
88;9;40.6746749878;94.1323699951;21;115.276618719;10;37.9099998474;62.1273880005;10;77.0102729797;
89;9;40.8041381836;94.8713989258;23;115.582799792;11;38.9099998474;62.1656036377;10;77.3397390842;
90;10;39.832988739;98.6884994507;24;115.888631344;12;39.9099998474;62.2044715881;9;77.7032325268;
91;11;40.86328125;97.883682251;23;116.1945436;12;40.448677063;62.2439727783;9;78.0995590687;
92;11;40.8902664185;97.9011688232;24;116.501080155;12;40.41381073;62.2840652466;10;78.5274546146;
93;11;40.9187965393;98.8728561401;29;116.756724;12;40.3824310303;62.3247108459;9;78.9855251312;
94;12;40.9432907104;98.9564056396;26;121.340262413;11;38.3541870117;57.3658790588;9;74.9693636894;
95;12;40.9592971802;105.875816345;25;121.665389776;11;38.3287658691;57.4075202942;9;76.3703246117;
96;13;41.9778862;111.040397644;25;123.002796888;11;39.3058929443;58.4495925903;9;76.8382774591;
97;14;43.2993278503;117.211250305;25;123.391491413;11;40.2853012085;59.4920578003;10;77.3321285248;
98;15;45.3315238953;119.567756653;24;138.997036695;10;33.5999984741;55.5348548889;11;62.6369433403;
99;15;45.4412155151;123.997497559;24;139.034998655;10;33.5999984741;56.6393356323;12;63.5323089361;
100;15;47.4555625916;127.093322754;29;139.117928386;11;33.5999984741;57.7484855652;12;64.459318161;
