Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
24;2;28.0866832733;10.625;5;23.5841217041;1;19.5;12.5;7;25.0;
25;2;26.75;11.625;5;23.6930289268;1;19.5;12.5;7;25.0;
26;2;26.75;11.8465147018;5;23.8043570518;1;19.5;12.5;7;25.0;
27;2;26.75;11.9021787643;5;23.917914629;1;19.5;12.5;7;25.0;
28;2;26.75;11.9589576721;5;24.0334908962;1;19.5;12.5;7;25.0;
29;2;26.75;12.0167455673;5;24.1508569717;1;19.5;12.5;7;25.0;
30;2;26.75;12.075428009;6;24.2697672844;1;17.5;13.5;7;25.0;
31;3;26.75;12.1348838806;5;24.3899610043;1;16.5;14.5;7;25.0;
32;3;26.75;12.1949806213;6;24.5111646652;1;15.5;15.5;7;25.0;
33;3;26.75;12.2555828094;6;24.6330943108;1;14.5;16.5;7;25.0;
34;3;26.75;12.3165473938;6;24.7554576397;1;13.5;17.5;8;25.0;
