Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
23;2;27.879529953;10.625;6;23.2100640535;2;22.5;12.5;6;28.6751992702;
24;2;27.9260387421;10.625;6;23.2892494202;2;22.6025600433;12.5;6;28.907648325;
25;3;27.9735488892;10.625;5;23.370018959;2;22.6722946167;12.5;7;29.1457161903;
26;3;28.0220108032;10.625;5;23.4522752762;3;22.7437152863;12.5;6;29.3884181976;
27;3;28.0713653564;10.625;5;23.5359115601;3;22.8165245056;12.5;6;29.634677887;
28;3;28.121547699;10.625;5;23.6208124161;3;22.8904037476;12.5;6;29.8833432198;
29;3;28.1724872589;10.625;5;23.7068536282;3;22.9650039673;12.5;6;30.1332073212;
30;3;28.224111557;10.625;5;23.7939035892;3;23.0399627686;12.5;6;30.3830299377;
31;3;28.276342392;10.625;5;23.8818233013;3;23.1149101257;12.5;6;30.6315627098;
32;3;28.3290939331;10.625;5;23.9704678059;3;23.1894683838;12.5;6;30.877573967;
33;3;28.3822803497;10.625;5;24.0596864223;3;23.2632713318;12.5;6;31.11987257;
34;3;28.4358119965;12.625;6;24.1493241787;3;23.3359622955;12.5;5;31.3573312759;
35;3;28.4895935059;14.625;6;24.239222765;3;23.4071998596;12.5;5;31.5889077187;
36;3;28.5435333252;16.625;6;24.329221487;3;21.5;13.5;5;31.8136615753;
37;3;28.5975322723;18.625;6;24.4191586971;3;21.5;14.5;5;32.0307679176;
38;3;28.6514949799;20.625;6;24.508872509;3;21.5;15.5;5;32.2395277023;
39;3;28.705324173;20.625;6;24.598202467;3;22.5;13.5;5;32.4393730164;
40;3;28.7589225769;20.625;7;25.6869900227;3;23.5;12.5;6;32.6298675537;
41;3;29.8121948242;21.625;7;25.8250803947;3;23.7889595032;12.5;6;32.8107056618;
42;3;30.8650474548;22.625;8;25.9642982483;3;23.8432121277;14.5;6;32.9817051888;
43;3;31.578578949;23.625;8;26.104523778;3;23.8945121765;16.5;6;33.1427993774;
44;3;31.6627140045;24.625;8;26.2456384897;3;23.9428405762;18.5;6;33.2940273285;
45;3;31.7473831177;25.625;8;26.3875253201;3;23.9882087708;20.5;7;33.4355211258;
46;3;31.8325157166;25.625;9;26.5300688744;3;24.0306568146;22.5;7;34.5674934387;
