Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
43;4;22.7174224854;30.4423942566;8;39.8558222055;2;12.0;31.0200004578;16;34.0400009155;
44;4;23.8351192474;32.4423942566;10;40.1554293633;2;13.0;29.0200004578;17;34.0400009155;
45;4;24.9699440002;32.7000007629;10;40.4969480038;3;14.0;28.0200004578;13;54.0400009155;
46;4;26.123626709;32.7000007629;10;40.8840510845;3;16.0;28.0200004578;14;55.2400016785;
47;4;27.2978229523;32.7000007629;10;41.3200027943;3;18.0;28.0200004578;15;56.2576007843;
48;4;28.4940013885;32.7000007629;11;41.8073790073;3;20.0;27.7982406616;15;57.0979595184;
49;5;28.9633197784;32.7000007629;10;43.3477458954;3;22.0;26.7142047882;16;57.7763347626;
50;5;30.2064857483;33.7000007629;10;43.9913113117;3;24.0;25.6463661194;16;58.3136463165;
51;5;31.4735908508;34.7000007629;11;44.6885566711;3;26.0;24.5926361084;16;58.7326946259;
52;5;31.763961792;35.7000007629;11;45.4360173941;3;28.0;24.5507316589;17;59.0400009155;
53;5;32.0760307312;36.7000007629;12;46.2280317545;3;28.8157997131;24.5200004578;17;59.0400009155;
54;6;32.4072380066;37.7000007629;12;47.0567011833;3;28.8157997131;24.5200004578;18;59.0400009155;
55;6;34.3255157471;35.7000007629;12;47.912050724;3;28.8157997131;24.5200004578;18;59.0400009155;
56;6;35.7104225159;34.7000007629;13;48.7824164629;3;28.8157997131;24.5200004578;18;59.0400009155;
57;6;37.1020889282;33.7000007629;14;49.6550422907;3;28.8157997131;24.5200004578;19;59.0400009155;
58;6;38.49477005;32.7000007629;14;50.5168427229;3;28.8157997131;24.5200004578;19;59.0400009155;
59;7;39.8825759888;32.5;13;51.3552364111;3;28.8157997131;24.5200004578;19;59.0400009155;
60;7;41.1098556519;32.5;13;52.1589436531;4;28.8157997131;24.5200004578;19;59.0400009155;
61;7;41.4715232849;32.5;14;52.9186372757;4;28.8157997131;24.5200004578;19;59.0400009155;
62;7;41.8133850098;32.5;14;56.4649311304;4;26.8157997131;25.5200004578;20;59.0400009155;
