Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
44;6;17.1627655029;21.5;4;28.936971426;4;33.2000007629;27.5;5;28.0900000334;
45;6;17.8810920715;20.1000003815;4;28.9975619316;4;34.2000007629;29.5;5;28.1871190071;
46;6;18.899269104;21.1000003815;4;29.0575861931;4;34.9122695923;30.5;5;28.2917383909;
47;6;19.9172763824;22.1000003815;5;29.1169772148;4;34.9750404358;31.5;6;28.4042263031;
48;6;20.0;24.1000003815;5;29.1756706238;4;35.0425338745;32.5;6;28.5249304771;
49;6;21.0;26.1000003815;6;29.2336053848;4;35.1149559021;32.5;7;28.6541694403;
50;6;22.0;28.1000003815;6;29.2907235622;4;35.1925010681;32.5;8;28.7922235727;
51;6;23.0;29.1000003815;7;29.346971035;4;35.2753334045;32.5;10;28.9393253326;
52;6;23.5;29.4387893677;7;29.4022974968;4;35.3635940552;32.5;10;30.1550412178;
53;6;23.5;29.4609203339;9;29.4566559792;4;36.0930213928;33.0;10;31.1633543968;
54;6;24.5;28.1000003815;9;29.5100040436;4;36.6980133057;33.3899993896;10;31.9989323616;
55;8;23.5;29.1000003815;7;44.5623030663;4;37.1993598938;33.6872596741;10;32.697732687;
56;8;24.5;29.1000003815;8;45.3635182381;4;37.618637085;33.9097442627;10;33.1447296143;
57;8;25.5;31.1000003815;8;46.0829935074;4;37.8868331909;34.0;10;33.423571825;
58;8;27.5;31.1000003815;8;46.7198688984;4;38.0541419983;34.0;10;33.7143070698;
59;8;28.6137733459;32.0999984741;8;47.2766451836;4;38.2285842896;34.0;10;34.0162780285;
60;8;26.5;35.0999984741;8;47.7583165169;4;38.4097671509;34.0;11;34.3286304474;
61;9;26.5;36.622795105;5;64.1714978218;4;38.5971755981;34.0;12;34.6503140926;
62;9;30.5;36.6409606934;5;65.333635807;4;38.7901916504;34.0;12;34.9800884724;
63;9;35.088104248;37.0999984741;5;66.3647136688;5;38.9880485535;34.0;11;35.3165378571;
64;9;36.3467102051;39.0999984741;5;67.1776384115;5;37.0141716003;34.0;11;35.6580917835;
65;9;36.3944168091;41.0999984741;6;67.7743215561;5;36.3279762268;34.0;12;36.0030546188;
66;9;36.4000015259;43.0999984741;7;68.2816148996;5;32.7999992371;36.2953033447;12;36.349640131;
67;9;36.4000015259;44.0999984741;7;68.724801898;5;33.7999992371;36.3173828125;12;36.6960113049;
68;9;36.4000015259;45.6622848511;8;69.1113696098;5;31.7999992371;38.3395462036;13;37.0403244495;
69;10;36.8453063965;46.0999984741;8;69.4489861727;5;32.7999992371;38.3617935181;12;37.380771637;
70;10;36.8698692322;47.0999984741;8;71.8953608274;5;34.7999992371;36.3841018677;12;38.7156250477;
71;10;36.9069976807;48.6119995117;9;73.9412827492;5;32.7999992371;39.406463623;12;39.2432746887;
72;10;37.3192634583;50.0141143799;10;75.6424821615;5;34.7999992371;40.4288787842;13;39.7998636961;
73;10;37.65026474;51.3236083984;10;77.0576153994;5;36.7999992371;39.4513244629;13;40.3901449442;
74;10;37.9141159058;52.5584335327;10;78.0793004036;5;33.7999992371;42.4738006592;13;41.019592762;
75;10;38.0751838684;53.6611366272;11;79.4478558302;5;34.7999992371;43.4962997437;13;41.6942651272;
76;11;37.6999969482;56.6736869812;10;79.9473105669;5;35.7999992371;44.5187988281;14;42.4205503464;
77;11;37.6999969482;58.6863327026;10;82.1866323948;5;34.7999992371;43.5412902832;14;43.2047903538;
78;11;37.2157592773;61.4127998352;11;84.1461942196;5;34.7999992371;43.5637741089;15;44.052741766;
79;11;36.2907524109;63.4399719238;11;85.8849401474;6;35.7999992371;44.5862350464;14;44.9688975811;
80;11;36.6999969482;67.3562316895;12;87.4657971859;6;34.7999992371;43.6086578369;14;45.9556679726;
81;11;37.6999969482;71.6322479248;12;88.7740011215;6;34.7999992371;43.6310424805;14;47.0125048161;
82;11;38.6999969482;73.7399749756;12;90.9291390181;6;32.7999992371;46.3147201538;14;48.1350595951;
83;11;37.6999969482;78.7399749756;13;93.1736767292;6;31.7999992371;48.3458938599;15;49.3145463467;
84;12;40.6999969482;82.7399749756;12;94.5036758184;6;30.7999992371;50.3769607544;15;50.5374774933;
85;12;40.6999969482;84.9173736572;14;95.8835904598;6;30.7999992371;49.407913208;15;51.7859530449;
86;13;40.6999969482;87.94921875;14;97.3057094812;6;28.7999992371;51.4387359619;16;53.0045850277;
87;13;41.6999969482;91.8509140015;14;98.7608777285;7;27.7999992371;53.4694137573;15;54.1411499977;
88;13;40.6999969482;92.9650497437;14;100.238712549;7;27.7999992371;52.4999389648;15;55.2441768646;
89;13;40.6999969482;96.0760421753;15;101.727887154;7;25.7999992371;54.5302963257;15;56.291851759;
90;13;41.6999969482;100.183731079;14;104.21647954;7;27.7999992371;52.0;15;57.2662858963;
91;13;44.6999969482;102.288002014;14;105.712343574;7;28.0203933716;53.0;16;58.1547250748;
92;14;45.6999969482;107.388771057;14;108.183696151;8;28.0459213257;54.0;15;58.9500017166;
93;14;46.9000015259;113.148765564;14;109.679098368;8;28.0712623596;55.0;16;59.6502537727;
94;14;48.9000015259;114.922966003;15;111.130975246;8;28.0964126587;57.0;16;60.2580828667;
95;14;48.2368927002;119.048873901;17;112.530080676;8;28.3213615417;59.0;17;60.9341788292;
96;14;48.256690979;123.171829224;17;113.86864841;8;27.438949585;59.0;17;61.5381588936;
97;14;50.2774162292;122.24520874;17;115.140589952;8;25.0;62.0;17;62.0789475441;
98;16;50.2990875244;124.319236755;15;117.341612697;8;27.0;61.0;17;62.5656447411;
99;16;53.0145187378;121.393829346;16;118.431315184;8;25.0;64.0;18;63.9058647156;
100;16;55.0453033447;121.455581665;17;122.675973773;8;28.0;64.0;18;65.188937664;
