Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
36;4;17.3655929565;19.5;4;36.8154029846;3;23.5436840057;12.5;5;32.0294346809;
37;4;17.3655929565;19.5;4;38.0735216141;3;23.6088294983;12.5;5;32.2382488251;
38;4;17.3655929565;18.8999996185;5;38.3561151028;3;21.6088294983;13.5;5;33.4381513596;
39;4;18.3655929565;19.5;5;38.6165413857;3;22.5;15.0;5;33.6687054634;
40;4;19.3655929565;20.9407901764;5;39.8564122915;3;23.5;15.5;5;33.8907885551;
41;4;18.7123775482;22.8999996185;6;40.1074546576;3;23.5;16.945394516;5;34.1042191982;
42;4;19.3655929565;22.3967781067;6;40.3305642605;3;24.8370666504;19.945394516;5;34.3089293242;
43;4;19.3655929565;21.432226181;7;40.4218094349;3;25.8501319885;22.0405921936;5;34.5049532652;
44;5;19.3990135193;22.432226181;6;40.5156730413;3;26.3514862061;24.0405921936;6;34.6924135685;
45;5;20.0;24.432226181;6;40.612139225;3;26.4077243805;26.0405921936;6;34.8715121746;
46;5;21.4368915558;27.432226181;7;40.7111830711;3;24.0303993225;29.0405921936;6;35.0425140858;
47;5;22.3566131592;30.432226181;9;40.8127702475;3;23.9059104919;29.5;7;35.2057360411;
48;5;23.3666381836;33.0079879761;9;40.9168565273;3;23.5;31.2011871338;7;35.3615330458;
49;5;24.3768234253;34.16431427;10;41.0233871937;3;23.5;32.2264137268;8;35.5043625832;
50;5;25.3871631622;35.1931381226;10;41.132297039;3;23.9513092041;32.0;8;35.5569496155;
51;5;25.8976516724;36.2227172852;11;41.2435101271;3;23.5;32.7784729004;8;35.6105561256;
52;5;25.9082870483;37.2530212402;13;41.356939435;3;23.983165741;32.0;8;35.6651450396;
53;6;25.5;38.8427734375;12;41.4724872112;3;23.5;32.832572937;9;35.72067523;
54;6;27.1117744446;36.0732955933;11;41.5900444984;4;22.75;32.4315109253;7;50.7771017551;
55;6;25.5;37.9360198975;14;41.7094920874;4;21.75;33.6399993896;7;51.5843759775;
56;6;26.6128482819;37.5;14;41.8307000399;4;22.75;34.4838104248;8;52.311819911;
57;6;26.9634361267;36.4143638611;15;41.9535287619;5;22.75;35.5105247498;8;52.9585441351;
58;6;25.5;38.081413269;15;42.0778287649;5;20.75;36.9392700195;8;53.527012825;
59;6;25.9862918854;38.4827423096;11;43.2034420967;5;20.75;39.8133163452;8;54.0221757889;
