Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
36;4;17.0;20.8864192963;6;28.5738489628;3;21.320318222;16.5;6;38.0406057835;
37;4;16.0;21.9295406342;6;28.6830790043;3;20.4121818542;17.5;6;37.8211458921;
38;4;16.0;22.9732322693;6;29.7936460972;3;19.4995937347;19.077917099;6;37.626368165;
39;4;18.0;21.4174575806;6;29.9454554319;3;18.4995937347;18.0943546295;6;37.773481369;
40;4;18.0;22.4781837463;6;30.0995916128;3;18.8662319183;17.5;6;38.2105457783;
41;5;18.0;23.5398368835;5;30.2559525967;3;19.87641716;18.5;7;37.9895441532;
42;5;19.0;20.1017456055;5;30.4144295454;3;18.7367553711;17.5;7;38.2346199155;
43;5;18.0;22.5896224976;6;30.5749076605;3;20.4995937347;20.5;8;38.456975162;
44;5;18.0;23.7299633026;6;30.7372654676;3;22.752161026;22.5;7;38.6582714319;
45;5;19.0;21.7949066162;6;30.9013755322;3;21.4995937347;24.5;7;38.8402513266;
46;5;20.8627662659;23.7949066162;6;31.067104578;3;23.7682971954;26.5;8;38.9234826565;
47;5;22.8201332092;25.7949066162;6;31.2343139648;4;22.4995937347;28.5;7;38.4518937469;
48;5;22.899269104;28.7949066162;7;32.4028599262;4;24.785161972;27.5;8;38.6684084535;
49;5;25.4850101471;32.6691589355;7;32.6325939894;4;23.5;28.9904537201;8;38.3645459414;
50;5;26.935092926;35.6691589355;8;32.8663272858;4;24.6531562805;27.5;8;38.5283375382;
51;5;27.336889267;37.9270782471;9;33.103971839;4;23.5;28.7641677856;8;38.046679616;
52;5;28.6044235229;37.7934417725;11;33.3454281092;4;23.5140037537;29.5;8;38.0485250093;
53;5;27.8774147034;40.3349494934;11;33.5905846357;4;23.5145568848;30.5;7;37.5504424646;
54;5;27.5;40.9362335205;11;33.8393164873;4;24.5;28.525220871;6;38.2399347201;
55;5;29.0331306458;38.9639663696;12;34.0914846659;4;24.3500003815;30.2762184143;5;38.8060278706;
56;5;29.6771316528;38.2337493896;12;34.3469357491;4;25.4602508545;32.4337501526;5;39.1172460727;
57;5;28.5376014709;39.4513053894;13;34.6055003405;4;25.5;34.5;6;39.1506553143;
58;5;28.5;39.9172821045;13;34.8669933081;4;25.5;36.5;6;39.1847273596;
59;6;28.772819519;39.3042984009;13;35.1312121153;4;25.5;38.5;6;39.2194560543;
60;6;27.5;38.5;14;35.3979372978;4;26.5;37.0779190063;7;39.2548342869;
61;6;28.5;40.1741447449;14;35.6669313908;5;25.5;38.0943527222;8;39.2908536345;
62;6;28.628112793;40.2626228333;15;35.9379394054;5;25.5;39.1110649109;8;39.3275046051;
63;6;27.5;41.3523788452;15;36.2106881142;5;26.5214290619;37.128036499;8;39.3647765145;
64;6;29.1948299408;39.516872406;15;36.4848868847;5;25.5;38.1823883057;9;39.4026575014;
65;6;30.2319889069;38.4513053894;15;37.7602274418;5;25.5231437683;39.1627540588;10;39.4411345124;
66;6;30.4147911072;40.4762458801;15;38.0863859653;6;26.5240516663;37.180480957;9;39.480193451;
67;6;32.3446083069;40.5;16;38.3930552006;6;25.5;38.1984367371;9;39.5198191628;
68;6;32.4176521301;41.5;15;38.6844545603;6;25.5259742737;39.2166175842;10;39.5599952042;
69;6;30.7000007629;44.5512161255;16;40.3597633839;6;26.5269908905;37.2350120544;11;41.0063046515;
70;6;33.7339401245;43.0;16;41.8342661858;6;27.8283157349;36.7609596252;11;42.1933479011;
71;6;33.1714553833;45.0616378784;17;43.1413826942;6;29.0637054443;36.1774253845;11;43.1572425663;
72;6;32.4124984741;46.81224823;19;44.3157314062;6;30.2123565674;35.5535888672;12;43.9361731485;
73;6;33.6164703369;46.1292762756;19;45.2408699989;6;30.6430530548;34.8060722351;12;44.4179206043;
