Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
77;4;18.5999984741;41.7028579712;11;44.484351635;7;33.7029151917;52.6257171631;14;56.9741228819;
78;4;17.5999984741;43.7421760559;12;44.5662232637;7;33.9466743469;54.6366577148;15;57.9694576263;
79;4;18.5999984741;44.7028579712;12;44.6513283253;7;34.1510276794;56.6476516724;15;58.6585832834;
80;4;19.5999984741;44.7028579712;9;44.7396525145;7;35.2000007629;55.6586914062;14;58.988599658;
81;4;20.5999984741;44.7028579712;9;44.8311642408;7;34.2000007629;57.6697769165;14;59.2222527266;
82;5;21.5999984741;44.7028579712;9;44.9258141518;7;35.2000007629;57.6697769165;14;59.3841004372;
83;5;22.5999984741;44.7028579712;9;45.0235335827;7;36.2000007629;58.6697769165;15;59.4064661264;
84;5;23.5999984741;44.7028579712;10;45.1242339611;8;37.2000007629;59.6697769165;14;59.428878665;
85;5;24.5999984741;44.7028579712;10;45.2278065681;8;37.8000030518;60.6697769165;14;59.4513280392;
86;5;25.5999984741;44.7028579712;9;45.3341217041;8;37.8000030518;61.6697769165;16;59.4738043547;
87;5;26.5999984741;45.7028579712;9;45.4430289268;8;35.8000030518;63.7369003296;16;59.4962974787;
88;5;27.5999984741;46.2215156555;10;45.5543570518;8;34.8000030518;65.7481536865;16;59.5187973976;
89;5;28.5999984741;46.277179718;10;46.667914629;8;34.2000007629;67.7593994141;16;59.5412938595;
90;5;29.5999984741;47.3339576721;10;46.843490839;8;34.2000007629;69.7706451416;16;60.5637768507;
91;5;30.5999984741;48.391746521;10;47.0238208771;8;35.2000007629;72.7818908691;16;60.646236062;
92;5;30.5999984741;49.450428009;12;47.2087281942;8;36.2000007629;75.7931213379;16;60.7316256762;
93;5;30.5999984741;50.5098838806;12;47.3980128765;8;36.2000007629;78.8043289185;17;60.8200045824;
94;5;29.5999984741;52.1979751587;12;47.5914531946;8;36.2000007629;81.8155212402;19;60.9114238024;
95;5;29.5999984741;53.2828140259;12;47.7888063192;8;38.2000007629;78.8266906738;19;61.0059251785;
96;5;29.5999984741;54.3681640625;14;47.9898092747;8;36.2000007629;81.5029602051;19;61.1035401821;
