Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
231;21;235.779418945;535.792785645;77;442.102844238;24;212.463867188;644.600036621;99;463.889040947;
232;21;235.619735718;536.261169434;78;442.326105118;24;212.588912964;647.600036621;104;465.163344383;
233;21;238.855148315;533.885620117;80;442.571029663;24;212.71635437;650.600036621;104;466.466603279;
234;21;232.898178101;533.504882812;84;442.828527451;24;212.846664429;653.600036621;106;467.801729679;
235;21;226.940597534;533.110351562;87;443.090498924;24;214.980178833;656.600036621;107;469.167854309;
236;21;224.81652832;532.694580078;87;443.350000381;24;214.716796875;659.740356445;113;470.558979034;
237;21;223.855331421;530.330444336;88;443.601314545;24;210.827560425;665.180297852;114;471.963303566;
238;21;222.891998291;525.420593262;88;443.839995384;25;210.744186401;670.696350098;114;473.275528908;
239;21;221.926269531;520.885986328;91;444.062805176;25;218.464309692;676.258239746;116;474.484769821;
240;21;220.957870483;516.315307617;94;444.267638206;25;224.585235596;684.430297852;119;475.672724724;
241;21;220.046401978;511.707305908;94;444.453367233;25;239.704040527;674.974609375;120;476.811289787;
242;21;225.870315552;507.061859131;95;444.619682312;25;247.817886353;667.454772949;121;477.876030922;
243;21;234.891769409;505.630157471;96;444.766922951;25;255.924362183;659.838928223;123;478.848274231;
244;21;241.620452881;505.904083252;96;444.895917892;25;262.52154541;658.102844238;126;482.716251373;
245;21;247.599761963;506.146087646;96;445.007831573;25;269.90838623;663.231201172;126;484.135170221;
246;21;253.580764771;506.358428955;97;445.104044914;25;275.050231934;668.217773438;127;485.56743288;
247;21;259.563232422;506.543640137;97;445.117650986;25;278.456726074;673.06439209;130;487.030083179;
248;21;265.540130615;506.615509033;98;445.055885315;27;282.602966309;677.778869629;132;488.539210796;
249;21;271.363433838;506.58392334;98;445.000296593;27;290.75390625;682.373352051;134;490.106167793;
250;21;274.3253479;506.555541992;98;444.950267792;27;299.910614014;686.861938477;136;491.734048843;
251;21;277.29107666;506.530029297;100;444.905239105;27;309.073394775;692.659362793;139;493.35344696;
252;21;280.260253906;506.506988525;100;444.864713669;27;318.235351562;701.35949707;142;494.869870186;
253;21;283.23248291;506.486328125;100;444.828239441;27;327.386993408;706.530822754;144;496.428399086;
254;21;286.207550049;506.467651367;96;444.795415878;27;336.542816162;708.556945801;145;500.982279778;
255;21;289.185058594;506.450927734;96;444.765873909;27;347.998199463;707.576965332;147;505.693161964;
256;21;292.164794922;506.435791016;96;444.73928833;27;359.469299316;710.528076172;150;507.884965658;
257;21;295.146636963;506.422241211;97;444.715359688;27;366.688476562;713.353088379;151;510.040504456;
258;21;298.130279541;506.409973145;99;444.693822861;27;372.904022217;716.007080078;152;512.14279604;
259;21;301.115478516;506.399017334;99;444.674436569;27;379.114257812;718.461853027;155;514.185357094;
260;21;304.102203369;506.389068604;100;444.656996727;27;385.318511963;718.066101074;157;516.506761312;
261;21;307.090301514;506.380187988;99;444.641295433;27;391.55065918;717.858764648;153;518.806230307;
262;21;310.079528809;506.372161865;99;444.627166748;27;397.780639648;718.648132324;154;521.086038828;
263;21;313.069854736;506.364959717;98;444.614451408;27;403.258605957;721.611816406;151;523.343272686;
264;21;316.061187744;506.358428955;100;444.603009224;27;406.484313965;724.546264648;154;525.568146229;
265;21;328.06048584;534.957641602;100;444.592708588;27;409.706817627;727.438598633;155;527.541142225;
266;21;334.059906006;572.556762695;103;444.583436012;27;412.904083252;730.003479004;157;529.453932524;
267;21;343.059356689;595.955749512;104;444.575092316;27;416.095397949;776.502075195;161;531.318368435;
268;21;352.058837891;604.35357666;105;444.567586899;27;419.281829834;802.777526855;163;533.101712942;
269;21;361.058410645;610.351623535;105;444.560830116;27;422.460174561;815.652587891;165;534.7771523;
270;21;369.550415039;613.339416504;106;444.55474472;27;425.627716064;824.165710449;161;536.3253479;
271;21;375.548187256;613.335510254;106;444.549272537;27;428.782501221;827.688049316;164;537.734867096;
272;21;381.546203613;613.33190918;107;444.544343948;27;431.923492432;829.802307129;166;539.00163126;
273;21;385.271972656;613.328735352;107;444.539905548;27;435.050170898;831.702392578;166;540.12767458;
