Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
117;13;51.5810585022;161.0;25;151.156399727;18;70.7512741089;181.676010132;37;215.845439553;
118;13;54.7138595581;162.0;26;153.88680315;18;73.8848571777;177.691329956;38;217.14438045;
119;13;57.2324981689;163.0;27;156.265006542;18;76.8848571777;181.706710815;38;218.430082321;
120;13;60.6064758301;161.0;29;158.669862509;18;82.8848571777;182.722167969;41;219.706944823;
121;13;61.8120574951;162.0;29;161.077500463;18;88.2775802612;180.737686157;41;220.979736567;
122;13;63.5863189697;165.0;30;163.466768384;18;88.9734649658;184.753250122;42;222.253325939;
123;13;63.9302177429;163.0;30;165.819858432;18;92.374458313;185.768875122;43;223.386750817;
124;13;63.1764564514;164.0;31;168.12210083;18;95.7653808594;183.78453064;45;224.537758231;
125;13;63.5822601318;165.0;32;170.361081719;18;97.145111084;189.800216675;48;225.723604918;
126;14;64.8871078491;162.0;33;172.525443196;18;100.512649536;192.815933228;50;226.944177508;
127;14;64.1763153076;163.0;33;174.603803873;18;103.867149353;190.831665039;52;228.198619485;
128;14;64.3993377686;163.0;37;176.584202409;18;103.444015503;195.847412109;53;229.48509407;
129;14;65.7043991089;160.0;38;178.454255819;18;105.982040405;197.86315918;54;230.800554991;
130;14;64.9417877197;160.0;39;180.202017784;18;108.509155273;196.433258057;55;232.140547156;
131;14;66.1605377197;162.0;39;181.757104158;18;107.573928833;199.952728271;55;233.499074578;
132;14;66.3542175293;159.0;40;183.986571074;18;110.074951172;200.29095459;56;234.868566155;
133;14;65.4986572266;163.0;41;185.115039706;18;112.560928345;197.64503479;58;236.239971399;
134;14;66.6025009155;166.370742798;42;186.158987284;18;111.030654907;200.313110352;58;237.534544587;
135;14;69.0533218384;163.480484009;43;187.116068482;18;112.433418274;203.337677002;58;238.80293262;
136;15;67.1699523926;166.592590332;44;187.988512993;18;113.813049316;206.362167358;60;240.045812011;
137;16;67.9988479614;166.706848145;43;188.782001734;18;115.177581787;209.386581421;62;241.251727104;
138;16;70.0782012939;162.823059082;44;189.504462838;18;116.526153564;212.410903931;62;242.410097361;
139;16;70.1504516602;166.940979004;45;190.164968133;18;117.858146667;211.783508301;62;243.460926414;
140;16;72.2164993286;171.06036377;46;190.772851706;18;120.136230469;212.81199646;63;244.422142744;
141;16;76.2772903442;169.180923462;45;191.262207031;18;122.378448486;214.321380615;65;245.298248768;
142;16;76.3262176514;173.302398682;45;192.605213404;18;124.591720581;216.349563599;65;246.050021052;
143;16;79.9605255127;178.424514771;46;194.045810103;18;127.610305786;219.377578735;66;246.738907337;
144;16;86.9955825806;178.252365112;47;194.567121148;18;130.094223022;222.405426025;67;247.365124226;
145;16;89.6477127075;180.503829956;48;195.084455371;18;131.532806396;225.433074951;68;247.93039465;
146;16;92.8084487915;183.761413574;50;195.625424027;18;132.927307129;228.460540771;69;248.437601328;
147;16;94.8625335693;183.024612427;51;196.190051794;18;133.279846191;226.887771606;69;248.89044261;
148;16;95.9189987183;185.29284668;52;196.778200269;18;132.593078613;227.914794922;70;249.293115973;
149;16;98.9778213501;188.565505981;54;197.389550447;18;133.870071411;229.941589355;70;249.650056601;
150;16;100.038963318;187.841812134;55;198.023589969;18;132.114044189;228.968154907;70;249.90106082;
151;16;100.090705872;192.004440308;55;198.679597616;18;128.281356812;233.99446106;70;250.0;
152;16;100.16796875;196.171035767;56;199.356635571;18;126.349998474;239.0;71;250.640000343;
153;16;102.211402893;195.171035767;58;200.053540707;18;126.784996033;238.052001953;71;251.252384424;
154;16;100.305351257;202.171035767;59;200.768922091;18;123.199989319;243.103973389;73;251.831679583;
155;16;102.366149902;205.529525757;61;201.501161337;18;121.591026306;248.155883789;76;252.373764515;
156;16;102.450119019;210.262084961;62;202.248417377;18;121.95513916;247.207702637;76;252.875932455;
157;16;104.499862671;211.618103027;64;203.00863409;18;119.290397644;252.259368896;76;253.336845636;
158;16;105.590988159;212.989700317;64;203.779556751;18;118.595848083;257.310852051;80;253.756406546;
159;16;105.677955627;218.375976562;65;204.558748245;18;119.871444702;256.362121582;79;254.135561228;
160;16;104.755874634;222.199249268;66;205.343612671;18;117.117897034;261.413085938;81;254.476085186;
161;16;105.834365845;226.70324707;67;206.131423235;18;116.336509705;266.463806152;82;254.780351639;
162;16;106.913154602;231.220565796;68;206.919353008;18;118.479019165;265.514129639;83;255.051123619;
163;16;109.945198059;230.482345581;67;207.704510212;18;116.647460938;270.564117432;85;255.291368246;
164;16;111.038284302;230.282363892;68;208.483977318;18;116.794006348;275.613647461;86;255.504108667;
165;16;110.148406982;235.282363892;67;209.254851818;18;118.920860291;274.662750244;88;255.547218323;
166;16;110.825500488;240.282363892;68;210.014289856;18;116.924995422;279.711395264;88;255.584223747;
167;16;113.850486755;236.282363892;68;210.759547234;18;116.924995422;284.759490967;89;255.620810509;
168;16;111.95098114;238.282363892;67;211.479340076;18;119.924995422;281.807067871;90;255.656956434;
169;17;111.047927856;243.282363892;65;212.12904644;19;117.924995422;286.854034424;89;258.752640009;
170;17;112.11290741;245.282363892;66;212.760372162;19;119.504997253;292.900421143;90;272.365892887;
171;17;113.137138367;244.282363892;66;213.371274948;19;122.590057373;300.981201172;90;283.89897728;
172;17;111.413375854;246.282363892;66;213.959979057;19;125.469528198;308.898071289;91;293.48218143;
173;17;110.495994568;248.282363892;61;214.524994373;19;128.144515991;317.538146973;93;301.215224147;
174;17;109.540206909;250.282363892;58;215.065127373;19;133.654556274;339.065063477;93;308.223395109;
175;17;108.785621643;252.282363892;56;217.451435089;19;141.267150879;357.458679199;94;313.703642964;
176;18;110.885169983;252.282363892;55;238.667737603;18;134.547637939;369.1199646;96;297.362542629;
177;18;111.079963684;259.282348633;53;240.34934473;18;138.362915039;381.565612793;97;299.825109959;
178;18;113.302284241;263.282348633;52;241.748220921;18;141.973114014;389.319976807;98;300.758199334;
