Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
69;8;43.5734710693;46.0;12;85.4619666338;8;36.0989532471;55.0;22;65.5458099246;
70;9;43.5734710693;49.0;11;87.9138478041;8;36.0989532471;57.2107887268;24;65.6322249472;
71;9;44.5734710693;52.0;11;89.2303006649;9;35.8989562988;59.0;20;75.7230982482;
72;10;44.5839996338;55.0;12;90.4127360582;9;36.5250015259;62.0;20;77.3181078136;
73;10;46.125;57.0;11;91.4677410126;9;38.5250015259;66.0;21;77.9494278431;
74;10;47.125;60.0;12;92.4139362574;10;37.5250015259;71.0;19;78.5566096902;
75;10;45.125;62.665145874;16;93.2698360682;10;38.5250015259;74.0;20;79.1373247206;
76;11;45.125;64.7028579712;13;99.615298748;10;36.5250015259;79.0;20;79.6902204454;
77;11;46.125;67.7421722412;14;100.329335213;10;35.5250015259;82.4504241943;21;80.2148319781;
78;11;47.125;70.7831115723;15;101.038019061;10;36.5250015259;82.5098876953;23;80.7114549577;
79;12;47.125;74.825668335;16;101.740054727;10;37.5250015259;84.5699768066;23;81.1810001135;
80;12;47.125;78.8698272705;16;102.434163928;10;35.5250015259;88.2828140259;24;81.6248382628;
81;12;48.125;79.9155807495;17;103.119091988;10;34.5250015259;91.3681640625;24;83.0446567535;
82;12;48.125;80.9629058838;18;103.765611887;11;34.5250015259;95.4538192749;24;83.3923252821;
83;12;46.125;83.0117645264;18;104.340813041;11;34.5250015259;99.53956604;25;83.7247894704;
84;12;46.125;86.0621185303;19;104.910470486;11;34.5250015259;103.625205994;25;83.9478074312;
85;13;47.125;86.1139068604;19;106.473093152;11;34.5250015259;107.410522461;28;84.1266592741;
86;14;47.125;90.1670608521;19;107.087278128;13;34.5250015259;110.495300293;28;84.3114419281;
87;14;47.1750030518;95.2215118408;20;107.694691777;13;33.7249984741;112.579345703;28;84.5013667941;
88;14;47.1750030518;96.9965820312;20;108.294224977;13;33.7249984741;114.662460327;28;84.695674926;
89;14;45.1750030518;101.156433105;21;107.559708476;13;33.7249984741;118.261863708;29;84.8936378062;
90;14;42.0400009155;101.25328064;20;104.220603704;14;33.7249984741;121.035942078;25;87.7654666901;
91;14;41.0400009155;106.156433105;21;104.6440382;14;34.7249984741;122.38999939;25;90.2036174536;
92;15;42.0400009155;112.156433105;19;105.189498425;14;35.7249984741;125.712242126;26;93.7625147998;
93;15;45.0400009155;115.696708679;19;104.65618062;14;37.7249984741;128.223526001;26;97.1394564509;
94;15;47.0400009155;120.733963013;20;104.176762402;14;38.7249984741;134.720672607;26;99.3842914701;
95;15;47.0400009155;123.733963013;21;103.77160275;15;40.7249984741;137.692687988;25;101.363636434;
96;15;48.0400009155;126.853820801;21;103.433189452;15;43.5159950256;137.396484375;26;104.037562668;
97;15;48.125;131.047805786;22;104.607749522;15;45.972946167;140.409042358;27;105.546909809;
98;15;52.022354126;129.368011475;23;105.837367892;15;46.5905990601;144.776199341;36;106.864397168;
99;14;43.2276229858;128.403137207;23;86.1110103726;16;48.3955039978;143.810150146;34;129.215395272;
100;14;43.1648597717;132.687728882;23;87.4178202152;16;50.4382972717;145.377929688;36;130.594662964;
101;14;46.1083755493;127.994506836;24;89.7472884059;16;50.7094573975;148.740493774;36;131.996755421;
102;14;46.0575332642;132.321105957;24;92.1494095922;16;51.9511413574;149.243713379;38;133.416155607;
103;14;50.0117797852;133.976318359;25;94.6177933216;16;53.5802078247;150.858688354;38;134.847395152;
104;14;53.9706039429;137.427886963;26;96.146879673;16;55.6321601868;153.401123047;40;136.285171658;
105;14;56.539894104;140.89553833;27;97.6720335484;16;55.6864814758;153.927459717;43;137.724441111;
106;14;58.6338424683;141.376159668;30;99.186619997;16;57.2790565491;154.43447876;44;139.160488933;
107;14;58.5475692749;143.866546631;30;100.684934735;16;57.2489776611;156.919311523;45;140.588975012;
108;14;58.6181030273;146.363479614;31;102.162196994;16;56.5369338989;158.379714966;47;142.005958915;
109;14;58.6828804016;147.863845825;32;103.614525199;16;55.8369064331;160.813919067;48;143.407892883;
110;14;59.7419052124;146.364685059;33;105.03888917;16;49.8369064331;167.220718384;48;144.791602612;
111;14;58.7953262329;147.863189697;34;106.433047771;16;49.4500007629;170.159179688;49;146.154248834;
112;14;58.8433570862;149.356872559;36;107.795455217;16;48.4500007629;175.59185791;50;147.493284822;
113;14;58.8863067627;150.843521118;37;109.076673269;16;48.4500007629;179.630935669;51;148.806408107;
114;14;59.9026794434;148.60295105;37;110.258630991;16;50.4500007629;178.210906982;52;150.08304441;
115;14;58.8849105835;149.136184692;37;111.420289636;16;49.4500007629;180.562744141;53;151.21914655;
116;14;58.8689193726;150.659545898;39;112.44587779;16;48.4500007629;185.813934326;54;152.33678174;
117;14;59.8545303345;149.171875;41;113.457152605;16;50.4500007629;185.05241394;55;153.433062792;
118;14;58.8415756226;150.672180176;41;114.458226323;16;49.4500007629;187.278656006;56;154.505299866;
119;14;58.8299179077;152.159729004;42;115.447608948;16;52.4500007629;186.488113403;57;155.551023841;
120;14;62.8299179077;145.227493286;44;116.423982859;16;56.4500007629;187.353942871;58;156.56800741;
121;14;59.8299179077;150.297790527;48;117.386168242;16;60.4500007629;187.536346436;60;157.408171177;
122;14;60.8299179077;155.370407104;50;118.320341825;16;64.4499969482;187.299407959;61;158.205517292;
123;14;65.8299179077;148.445129395;51;119.132441044;16;68.4499969482;186.664031982;62;158.983377874;
124;14;63.4299163818;153.521728516;51;119.940628886;16;72.4499969482;186.021911621;63;159.739473999;
125;14;65.4299163818;158.599960327;52;120.742838264;16;76.4499969482;185.37197876;65;160.471907198;
126;14;71.4299163818;151.679580688;53;121.537132621;16;80.4499969482;185.645141602;66;161.179161608;
127;15;69.4299163818;156.760375977;51;137.321710825;16;84.1500015259;185.976806641;68;161.860093474;
128;15;73.4299163818;159.842071533;51;139.144913435;16;86.7326812744;186.298156738;68;162.513914108;
129;15;77.4299163818;159.924438477;53;140.860203028;16;87.928024292;186.608642578;69;163.140159965;
130;15;80.9302368164;157.007232666;55;142.45567131;16;88.1099853516;186.907836914;71;163.738663197;
131;15;81.9273376465;161.090209961;55;143.926445007;16;88.2788543701;187.195465088;71;164.309516072;
132;15;83.9247436523;160.175521851;56;145.273736;16;88.4350357056;187.471282959;72;164.853034854;
133;15;83.9223937988;158.255752563;56;146.503372669;16;88.5790252686;187.73526001;72;165.3697263;
