Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
122;8;37.7001113892;86.2336273193;36;93.5615019798;20;86.3181304932;178.698257446;35;159.533668637;
123;8;38.6520690918;85.3500518799;36;94.0455154181;20;90.3403091431;179.698257446;37;161.567838907;
124;8;36.7508811951;87.4618530273;38;94.503100276;20;92.3628311157;184.608032227;40;163.750412524;
125;8;35.8405761719;89.5747070312;38;94.9350302219;20;96.3856964111;190.608032227;38;166.078699291;
126;8;35.9216156006;88.7089080811;38;95.3422887325;21;98.6089019775;192.608032227;39;168.545104802;
127;8;34.9945297241;91.8389129639;38;95.7260079384;21;100.432434082;194.608032227;40;170.336391211;
128;8;35.0598869324;94.9646835327;40;96.0469552279;21;101.456298828;196.608032227;41;172.313342512;
129;8;36.1000518799;94.3424911499;41;96.271827817;21;101.480484009;200.979034424;42;174.443021178;
130;8;35.1000442505;96.4999160767;43;96.4899394512;21;103.504989624;203.006088257;41;176.688507199;
131;8;35.1000442505;98.6526031494;43;96.7013764381;21;104.529800415;201.033325195;43;179.010463595;
132;8;36.1000366211;97.8006210327;44;96.9062590599;22;104.554916382;207.06072998;42;182.369214654;
133;8;35.1000366211;99.9440460205;44;97.1047362089;22;108.580322266;211.088287354;43;184.847023129;
134;8;35.1000289917;102.082984924;45;97.2737474442;23;113.606018066;213.115982056;45;188.716355443;
135;8;36.1000289917;101.201301575;45;97.3815767765;23;107.631996155;220.910766602;46;192.590164423;
136;8;35.100025177;103.276786804;47;97.4891456366;24;106.658233643;226.975372314;46;196.404713392;
137;8;35.1000213623;105.352096558;47;97.5963743925;24;105.684738159;235.040710449;47;201.019117594;
138;8;36.1000213623;104.42716217;47;97.7031837702;24;106.711479187;242.106750488;48;206.328252912;
139;8;35.1000175476;106.501922607;47;97.8094952106;24;109.738471985;247.173416138;52;210.448517919;
140;9;35.1000137329;108.57635498;47;97.9152295589;24;111.765678406;252.677688599;53;218.76727283;
141;9;36.1000137329;107.650367737;47;98.0203108788;24;115.934768677;259.237640381;54;225.334564924;
142;9;35.1000137329;109.723930359;48;98.1246619225;24;119.840270996;265.69744873;55;231.901067615;
143;9;36.1000137329;108.796981812;49;98.228208065;24;123.356399536;273.071594238;56;237.023567677;
144;9;38.1000137329;104.93032074;50;98.3161334991;24;127.586990356;280.375488281;58;241.421190262;
145;9;41.1000137329;103.2212677;50;98.3782925606;25;128.485671997;286.581054688;58;245.00688231;
146;9;44.0000114441;102.264785767;51;99.4406414032;25;131.011001587;289.662322998;57;248.17768991;
147;9;47.0000152588;102.308425903;51;99.563103199;26;134.267471313;291.743530273;54;251.084290504;
148;10;50.1000213623;102.752151489;50;99.6885643005;26;135.811630249;297.824584961;56;253.961079597;
149;10;52.7141685486;103.795906067;51;99.8170164824;26;136.359176636;304.905395508;56;256.780441761;
150;10;53.7620124817;104.839622498;52;99.9484415054;26;137.405807495;306.985870361;56;259.43502593;
151;10;54.8121032715;105.883262634;53;100.082813859;26;135.452911377;315.065887451;56;263.092846751;
152;10;55.8644714355;105.926757812;53;100.220097899;26;136.500457764;326.145355225;57;265.644275665;
153;10;56.9191513062;105.970062256;53;100.360248327;26;138.54838562;328.147460938;58;269.754618883;
154;10;57.9761657715;106.013122559;54;101.503206134;26;139.621032715;334.264465332;59;273.952082038;
155;10;60.0355224609;107.055877686;55;101.768900752;26;139.695068359;340.381378174;60;278.213350177;
156;10;62.0972213745;107.098297119;54;102.050304294;26;143.770385742;338.498016357;63;282.514309049;
157;10;64.1612548828;107.140312195;56;102.348401904;26;141.846939087;346.614135742;65;286.829140902;
158;10;66.2276000977;107.181884766;56;102.664169908;26;142.924621582;354.623840332;66;291.129662275;
159;10;68.2962265015;107.222969055;58;102.998551607;26;145.003356934;359.522033691;70;295.385204792;
160;11;69.3670654297;106.263526917;58;103.352427006;26;145.083023071;368.444641113;73;299.563166857;
161;11;70.4400787354;105.303504944;59;103.726578712;26;147.163543701;374.382324219;73;303.630314112;
162;11;71.5151672363;104.342880249;59;104.121650696;27;148.244796753;376.324890137;73;315.890230179;
163;11;72.5922393799;103.381607056;59;104.538102865;27;149.326675415;383.261627197;76;319.918510199;
164;11;73.3639297485;102.419662476;61;104.976160526;27;150.409042358;393.181793213;76;323.776865005;
165;11;72.3976135254;108.86100769;62;105.435765028;27;151.49180603;396.28704834;78;327.437255621;
166;11;73.2435836792;111.918533325;62;105.916522026;28;148.57484436;405.390197754;76;363.610124588;
167;11;73.2916564941;115.974868774;63;106.417655706;28;150.658004761;410.390197754;78;370.210637093;
168;11;74.3417739868;119.429985046;60;106.937969446;28;151.74118042;415.390197754;80;375.726568699;
169;11;75.3937988281;122.483840942;62;107.475817919;28;151.824249268;420.390197754;81;380.259201527;
170;11;76.4475860596;125.5364151;62;108.029098511;28;154.907073975;423.390197754;81;383.979498386;
