Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
68;6;40.0999984741;39.0;9;70.6400589943;6;36.6000099182;42.7831115723;7;34.7886545658;
69;6;43.0999984741;40.0;9;71.3477735519;6;36.7393455505;45.7831115723;9;35.2938351631;
70;6;44.2186851501;42.0;10;71.9761699438;7;36.882068634;48.7831115723;9;35.8123241663;
71;7;43.7684440613;44.0;9;72.5337429047;7;37.0275993347;50.7831115723;9;36.342877984;
72;7;42.6661224365;47.0;9;73.0295888186;7;37.1752891541;52.7831115723;10;36.8840782642;
73;7;43.6986274719;47.0;10;73.4726923704;7;37.3244476318;54.7831115723;10;37.4343440533;
74;7;44.5647926331;48.0;10;73.6751880646;7;37.4743499756;56.7831115723;10;37.9919476509;
75;7;43.985874176;50.0;9;73.874786973;7;37.6242599487;58.6426200867;11;38.5550351143;
76;7;42.0999984741;53.0;9;74.075854063;7;37.7734222412;59.7529182434;12;40.1216515303;
77;7;43.0999984741;54.0;9;74.2781308889;8;38.9210968018;61.8667564392;11;40.779766202;
78;7;44.0999984741;56.0;12;74.4813584089;8;40.066570282;63.0909690857;11;41.4444229603;
79;7;44.1925849915;58.0;12;74.6852788925;8;40.2091674805;64.2377319336;12;42.1139134169;
80;7;44.2417564392;60.0;12;74.8896358013;8;40.3482513428;65.3858642578;13;42.7865341902;
81;7;42.2417564392;63.0;11;75.0941736698;8;40.4832687378;66.5348205566;13;43.4606100321;
82;7;43.2417564392;64.0;17;75.2986388206;8;40.6137084961;67.6840209961;13;44.1345164776;
83;7;44.2417564392;66.0;17;75.502779007;8;40.7391586304;68.8328552246;15;45.7914817333;
84;7;44.4258956909;68.0;17;75.7063422203;9;41.8592681885;70.9730834961;15;46.4360044003;
85;7;44.4684906006;70.0;15;75.9090776443;9;42.973777771;73.0970916748;15;47.0777460337;
86;7;44.5096206665;72.0;19;76.110735178;9;43.0824966431;75.2196807861;16;47.7154124975;
87;7;44.5492668152;73.6679153442;19;76.3110659122;10;43.1853179932;77.3402709961;15;48.3478136063;
88;7;44.5874061584;74.783493042;19;76.5098214149;10;43.2821960449;81.6416244507;15;48.9738605022;
89;7;44.6240310669;75.9008560181;21;76.7067542076;10;43.3731536865;83.8025741577;16;49.5925629139;
90;7;44.6591415405;77.0197677612;21;76.9016187191;10;43.4582633972;85.9585952759;16;51.2030185461;
91;7;44.6927452087;78.1399612427;22;77.094171524;10;44.5376548767;89.1091308594;16;51.8344029188;
92;7;44.7248535156;79.2611694336;23;77.6341524124;10;45.6114959717;92.2537155151;17;52.456548214;
93;8;42.7248535156;81.3830947876;20;78.3813817501;11;45.6799850464;95.3919754028;17;54.0687395334;
94;8;43.7248535156;81.708442688;21;79.1481552124;12;46.743347168;98.9390716553;16;54.6972612143;
95;8;44.7248535156;83.0530166626;21;79.9297361374;12;48.8000030518;99.2417144775;18;55.2283779383;
96;8;45.4813423157;84.4156341553;21;80.7210068703;12;49.8000030518;100.541488647;18;57.9702869654;
97;8;45.6668395996;85.7946929932;21;81.516582489;12;51.2560005188;102.383621216;18;60.7763390541;
98;8;45.8478088379;87.1881103516;24;82.3109388351;12;52.0199966431;104.249740601;20;63.6150642633;
99;8;46.0228881836;88.5933990479;26;84.0985450745;12;52.7792320251;106.132278442;20;66.4542902708;
100;8;47.1908874512;91.0076828003;26;84.9039957523;13;53.5210494995;108.023086548;20;69.2631002665;
101;8;48.3508033752;93.4277572632;25;87.8689515591;13;54.2338180542;109.913726807;20;72.0135819912;
102;8;49.3943939209;96.7430419922;27;90.4648125172;13;54.9077606201;111.498756409;22;74.6821510792;
103;8;45.8706741333;101.903076172;28;92.7349255085;13;55.5355033875;112.502212524;22;77.2503159046;
104;8;46.2190361023;104.929084778;29;94.7284859419;13;56.1123580933;113.489776611;22;79.704864502;
105;9;46.4674453735;107.844116211;28;96.3195663691;15;56.6361999512;113.999961853;21;82.0375900269;
106;9;44.929397583;108.582778931;32;97.6197566986;16;58.1071777344;111.787055969;22;85.244697094;
107;9;43.929397583;109.582778931;33;98.8371450901;16;58.5272254944;114.425628662;23;87.4660402536;
108;9;41.929397583;113.582778931;33;99.9667112827;17;59.8995018005;117.210754395;20;109.422811866;
