Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
51;5;37.0999984741;36.5;6;41.9608795643;5;42.018913269;37.125;6;41.3217817545;
52;5;37.8995513916;36.5;7;42.0532681942;5;42.0499992371;37.125;6;42.8145625591;
53;5;37.9173278809;37.5;8;42.1465501785;5;42.7831230164;37.5796890259;6;44.0920407772;
54;5;37.0999984741;39.0509490967;8;42.2406759262;5;43.3800964355;37.9370269775;8;45.185931325;
55;5;37.9530830383;38.0614051819;9;42.7255939245;5;43.8599662781;38.2120628357;9;46.129114151;
56;6;37.2755012512;39.0719451904;7;54.2026458979;6;44.2425041199;38.4202690125;8;46.8003667593;
57;6;38.8827667236;40.9790229797;7;55.9227327108;6;42.338180542;39.5;9;47.2992646694;
58;6;41.2982330322;40.9832496643;10;57.3950573206;6;41.338180542;40.5;10;47.7088773251;
59;7;40.7643470764;43.291267395;9;58.6550896168;6;40.338180542;41.5;11;48.0581860542;
60;7;41.0726127625;42.9097442627;11;59.5887227058;6;39.338180542;42.5;11;48.417444706;
61;7;42.2479476929;44.6257171631;10;60.2817587852;6;38.338180542;43.5;11;48.7861015797;
62;8;41.3295059204;46.6366577148;6;75.8066269159;6;37.338180542;44.5;11;50.1635239124;
63;8;42.3499984741;48.6532592773;7;77.3039619923;7;37.338180542;46.5;11;50.6139998436;
64;9;43.3499984741;51.3555641174;5;78.6753920317;7;38.2000007629;47.5;13;51.0752737522;
65;9;43.3499984741;52.0;5;80.911950469;7;37.2000007629;47.5;13;51.5465869904;
66;9;44.4970703125;56.680896759;5;82.0718894005;7;37.2000007629;48.5;14;52.0271055698;
67;9;45.5251846313;60.6920509338;5;83.1025551558;7;36.2000007629;48.5;14;52.5159268379;
68;9;44.5532531738;61.7032318115;5;84.012958169;7;36.2000007629;50.5;15;53.0120848417;
69;9;43.3499984741;64.7144393921;5;84.7193059921;8;37.2000007629;52.7304115295;14;54.514559269;
70;10;44.3499984741;68.6842880249;6;85.2987089157;8;37.2000007629;52.8682327271;15;55.0597831011;
71;9;44.3499984741;63.0;7;83.6840164661;9;38.2000007629;54.0072860718;12;57.6788449287;
72;10;44.6643829346;66.4510040283;7;83.9847340584;9;40.2000007629;57.1472091675;13;58.2938984632;
73;10;44.6917114258;68.5015716553;8;84.1492828131;9;40.2000007629;58.287612915;13;58.91231215;
74;10;43.3499984741;71.5537567139;9;84.3164356947;10;40.2000007629;60.4281082153;14;59.5766608715;
75;10;43.3499984741;74.6075515747;10;84.4861030579;10;41.2000007629;63.1671257019;15;60.2442047596;
76;10;44.3499984741;74.6629486084;10;84.6581816673;10;40.2000007629;64.3278961182;15;60.9136250019;
77;10;43.3499984741;76.8043289185;14;84.8325531483;10;40.2000007629;65.4880752563;16;61.58360219;
78;10;44.3499984741;76.8155212402;16;86.0090838671;11;41.2000007629;68.6250305176;15;62.252823472;
79;10;45.3499984741;77.8266906738;17;86.2076238394;11;41.2000007629;69.5118408203;15;62.919993639;
80;10;43.3499984741;82.8378143311;21;86.4082027674;11;42.2000007629;70.6036834717;15;64.5838413239;
81;10;44.3499984741;82.0;21;86.6106318235;11;41.2000007629;74.6936264038;16;65.3406276703;
82;10;41.3499984741;86.0;20;86.8147045374;11;43.2000007629;76.6936264038;16;66.1000905037;
83;12;40.3499984741;90.0;18;87.0201979876;11;42.2000007629;81.1469268799;17;66.8615908623;
